Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,12,2,7,20,46.384
1,0,1,2017,12,2,7,37,10.574
2,0,1,2017,12,2,7,37,12.177
3,1,0,2017,12,2,7,39,14.863
4,1,0,2017,12,2,7,39,29.676
5,1,0,2017,12,2,7,39,40.338
6,1,0,2017,12,2,7,39,55.219
7,1,0,2017,12,2,7,40,3.91
8,1,0,2017,12,2,7,40,6.623
9,1,0,2017,12,2,8,10,20.621
10,1,0,2017,12,2,8,10,36.593
11,1,0,2017,12,2,8,10,45.11
12,1,0,2017,12,2,8,11,10.732
13,1,0,2017,12,2,8,11,47.135
14,1,0,2017,12,2,8,11,56.883
15,1,0,2017,12,2,8,12,3.388
16,1,0,2017,12,2,8,13,35.457
17,1,0,2017,12,2,8,28,16.634
18,0,1,2017,12,2,8,29,39.675
19,1,0,2017,12,2,8,30,13.697
20,1,0,2017,12,2,8,31,59.674
21,0,1,2017,12,2,8,53,23.958
22,0,1,2017,12,2,8,53,24.092
23,0,1,2017,12,2,8,56,7.273
24,0,1,2017,12,2,8,56,7.339
25,1,0,2017,12,2,9,7,47.656
26,1,0,2017,12,2,9,7,47.85
27,1,0,2017,12,2,9,8,29.06
28,1,0,2017,12,2,9,8,31.124
29,1,0,2017,12,2,9,8,31.26
30,1,0,2017,12,2,9,15,50.891
31,1,0,2017,12,2,9,15,51.744
32,1,0,2017,12,2,9,43,49.455
33,1,0,2017,12,2,9,44,0.29
34,1,0,2017,12,2,10,19,36.718
35,1,0,2017,12,2,10,20,10.194
36,1,0,2017,12,2,10,20,19.665
37,1,0,2017,12,2,10,20,22.431
38,1,0,2017,12,2,10,20,22.615
39,1,0,2017,12,2,10,24,49.988
40,1,0,2017,12,2,10,28,48.017
41,1,0,2017,12,2,10,36,46.69
42,1,0,2017,12,2,10,36,46.754
43,0,1,2017,12,2,10,53,46.955
44,0,1,2017,12,2,10,53,48.131
45,1,0,2017,12,2,11,6,7.159
46,1,0,2017,12,2,11,9,15.497
47,0,1,2017,12,2,11,12,20.05
48,0,1,2017,12,2,11,12,20.175
49,0,1,2017,12,2,11,12,23.31
50,0,1,2017,12,2,11,13,43.273
51,0,1,2017,12,2,11,13,43.49
52,1,0,2017,12,2,11,19,55.035
53,1,0,2017,12,2,11,20,7.91
54,1,0,2017,12,2,11,22,13.398
55,1,0,2017,12,2,11,22,22.535
56,0,1,2017,12,2,11,24,43.716
57,0,1,2017,12,2,11,26,6.749
58,1,0,2017,12,2,12,4,37.89
59,1,0,2017,12,2,12,6,6.021
60,1,0,2017,12,2,12,7,59.282
61,1,0,2017,12,2,12,9,44.295
62,1,0,2017,12,2,12,10,26.721
63,1,0,2017,12,2,12,31,41.648
64,1,0,2017,12,2,12,31,42.093
65,1,0,2017,12,2,12,33,11.255
66,1,0,2017,12,2,12,33,42.958
67,1,0,2017,12,2,12,33,44.272
68,1,0,2017,12,2,12,33,53.658
69,1,0,2017,12,2,12,34,21.495
70,1,0,2017,12,2,12,34,27.602
71,1,0,2017,12,2,12,35,14.645
72,1,0,2017,12,2,12,36,25.606
73,1,0,2017,12,2,12,36,25.783
74,1,0,2017,12,2,12,36,50.26
75,1,0,2017,12,2,12,36,52.741
76,1,0,2017,12,2,12,36,52.898
77,1,0,2017,12,2,12,36,52.958
78,1,0,2017,12,2,12,37,10.945
79,1,0,2017,12,2,12,37,54.711
80,1,0,2017,12,2,13,4,52.411
81,1,0,2017,12,2,13,4,52.584
82,1,0,2017,12,2,13,5,15.414
83,0,1,2017,12,2,13,9,41.851
84,0,1,2017,12,2,13,9,46.298
85,0,1,2017,12,2,13,15,57.585
86,0,1,2017,12,2,14,22,58.122
87,0,1,2017,12,2,15,53,57.28
88,0,1,2017,12,2,15,54,28.57
89,1,0,2017,12,2,15,54,45.172
90,1,0,2017,12,2,16,20,28.034
91,0,1,2017,12,2,16,21,51.927
92,0,1,2017,12,2,16,23,14.443
93,0,1,2017,12,2,16,23,14.524
94,0,1,2017,12,2,16,27,20.765
95,0,1,2017,12,2,16,29,46.44
96,0,1,2017,12,2,16,29,50.638
97,1,0,2017,12,2,17,3,56.607
98,0,1,2017,12,2,17,39,8.074
99,1,0,2017,12,2,17,41,30.618
100,1,0,2017,12,2,17,42,22.541
101,1,0,2017,12,2,17,42,48.608
102,1,0,2017,12,2,17,43,41.48
103,1,0,2017,12,2,18,26,8.591
104,1,0,2017,12,2,18,26,8.783
105,1,0,2017,12,2,18,28,49.289
106,1,0,2017,12,2,18,30,41.946
107,1,0,2017,12,2,18,31,48.259
108,1,0,2017,12,2,18,52,2.637
