Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,11,20,8,5,46.478
1,0,1,2017,11,20,8,25,58.272
2,0,1,2017,11,20,8,25,59.034
3,0,1,2017,11,20,8,26,8.056
4,0,1,2017,11,20,8,26,8.176
5,0,1,2017,11,20,8,26,9.884
6,0,1,2017,11,20,8,27,52.117
7,1,0,2017,11,20,8,44,5.058
8,0,1,2017,11,20,8,57,22.605
9,0,1,2017,11,20,8,57,22.782
10,0,1,2017,11,20,8,58,4.129
11,1,0,2017,11,20,8,58,45.241
12,1,0,2017,11,20,9,2,34.925
13,0,1,2017,11,20,9,3,27.389
14,0,1,2017,11,20,9,3,27.585
15,0,1,2017,11,20,9,17,38.869
16,0,1,2017,11,20,9,19,6.212
17,0,1,2017,11,20,9,37,44.917
18,0,1,2017,11,20,9,37,47.755
19,0,1,2017,11,20,9,43,18.249
20,0,1,2017,11,20,9,43,18.365
21,0,1,2017,11,20,9,43,18.932
22,0,1,2017,11,20,9,45,7.551
23,0,1,2017,11,20,9,45,11.423
24,0,1,2017,11,20,9,45,18.12
25,1,0,2017,11,20,10,26,12.432
26,0,1,2017,11,20,10,30,35.706
27,0,1,2017,11,20,10,31,14.021
28,0,1,2017,11,20,10,31,22.652
29,0,1,2017,11,20,10,31,22.757
30,0,1,2017,11,20,10,31,22.894
31,0,1,2017,11,20,10,35,9.277
32,0,1,2017,11,20,10,35,24.193
33,0,1,2017,11,20,10,35,25.086
34,0,1,2017,11,20,10,42,26.798
35,0,1,2017,11,20,11,38,48.062
36,0,1,2017,11,20,11,38,51.064
37,0,1,2017,11,20,11,40,21.846
38,0,1,2017,11,20,11,40,34.085
39,0,1,2017,11,20,11,40,38.36
40,0,1,2017,11,20,11,40,49.22
41,0,1,2017,11,20,11,40,58.277
42,0,1,2017,11,20,11,41,42.79
43,0,1,2017,11,20,11,46,39.766
44,0,1,2017,11,20,11,47,2.778
45,0,1,2017,11,20,11,47,4.439
46,0,1,2017,11,20,11,47,13.737
47,0,1,2017,11,20,11,47,14.227
48,0,1,2017,11,20,11,47,14.889
49,0,1,2017,11,20,11,47,18.024
50,0,1,2017,11,20,11,47,34.441
51,0,1,2017,11,20,12,1,43.786
52,0,1,2017,11,20,12,14,17.616
53,0,1,2017,11,20,12,14,24.515
54,0,1,2017,11,20,12,14,31.606
55,0,1,2017,11,20,12,14,33.327
56,0,1,2017,11,20,12,23,41.271
57,1,0,2017,11,20,12,26,3.184
58,1,0,2017,11,20,12,26,56.709
59,1,0,2017,11,20,12,27,1.399
60,1,0,2017,11,20,12,29,2.684
61,0,1,2017,11,20,12,33,23.518
62,0,1,2017,11,20,12,33,25.551
63,0,1,2017,11,20,12,33,25.741
64,0,1,2017,11,20,12,33,25.92
65,0,1,2017,11,20,12,51,11.582
66,0,1,2017,11,20,13,14,54.747
67,0,1,2017,11,20,13,14,55.599
68,1,0,2017,11,20,13,45,8.851
69,0,1,2017,11,20,13,46,20.484
70,1,0,2017,11,20,13,53,20.941
71,1,0,2017,11,20,13,55,24.582
72,1,0,2017,11,20,13,55,24.97
73,1,0,2017,11,20,13,55,30.741
74,1,0,2017,11,20,13,55,30.78
75,1,0,2017,11,20,13,56,20.181
76,1,0,2017,11,20,13,56,20.401
77,1,0,2017,11,20,13,56,26.167
78,1,0,2017,11,20,13,56,32.233
79,1,0,2017,11,20,15,41,42.39
80,1,0,2017,11,20,15,41,42.537
81,1,0,2017,11,20,15,45,4.843
82,1,0,2017,11,20,15,49,24.193
83,1,0,2017,11,20,15,49,24.309
84,1,0,2017,11,20,15,49,24.877
85,0,1,2017,11,20,15,55,50.717
86,0,1,2017,11,20,16,1,56.53
87,0,1,2017,11,20,17,4,40.988
88,0,1,2017,11,20,17,4,49.191
89,0,1,2017,11,20,17,55,33.565
90,0,1,2017,11,20,17,56,29.902
91,0,1,2017,11,20,17,57,39.604
92,0,1,2017,11,20,17,58,40.979
93,0,1,2017,11,20,17,58,41.046
94,0,1,2017,11,20,17,58,41.124
95,0,1,2017,11,20,17,58,41.339
96,0,1,2017,11,20,17,58,41.974
97,0,1,2017,11,20,18,3,54.865
98,0,1,2017,11,20,18,3,57.369
99,0,1,2017,11,20,18,3,58.067
100,0,1,2017,11,20,18,4,19.899
101,0,1,2017,11,20,18,10,20.776
102,0,1,2017,11,20,18,10,20.898
103,0,1,2017,11,20,18,30,37.81
104,0,1,2017,11,20,18,33,39.094
105,1,0,2017,11,20,18,33,52.921
106,1,0,2017,11,20,18,38,1.031
107,0,1,2017,11,20,18,38,10.479
108,0,1,2017,11,20,18,38,10.741
109,0,1,2017,11,20,18,56,21.72
110,1,0,2017,11,20,18,57,46.594
111,0,1,2017,11,20,18,58,5.137
112,0,1,2017,11,20,18,58,5.21
113,0,1,2017,11,20,18,58,5.293
114,1,0,2017,11,20,18,59,27.744
