Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,11,29,7,20,26.871
1,0,1,2017,11,29,7,41,2.508
2,1,0,2017,11,29,8,6,12.155
3,0,1,2017,11,29,8,12,7.059
4,0,1,2017,11,29,8,12,14.374
5,0,1,2017,11,29,8,12,16.7
6,0,1,2017,11,29,8,41,46.264
7,0,1,2017,11,29,8,41,46.352
8,1,0,2017,11,29,8,43,21.452
9,1,0,2017,11,29,8,43,21.529
10,1,0,2017,11,29,8,43,32.251
11,1,0,2017,11,29,8,44,44.361
12,1,0,2017,11,29,8,45,55.211
13,0,1,2017,11,29,8,54,57.539
14,1,0,2017,11,29,8,58,33.964
15,1,0,2017,11,29,8,58,46.877
16,0,1,2017,11,29,9,3,3.576
17,0,1,2017,11,29,9,3,3.794
18,1,0,2017,11,29,9,14,41.537
19,1,0,2017,11,29,9,16,13.435
20,1,0,2017,11,29,9,20,4.447
21,1,0,2017,11,29,9,20,5.465
22,1,0,2017,11,29,9,20,6.288
23,1,0,2017,11,29,9,20,9.775
24,1,0,2017,11,29,9,24,12.116
25,0,1,2017,11,29,9,25,12.969
26,0,1,2017,11,29,9,27,39.298
27,0,1,2017,11,29,9,27,50.183
28,0,1,2017,11,29,9,27,54.398
29,0,1,2017,11,29,9,28,25.313
30,0,1,2017,11,29,9,28,30.441
31,0,1,2017,11,29,9,28,35.586
32,0,1,2017,11,29,9,29,5.871
33,0,1,2017,11,29,9,29,34.222
34,0,1,2017,11,29,9,32,19.126
35,0,1,2017,11,29,9,32,51.105
36,0,1,2017,11,29,9,35,37.339
37,0,1,2017,11,29,9,35,37.464
38,0,1,2017,11,29,10,22,52.203
39,0,1,2017,11,29,10,28,48.713
40,0,1,2017,11,29,10,56,5.139
41,0,1,2017,11,29,10,56,6.225
42,1,0,2017,11,29,10,56,29.205
43,1,0,2017,11,29,10,56,34.029
44,1,0,2017,11,29,10,56,36.113
45,1,0,2017,11,29,10,56,38.56
46,1,0,2017,11,29,10,56,39.411
47,1,0,2017,11,29,10,56,40.994
48,1,0,2017,11,29,10,56,41.861
49,1,0,2017,11,29,10,57,2.533
50,0,1,2017,11,29,10,59,15.699
51,0,1,2017,11,29,10,59,16.407
52,1,0,2017,11,29,11,12,38.338
53,1,0,2017,11,29,11,13,35.953
54,1,0,2017,11,29,11,13,51.752
55,1,0,2017,11,29,11,13,51.906
56,1,0,2017,11,29,11,13,51.98
57,0,1,2017,11,29,11,14,42.582
58,1,0,2017,11,29,11,16,45.949
59,1,0,2017,11,29,11,16,56.112
60,1,0,2017,11,29,11,16,59.325
61,1,0,2017,11,29,11,16,59.353
62,1,0,2017,11,29,11,17,1.05
63,1,0,2017,11,29,11,17,4.079
64,1,0,2017,11,29,11,18,32.572
65,1,0,2017,11,29,11,32,23.681
66,1,0,2017,11,29,11,38,23.378
67,1,0,2017,11,29,11,38,51.597
68,1,0,2017,11,29,11,39,44.598
69,1,0,2017,11,29,11,39,44.652
70,1,0,2017,11,29,11,41,5.952
71,0,1,2017,11,29,11,42,35.938
72,0,1,2017,11,29,11,43,6.409
73,0,1,2017,11,29,11,43,6.512
74,0,1,2017,11,29,11,46,48.192
75,0,1,2017,11,29,11,46,48.281
76,1,0,2017,11,29,11,47,18.616
77,0,1,2017,11,29,11,49,1.485
78,0,1,2017,11,29,11,49,8.997
79,0,1,2017,11,29,12,27,49.278
80,0,1,2017,11,29,12,27,52.969
81,0,1,2017,11,29,12,28,4.236
82,0,1,2017,11,29,12,31,10.87
83,0,1,2017,11,29,12,32,52.906
84,1,0,2017,11,29,12,35,49.461
85,1,0,2017,11,29,12,35,49.578
86,1,0,2017,11,29,13,4,43.683
87,1,0,2017,11,29,13,4,47.133
88,1,0,2017,11,29,13,4,49.222
89,1,0,2017,11,29,13,4,51.544
90,1,0,2017,11,29,13,5,21.688
91,1,0,2017,11,29,13,5,32.178
92,1,0,2017,11,29,13,5,34.27
93,1,0,2017,11,29,13,5,47.03
94,0,1,2017,11,29,13,31,24.905
95,0,1,2017,11,29,13,31,26.06
96,0,1,2017,11,29,13,31,27.399
97,1,0,2017,11,29,13,37,19.916
98,1,0,2017,11,29,13,38,59.434
99,1,0,2017,11,29,13,38,59.548
100,1,0,2017,11,29,14,19,35.561
101,0,1,2017,11,29,14,56,42.874
102,0,1,2017,11,29,14,56,42.94
103,0,1,2017,11,29,14,57,37.636
104,0,1,2017,11,29,14,57,40.66
105,0,1,2017,11,29,15,0,8.776
106,0,1,2017,11,29,15,0,24.507
107,1,0,2017,11,29,15,1,37.444
108,1,0,2017,11,29,15,1,38.02
109,1,0,2017,11,29,15,1,39.35
110,0,1,2017,11,29,15,3,23.33
111,1,0,2017,11,29,15,15,3.433
112,1,0,2017,11,29,15,15,5.001
113,1,0,2017,11,29,15,54,46.341
114,0,1,2017,11,29,16,7,35.064
115,0,1,2017,11,29,16,7,57.247
116,1,0,2017,11,29,17,39,38.45
117,1,0,2017,11,29,17,39,49.655
118,1,0,2017,11,29,17,39,56.119
119,1,0,2017,11,29,17,40,10.717
120,1,0,2017,11,29,17,40,50.992
121,1,0,2017,11,29,17,40,51.109
122,1,0,2017,11,29,17,41,53.6
123,1,0,2017,11,29,18,22,28.504
124,1,0,2017,11,29,18,30,6.557
125,1,0,2017,11,29,18,30,38.692
126,0,1,2017,11,29,18,41,39.952
127,1,0,2017,11,29,18,42,34.941
128,1,0,2017,11,29,18,44,0.292
129,1,0,2017,11,29,18,45,47.237
130,1,0,2017,11,29,18,45,47.692
