outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,12,10,7,20,28.571
1,2,1,2017,12,10,9,27,19.324
2,2,1,2017,12,10,9,27,40.532
3,2,1,2017,12,10,9,27,49.401
4,2,2,2017,12,10,9,27,53.217
5,2,1,2017,12,10,9,29,15.529
6,2,1,2017,12,10,9,29,18.52
7,2,2,2017,12,10,9,29,28.426
8,2,1,2017,12,10,9,29,38.729
9,2,1,2017,12,10,9,29,50.618
10,2,1,2017,12,10,9,30,7.195
11,2,2,2017,12,10,9,30,17.065
12,2,1,2017,12,10,9,30,21.078
13,2,2,2017,12,10,9,30,24.578
14,2,1,2017,12,10,9,30,35.171
15,2,2,2017,12,10,9,30,38.614
16,2,1,2017,12,10,9,30,44.149
17,2,1,2017,12,10,9,31,13.966
18,2,1,2017,12,10,9,31,19.106
19,2,1,2017,12,10,9,31,24.787
20,2,1,2017,12,10,9,31,29.538
21,2,2,2017,12,10,9,31,38.637
22,2,1,2017,12,10,9,31,59.398
23,2,1,2017,12,10,9,32,2.455
24,2,2,2017,12,10,9,32,6.644
25,2,2,2017,12,10,9,32,17.487
26,2,2,2017,12,10,9,32,30.78
27,2,2,2017,12,10,9,32,54.396
28,2,1,2017,12,10,9,32,57.43
29,2,1,2017,12,10,9,33,5.454
30,2,2,2017,12,10,9,33,10.584
31,2,1,2017,12,10,9,33,54.986
32,2,2,2017,12,10,9,33,59.949
33,2,1,2017,12,10,9,34,14.043
34,2,1,2017,12,10,9,34,18.586
35,2,1,2017,12,10,9,34,25.49
36,2,2,2017,12,10,9,34,33.693
37,2,1,2017,12,10,9,34,44.155
38,2,2,2017,12,10,9,34,51.719
39,2,2,2017,12,10,9,35,43.298
40,2,1,2017,12,10,9,35,55.447
41,2,1,2017,12,10,9,36,0.743
42,2,2,2017,12,10,9,36,5.679
43,2,1,2017,12,10,9,36,27.05
44,2,2,2017,12,10,9,36,32.118
45,2,1,2017,12,10,9,36,39.542
46,2,2,2017,12,10,9,36,43.134
47,2,2,2017,12,10,9,36,49.58
48,2,1,2017,12,10,9,38,17.436
49,2,2,2017,12,10,9,38,22.734
50,2,2,2017,12,10,9,38,30.832
51,2,2,2017,12,10,9,38,38.813
52,2,2,2017,12,10,9,38,52.598
53,2,2,2017,12,10,9,39,3.355
54,2,2,2017,12,10,9,39,12.959
55,2,2,2017,12,10,9,39,26.264
56,2,2,2017,12,10,9,39,31.231
57,2,2,2017,12,10,9,39,53.181
58,2,2,2017,12,10,9,42,8.664
59,2,2,2017,12,10,9,42,15.601
