outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,25,8,6,8.559
1,2,1,2017,11,25,9,13,25.422
2,2,1,2017,11,25,9,13,32.962
3,2,1,2017,11,25,9,14,40.069
4,2,1,2017,11,25,9,14,47.948
5,2,2,2017,11,25,9,15,5.098
6,2,1,2017,11,25,9,15,18.16
7,2,1,2017,11,25,9,26,34.989
8,2,2,2017,11,25,9,31,14.454
9,2,1,2017,11,25,9,31,17.995
10,2,1,2017,11,25,9,31,48.255
11,2,1,2017,11,25,9,31,58.734
12,2,2,2017,11,25,9,32,8.1
13,2,1,2017,11,25,9,32,11.879
14,2,2,2017,11,25,9,32,20.839
15,2,1,2017,11,25,9,32,44.52
16,2,2,2017,11,25,9,37,25.48
17,2,1,2017,11,25,9,37,39.612
18,2,1,2017,11,25,9,41,57.869
19,2,1,2017,11,25,9,42,4.504
20,2,1,2017,11,25,9,42,15.209
21,2,1,2017,11,25,9,42,26.758
22,2,2,2017,11,25,9,48,4.174
23,2,1,2017,11,25,9,52,52.878
24,2,1,2017,11,25,9,54,7.247
25,2,2,2017,11,25,9,54,41.157
26,2,2,2017,11,25,9,54,54.429
27,2,2,2017,11,25,9,55,1.17
28,2,2,2017,11,25,9,55,5.184
29,2,1,2017,11,25,9,55,14.372
30,2,1,2017,11,25,10,12,12.749
31,2,2,2017,11,25,10,14,41.656
32,2,1,2017,11,25,10,14,45.999
33,2,2,2017,11,25,10,15,8.348
34,2,1,2017,11,25,11,0,51.789
35,2,1,2017,11,25,11,1,0.533
36,2,1,2017,11,25,11,1,10.584
37,2,2,2017,11,25,11,1,16.178
38,2,1,2017,11,25,11,1,19.896
39,2,2,2017,11,25,11,1,33.992
40,2,2,2017,11,25,11,11,53.087
41,2,1,2017,11,25,11,12,0.382
42,2,1,2017,11,25,11,12,24.034
43,2,2,2017,11,25,11,13,15.429
44,2,1,2017,11,25,11,13,22.568
45,2,2,2017,11,25,11,14,44.445
46,2,1,2017,11,25,11,14,49.5
47,2,2,2017,11,25,11,17,37.098
48,2,2,2017,11,25,11,17,40.47
49,2,1,2017,11,25,11,17,44.164
50,2,2,2017,11,25,12,4,51.395
51,2,2,2017,11,25,12,10,27.127
52,2,2,2017,11,25,12,10,45.2
53,2,2,2017,11,25,12,16,6.06
54,2,2,2017,11,25,12,38,35.726
55,2,2,2017,11,25,12,38,42.329
56,2,2,2017,11,25,12,39,3.134
57,1,2,2017,11,25,12,39,8.025
58,1,2,2017,11,25,12,40,23.502
59,1,2,2017,11,25,12,40,50.406
60,1,2,2017,11,25,12,40,53.82
