outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,27,7,51,27.378
1,2,1,2017,11,27,9,19,44.45
2,2,1,2017,11,27,9,21,43.604
3,2,1,2017,11,27,9,21,54.102
4,2,2,2017,11,27,9,22,4.034
5,2,1,2017,11,27,9,22,11.802
6,2,1,2017,11,27,9,22,20.385
7,2,2,2017,11,27,9,22,27.147
8,2,1,2017,11,27,9,22,55.343
9,2,1,2017,11,27,9,23,17.83
10,2,1,2017,11,27,9,23,21.289
11,2,2,2017,11,27,9,23,26.822
12,2,1,2017,11,27,9,23,36.241
13,2,2,2017,11,27,9,23,46.017
14,2,1,2017,11,27,9,23,59.022
15,2,2,2017,11,27,9,24,21.904
16,2,1,2017,11,27,9,24,29.301
17,2,1,2017,11,27,9,24,32.758
18,2,1,2017,11,27,9,24,49.267
19,2,1,2017,11,27,9,24,53.738
20,2,1,2017,11,27,9,24,56.891
21,2,2,2017,11,27,9,25,1.169
22,2,1,2017,11,27,9,25,28.988
23,2,1,2017,11,27,9,25,33.261
24,2,2,2017,11,27,9,25,41.836
25,2,2,2017,11,27,9,25,56.855
26,2,2,2017,11,27,9,26,4.748
27,2,2,2017,11,27,9,26,12.394
28,2,1,2017,11,27,9,29,49.149
29,2,1,2017,11,27,9,29,52.192
30,2,2,2017,11,27,9,30,6.182
31,2,1,2017,11,27,9,30,14.581
32,2,2,2017,11,27,9,30,21.298
33,2,1,2017,11,27,9,30,52.343
34,2,1,2017,11,27,9,39,34.442
35,2,1,2017,11,27,9,39,41.863
36,2,2,2017,11,27,9,39,48.325
37,2,1,2017,11,27,9,39,56.874
38,2,2,2017,11,27,9,40,4.36
39,2,2,2017,11,27,10,44,32.766
40,2,1,2017,11,27,10,44,39.247
41,2,1,2017,11,27,10,44,56.847
42,2,2,2017,11,27,10,45,47.728
43,2,1,2017,11,27,10,45,51.759
44,2,2,2017,11,27,10,46,6.181
45,2,1,2017,11,27,10,46,14.434
46,2,2,2017,11,27,10,46,28.272
47,2,2,2017,11,27,10,46,31.762
48,2,1,2017,11,27,10,46,38.101
49,2,2,2017,11,27,10,46,43.193
50,2,2,2017,11,27,10,46,55.337
51,2,2,2017,11,27,10,47,4.585
52,2,2,2017,11,27,10,47,17.699
53,2,2,2017,11,27,10,47,27.605
54,2,2,2017,11,27,10,47,34.599
55,2,2,2017,11,27,10,47,39.25
56,2,2,2017,11,27,10,47,44.456
57,1,2,2017,11,27,10,50,30.433
58,1,2,2017,11,27,10,53,17.201
59,1,2,2017,11,27,12,35,18.043
