Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,2,1,8,5,11.62
1,2,2,1,2016,2,1,8,35,38.268
2,2,2,1,2016,2,1,8,35,54.95
3,1,1,1,2016,2,1,8,36,12.245
4,1,0,1,2016,2,1,8,36,12.446
5,1,1,1,2016,2,1,8,36,18.352
6,1,1,1,2016,2,1,8,36,21.829
7,1,2,1,2016,2,1,8,43,12.561
8,1,1,1,2016,2,1,8,43,30.165
9,1,0,1,2016,2,1,8,43,30.218
10,1,1,1,2016,2,1,8,43,40.866
11,1,1,1,2016,2,1,8,43,46.494
12,1,1,1,2016,2,1,8,43,50.574
13,1,1,1,2016,2,1,8,43,56.07
14,1,1,1,2016,2,1,8,43,59.528
15,1,0,1,2016,2,1,8,43,59.942
16,1,1,1,2016,2,1,8,44,6.183
17,1,2,1,2016,2,1,8,48,0.161
18,1,0,1,2016,2,1,8,48,0.402
19,1,2,1,2016,2,1,8,48,32.695
20,1,0,1,2016,2,1,8,48,35.643
21,1,1,1,2016,2,1,8,48,53.221
22,1,0,1,2016,2,1,8,48,53.262
23,1,2,1,2016,2,1,8,49,0.334
24,1,0,1,2016,2,1,8,49,0.569
25,1,2,1,2016,2,1,8,49,12.255
26,1,0,1,2016,2,1,8,49,14.968
27,1,0,1,2016,2,1,8,49,15.192
28,1,0,1,2016,2,1,8,49,15.23
29,1,1,1,2016,2,1,8,49,32.201
30,1,0,1,2016,2,1,8,49,32.258
31,1,2,1,2016,2,1,8,49,38.017
32,1,1,1,2016,2,1,8,52,36.934
33,1,1,1,2016,2,1,8,52,42.494
34,1,0,1,2016,2,1,8,52,45.472
35,1,1,1,2016,2,1,8,52,46.622
36,1,0,1,2016,2,1,8,52,46.857
37,1,1,1,2016,2,1,8,52,50.996
38,1,0,1,2016,2,1,8,52,51.149
39,1,1,1,2016,2,1,8,52,54.089
40,1,1,1,2016,2,1,8,53,3.755
41,1,2,1,2016,2,1,8,53,7.885
42,1,0,1,2016,2,1,8,53,10.405
43,1,1,1,2016,2,1,8,53,15.961
44,1,0,1,2016,2,1,8,53,16.756
45,1,2,1,2016,2,1,8,53,24.341
46,1,0,1,2016,2,1,8,53,24.824
47,1,2,1,2016,2,1,8,53,27.473
48,1,0,1,2016,2,1,8,53,28.314
49,1,0,1,2016,2,1,8,53,30.465
50,1,1,1,2016,2,1,8,53,31.58
51,1,2,1,2016,2,1,8,53,44.314
52,1,0,1,2016,2,1,8,53,46.177
53,1,1,1,2016,2,1,8,53,49.722
54,1,2,1,2016,2,1,8,53,55.136
55,1,2,1,2016,2,1,8,54,11.326
56,1,0,1,2016,2,1,8,54,11.382
57,1,0,1,2016,2,1,8,54,11.505
58,1,2,1,2016,2,1,8,54,21.808
59,2,2,1,2016,2,1,9,1,6.287
60,2,2,1,2016,2,1,9,2,21.333
61,2,2,1,2016,2,1,9,2,27.048
62,2,2,1,2016,2,1,9,2,32.394
63,2,0,1,2016,2,1,9,2,32.688
64,2,2,1,2016,2,1,9,4,10.72
65,2,2,1,2016,2,1,9,19,14.203
66,2,1,1,2016,2,1,9,19,20.554
67,2,2,1,2016,2,1,9,19,37.125
68,2,1,1,2016,2,1,9,19,40.702
69,2,2,1,2016,2,1,9,21,15.527
70,2,0,1,2016,2,1,9,21,18.118
71,2,2,1,2016,2,1,9,21,19.859
72,2,0,1,2016,2,1,9,21,19.997
73,2,2,1,2016,2,1,9,21,28.176
