Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,2,23,8,5,11.922
1,1,1,1,2016,2,23,8,7,58.046
2,1,1,1,2016,2,23,8,8,50.133
3,1,1,1,2016,2,23,8,8,54.116
4,1,2,1,2016,2,23,8,8,58.018
5,1,1,1,2016,2,23,8,9,7.276
6,1,0,1,2016,2,23,8,9,8.055
7,1,0,1,2016,2,23,8,9,10.238
8,1,1,1,2016,2,23,8,9,11.58
9,1,0,1,2016,2,23,8,9,11.773
10,1,0,1,2016,2,23,8,9,12.67
11,1,1,1,2016,2,23,8,9,22.765
12,1,1,1,2016,2,23,8,9,27.62
13,1,1,1,2016,2,23,8,9,39.658
14,1,0,1,2016,2,23,8,9,39.704
15,1,1,1,2016,2,23,8,9,47.5
16,1,1,1,2016,2,23,8,9,52.463
17,1,2,1,2016,2,23,8,10,3.395
18,1,2,1,2016,2,23,8,10,11.407
19,1,1,1,2016,2,23,8,10,24.768
20,1,2,1,2016,2,23,8,10,36.611
21,1,2,1,2016,2,23,8,10,47.961
22,1,0,1,2016,2,23,8,10,48.262
23,1,1,1,2016,2,23,8,10,51.712
24,1,2,1,2016,2,23,8,10,54.857
25,1,1,1,2016,2,23,8,11,11.226
26,1,0,1,2016,2,23,8,11,11.774
27,1,1,1,2016,2,23,8,11,14.32
28,1,0,1,2016,2,23,8,11,17.229
29,1,1,1,2016,2,23,8,11,17.672
30,1,0,1,2016,2,23,8,11,18.497
31,1,0,1,2016,2,23,8,11,20.535
32,1,1,1,2016,2,23,8,11,21.524
33,1,0,1,2016,2,23,8,11,21.734
34,1,0,1,2016,2,23,8,11,24.156
35,1,0,1,2016,2,23,8,11,24.348
36,1,1,1,2016,2,23,8,11,25.296
37,1,0,1,2016,2,23,8,11,25.505
38,1,0,1,2016,2,23,8,11,27.281
39,1,1,1,2016,2,23,8,11,28.621
40,1,0,1,2016,2,23,8,11,28.914
41,1,2,1,2016,2,23,8,11,35.543
42,1,0,1,2016,2,23,8,11,35.636
43,1,1,1,2016,2,23,8,11,44.911
44,1,0,1,2016,2,23,8,11,47.669
45,1,2,1,2016,2,23,8,11,48.372
46,1,0,1,2016,2,23,8,11,48.46
47,1,2,1,2016,2,23,8,11,59.352
48,1,0,1,2016,2,23,8,11,59.397
49,1,1,1,2016,2,23,8,12,10.239
50,1,0,1,2016,2,23,8,12,10.998
51,1,2,1,2016,2,23,8,12,14.044
52,1,0,1,2016,2,23,8,12,16.818
53,1,0,1,2016,2,23,8,12,16.931
54,1,1,1,2016,2,23,8,12,18.484
55,1,2,1,2016,2,23,8,12,23.926
56,1,2,1,2016,2,23,8,12,31.683
57,1,2,1,2016,2,23,8,12,37.819
58,1,1,1,2016,2,23,8,12,52.594
59,1,0,1,2016,2,23,8,12,55.237
60,1,0,1,2016,2,23,8,12,55.482
61,1,2,1,2016,2,23,8,12,56.407
62,1,0,1,2016,2,23,8,12,56.518
63,1,0,1,2016,2,23,8,12,59.385
64,1,1,1,2016,2,23,8,12,59.525
65,1,0,1,2016,2,23,8,13,0.452
66,1,0,1,2016,2,23,8,13,0.726
67,1,1,1,2016,2,23,8,15,16.454
68,1,2,1,2016,2,23,8,15,26.423
69,1,2,1,2016,2,23,8,15,36.878
70,1,2,1,2016,2,23,8,15,52.101
71,1,1,1,2016,2,23,8,16,0.934
72,1,1,1,2016,2,23,8,16,8.857
73,1,2,1,2016,2,23,8,16,12.437
74,1,2,1,2016,2,23,8,16,21.67
75,1,0,1,2016,2,23,8,16,21.866
76,1,2,1,2016,2,23,8,16,44.633
77,1,0,1,2016,2,23,8,16,44.767
78,1,1,1,2016,2,23,8,16,57.227
79,1,0,1,2016,2,23,8,16,57.302
80,1,0,1,2016,2,23,8,17,0.053
81,1,2,1,2016,2,23,8,17,0.277
82,1,1,1,2016,2,23,8,18,19.592
83,1,1,1,2016,2,23,8,18,24.286
84,1,0,1,2016,2,23,8,18,24.486
85,1,1,1,2016,2,23,8,18,27.467
86,1,0,1,2016,2,23,8,18,27.698
87,1,2,1,2016,2,23,8,18,30.785
88,1,0,1,2016,2,23,8,18,30.902
89,1,2,1,2016,2,23,8,18,38.388
90,1,2,1,2016,2,23,8,18,46.253
91,1,2,1,2016,2,23,8,18,54.933
92,1,2,1,2016,2,23,8,19,18.04
93,1,0,1,2016,2,23,8,19,18.464
94,1,0,1,2016,2,23,8,19,18.512
95,1,2,1,2016,2,23,8,20,10.44
96,1,2,1,2016,2,23,8,20,30.778
97,1,2,1,2016,2,23,8,20,38.277
98,1,2,1,2016,2,23,8,21,14.128
99,1,0,1,2016,2,23,8,21,28.214
100,1,0,1,2016,2,23,8,21,29.278
101,1,0,1,2016,2,23,8,21,29.506
102,1,0,1,2016,2,23,8,21,30.403
103,1,0,1,2016,2,23,8,21,30.553
104,1,0,1,2016,2,23,8,21,31.353
105,1,0,1,2016,2,23,8,21,31.392
106,1,0,1,2016,2,23,8,21,36.291
107,1,0,1,2016,2,23,8,21,36.47
108,1,0,1,2016,2,23,8,21,37.623
109,1,0,1,2016,2,23,8,21,40.456
110,1,0,1,2016,2,23,8,21,40.624
111,1,0,1,2016,2,23,8,21,41.896
112,1,0,1,2016,2,23,8,21,42.069
113,1,0,1,2016,2,23,8,21,46.856
114,1,0,1,2016,2,23,8,21,47.92
115,1,0,1,2016,2,23,8,21,47.964
116,1,0,1,2016,2,23,8,22,31.921
117,1,0,1,2016,2,23,8,36,5.233
118,2,0,1,2016,2,23,8,42,7.237
119,2,0,1,2016,2,23,8,42,16.227
120,2,0,1,2016,2,23,8,42,20.384
121,2,0,1,2016,2,23,8,42,20.48
122,2,0,1,2016,2,23,8,42,21.128
123,2,0,1,2016,2,23,8,42,21.261
124,2,0,1,2016,2,23,8,42,22.496
125,2,0,1,2016,2,23,8,42,23.807
126,2,0,1,2016,2,23,8,42,30.891
127,2,0,1,2016,2,23,8,42,30.943
128,2,0,1,2016,2,23,8,42,32.266
129,2,0,1,2016,2,23,8,42,33.094
130,2,0,1,2016,2,23,8,42,33.859
131,2,0,1,2016,2,23,8,42,39.731
132,2,0,1,2016,2,23,8,42,43.635
133,2,0,1,2016,2,23,8,42,44.796
134,2,0,1,2016,2,23,8,42,45.074
135,2,0,1,2016,2,23,8,42,51.198
136,2,0,1,2016,2,23,8,42,52.588
137,2,0,1,2016,2,23,8,42,53.547
138,2,0,1,2016,2,23,8,42,54.072
139,2,0,1,2016,2,23,8,42,54.935
140,2,0,1,2016,2,23,8,42,58.827
141,2,0,1,2016,2,23,8,42,59.897
142,2,0,1,2016,2,23,8,43,0.127
143,2,0,1,2016,2,23,8,43,0.431
144,2,0,1,2016,2,23,8,43,0.477
145,2,0,1,2016,2,23,8,43,12.581
146,1,0,1,2016,2,23,8,44,24.074
147,2,0,1,2016,2,23,8,44,34.163
148,2,0,1,2016,2,23,8,44,35.664
149,1,0,1,2016,2,23,8,46,46.754
150,1,0,1,2016,2,23,8,52,42.63
151,1,0,1,2016,2,23,8,52,54.083
152,2,0,1,2016,2,23,8,56,54.489
153,2,0,1,2016,2,23,8,56,58.689
154,2,0,1,2016,2,23,8,56,58.727
155,2,0,1,2016,2,23,8,56,59.775
156,2,0,1,2016,2,23,8,57,1.172
157,2,0,1,2016,2,23,8,57,1.642
158,2,0,1,2016,2,23,8,57,1.72
159,2,0,1,2016,2,23,8,57,1.975
160,2,0,1,2016,2,23,8,57,2.013
161,2,0,1,2016,2,23,8,57,6.799
162,2,0,1,2016,2,23,8,57,7.143
163,2,0,1,2016,2,23,8,57,8.193
164,2,0,1,2016,2,23,8,57,58.443
165,2,0,1,2016,2,23,8,57,58.487
166,2,0,1,2016,2,23,8,58,1.472
167,2,0,1,2016,2,23,8,58,2.483
168,2,0,1,2016,2,23,8,58,11.657
169,2,0,1,2016,2,23,8,58,11.84
170,2,0,1,2016,2,23,8,58,27.614
171,2,0,1,2016,2,23,8,58,28.603
172,2,0,1,2016,2,23,8,58,29.304
173,2,0,1,2016,2,23,8,59,20.675
174,2,0,1,2016,2,23,8,59,20.866
175,2,0,1,2016,2,23,8,59,20.986
176,2,0,1,2016,2,23,8,59,21.719
177,2,0,1,2016,2,23,9,1,51.201
178,2,0,1,2016,2,23,9,1,52.566
179,2,0,1,2016,2,23,9,1,52.752
180,2,0,1,2016,2,23,9,1,52.786
181,2,0,1,2016,2,23,9,1,52.842
182,2,0,1,2016,2,23,9,4,54.642
183,2,0,1,2016,2,23,9,5,4.985
184,2,0,1,2016,2,23,9,5,5.255
185,1,0,1,2016,2,23,9,9,17.946
186,1,0,1,2016,2,23,9,9,21.833
187,2,0,1,2016,2,23,9,10,43.212
188,2,0,1,2016,2,23,9,10,45.385
189,2,0,1,2016,2,23,9,10,45.419
190,1,0,1,2016,2,23,9,10,53.707
191,2,0,1,2016,2,23,9,11,15.219
192,2,0,1,2016,2,23,9,11,15.403
193,2,0,1,2016,2,23,9,11,21.021
194,2,0,1,2016,2,23,9,11,21.254
195,1,0,1,2016,2,23,9,14,7.258
196,1,0,1,2016,2,23,9,14,8.625
197,1,0,1,2016,2,23,9,14,18.1
198,2,0,1,2016,2,23,9,15,20.888
199,2,0,1,2016,2,23,9,15,21.223
200,2,0,1,2016,2,23,9,15,21.265
201,2,0,1,2016,2,23,9,37,33.439
202,2,0,1,2016,2,23,9,37,36.751
203,2,0,1,2016,2,23,9,46,7.377
204,2,0,1,2016,2,23,9,46,7.599
205,2,0,1,2016,2,23,9,46,8.468
206,2,0,1,2016,2,23,9,46,8.521
207,2,0,1,2016,2,23,9,46,9.183
208,2,0,1,2016,2,23,9,46,10.578
209,2,0,1,2016,2,23,9,46,10.63
210,2,0,1,2016,2,23,9,46,10.666
211,2,0,1,2016,2,23,9,46,11.337
212,2,0,1,2016,2,23,9,46,11.508
213,2,0,1,2016,2,23,9,46,12.256
214,2,0,1,2016,2,23,9,46,15.513
215,2,0,1,2016,2,23,9,48,13.078
216,2,0,1,2016,2,23,9,48,13.798
217,2,0,1,2016,2,23,9,48,14.006
218,2,0,1,2016,2,23,9,48,18.849
219,2,0,1,2016,2,23,9,48,19.623
220,2,0,1,2016,2,23,9,48,20
221,2,0,1,2016,2,23,9,48,21.031
222,2,0,1,2016,2,23,9,48,21.187
223,2,0,1,2016,2,23,9,48,21.316
224,2,0,1,2016,2,23,9,48,24.248
225,2,0,1,2016,2,23,9,48,24.711
226,2,0,1,2016,2,23,9,48,25.206
227,2,0,1,2016,2,23,9,48,25.254
228,2,0,1,2016,2,23,9,49,1.288
229,2,0,1,2016,2,23,9,49,1.47
230,2,0,1,2016,2,23,10,40,39.149
231,2,0,1,2016,2,23,14,56,30.949
