Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,1,31,8,5,18.508
1,1,1,1,2016,1,31,9,4,40.228
2,1,1,1,2016,1,31,9,5,6.134
3,1,1,1,2016,1,31,9,5,9.391
4,1,0,1,2016,1,31,9,5,9.692
5,1,2,1,2016,1,31,9,5,13.441
6,1,1,1,2016,1,31,9,5,28.25
7,1,1,1,2016,1,31,9,5,31.604
8,1,1,1,2016,1,31,9,5,34.866
9,1,1,1,2016,1,31,9,5,41.373
10,1,1,1,2016,1,31,9,5,45.677
11,1,0,1,2016,1,31,9,5,45.941
12,1,1,1,2016,1,31,9,6,2.255
13,1,1,1,2016,1,31,9,6,5.423
14,1,0,1,2016,1,31,9,6,5.785
15,1,2,1,2016,1,31,9,6,14.645
16,1,0,1,2016,1,31,9,6,14.989
17,1,0,1,2016,1,31,9,6,15.849
18,1,2,1,2016,1,31,9,6,32.272
19,1,1,1,2016,1,31,9,6,52.384
20,1,2,1,2016,1,31,9,6,56.715
21,1,0,1,2016,1,31,9,6,57.691
22,1,2,1,2016,1,31,9,7,3.434
23,1,1,1,2016,1,31,9,8,2.441
24,1,2,1,2016,1,31,9,8,11.332
25,1,1,1,2016,1,31,9,8,14.454
26,1,1,1,2016,1,31,9,8,19.369
27,1,1,1,2016,1,31,9,8,24.607
28,1,1,1,2016,1,31,9,8,29.272
29,1,1,1,2016,1,31,9,8,33.512
30,1,0,1,2016,1,31,9,8,34.226
31,1,0,1,2016,1,31,9,8,36.369
32,1,1,1,2016,1,31,9,8,43.484
33,1,2,1,2016,1,31,9,9,6.888
34,1,0,1,2016,1,31,9,9,7.144
35,1,1,1,2016,1,31,9,9,9.919
36,1,2,1,2016,1,31,9,9,16.066
37,1,0,1,2016,1,31,9,9,16.402
38,1,0,1,2016,1,31,9,9,18.7
39,1,2,1,2016,1,31,9,9,26.711
40,1,1,1,2016,1,31,9,9,33.478
41,1,2,1,2016,1,31,9,9,39.646
42,1,0,1,2016,1,31,9,9,39.931
43,1,0,1,2016,1,31,9,9,40.954
44,1,0,1,2016,1,31,9,9,41.402
45,1,0,1,2016,1,31,9,9,41.661
46,1,1,1,2016,1,31,9,40,13.203
47,1,2,1,2016,1,31,9,40,51.837
48,1,2,1,2016,1,31,9,41,4.586
49,1,2,1,2016,1,31,10,0,15.334
50,1,1,1,2016,1,31,10,1,17.149
51,1,2,1,2016,1,31,10,2,39.988
52,1,0,1,2016,1,31,10,2,42.752
53,1,1,1,2016,1,31,10,2,43.321
54,1,1,1,2016,1,31,10,2,49.589
55,1,0,1,2016,1,31,10,2,50.033
56,1,2,1,2016,1,31,10,2,53.584
57,1,2,1,2016,1,31,10,3,15.718
58,1,2,1,2016,1,31,10,5,3.155
59,2,2,1,2016,1,31,18,5,22.477
60,2,2,1,2016,1,31,18,7,20.173
61,1,1,1,2016,1,31,18,8,30.005
62,1,1,1,2016,1,31,18,9,50.885
63,1,2,1,2016,1,31,18,9,55.877
64,1,2,1,2016,1,31,18,10,1.667
65,1,0,1,2016,1,31,18,10,3.484
66,1,1,1,2016,1,31,18,10,31.027
67,1,2,1,2016,1,31,18,10,38.061
68,1,1,1,2016,1,31,18,10,53.399
69,1,2,1,2016,1,31,18,11,1.801
70,1,2,1,2016,1,31,18,11,5.911
71,1,2,1,2016,1,31,18,11,9.456
72,1,1,1,2016,1,31,18,11,12.857
73,1,2,1,2016,1,31,18,12,19.273
74,1,1,1,2016,1,31,18,13,3.982
75,1,2,1,2016,1,31,18,13,9.586
76,1,2,1,2016,1,31,18,13,15.012
77,1,2,1,2016,1,31,18,13,26.939
78,1,2,1,2016,1,31,18,13,54.681
79,1,0,1,2016,1,31,18,14,28.039
80,1,0,1,2016,1,31,18,14,28.246
81,1,0,1,2016,1,31,18,14,30.209
82,1,0,1,2016,1,31,18,14,41.036
83,1,0,1,2016,1,31,18,22,32.534
84,1,0,1,2016,1,31,18,22,35.937
85,1,0,1,2016,1,31,18,22,37.794
86,1,0,1,2016,1,31,18,22,51.686
87,1,0,1,2016,1,31,18,23,50.206
88,1,0,1,2016,1,31,18,23,51.271
