Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,15,10,5,14.801
1,1,1,1,2016,3,15,11,21,11.681
2,1,1,1,2016,3,15,11,22,49.833
3,1,1,1,2016,3,15,11,23,58.173
4,1,2,1,2016,3,15,11,24,49.455
5,1,1,1,2016,3,15,11,24,59.037
6,1,1,1,2016,3,15,11,25,5.904
7,1,1,1,2016,3,15,11,25,13.045
8,1,1,1,2016,3,15,11,25,20.037
9,1,1,1,2016,3,15,11,25,45.106
10,1,1,1,2016,3,15,11,25,49.162
11,1,1,1,2016,3,15,11,25,53.281
12,1,2,1,2016,3,15,11,26,21.507
13,1,2,1,2016,3,15,11,26,33.111
14,1,1,1,2016,3,15,11,26,53.953
15,1,0,1,2016,3,15,11,26,55.95
16,1,2,1,2016,3,15,11,27,22.053
17,1,2,1,2016,3,15,11,28,16.435
18,1,1,1,2016,3,15,11,28,30.713
19,1,2,1,2016,3,15,11,28,51.161
20,1,1,1,2016,3,15,11,28,58.68
21,1,1,1,2016,3,15,11,29,2.844
22,1,1,1,2016,3,15,11,29,8.488
23,1,0,1,2016,3,15,11,29,11.292
24,1,1,1,2016,3,15,11,29,13.504
25,1,0,1,2016,3,15,11,29,16.312
26,1,1,1,2016,3,15,11,29,18.553
27,1,1,1,2016,3,15,11,29,27.183
28,1,2,1,2016,3,15,11,29,30.387
29,1,1,1,2016,3,15,11,29,44.004
30,1,2,1,2016,3,15,11,29,47.203
31,1,2,1,2016,3,15,11,30,0.57
32,1,1,1,2016,3,15,11,30,9.468
33,1,2,1,2016,3,15,11,30,12.88
34,1,0,1,2016,3,15,11,30,13.035
35,1,1,1,2016,3,15,11,30,19.716
36,1,2,1,2016,3,15,11,30,23.323
37,1,2,1,2016,3,15,11,30,34.98
38,1,0,1,2016,3,15,11,30,37.973
39,1,2,1,2016,3,15,11,30,38.842
40,1,1,1,2016,3,15,11,31,5.938
41,1,0,1,2016,3,15,11,31,8.673
42,1,2,1,2016,3,15,11,31,9.196
43,1,1,1,2016,3,15,11,31,41.377
44,1,0,1,2016,3,15,11,31,42.144
45,1,0,1,2016,3,15,11,31,43.974
46,1,1,1,2016,3,15,11,31,44.521
47,1,2,1,2016,3,15,11,31,48.158
48,1,2,1,2016,3,15,11,32,1.946
49,1,2,1,2016,3,15,11,32,5.654
50,1,1,1,2016,3,15,11,32,14.65
51,1,1,1,2016,3,15,11,32,25.708
52,1,2,1,2016,3,15,11,32,29.01
53,1,2,1,2016,3,15,11,32,53.483
54,1,2,1,2016,3,15,11,32,56.55
55,1,1,1,2016,3,15,11,33,14.515
56,1,0,1,2016,3,15,11,33,16.688
57,1,2,1,2016,3,15,11,33,17.835
58,1,1,1,2016,3,15,11,33,31.218
59,1,0,1,2016,3,15,11,33,33.987
60,1,1,1,2016,3,15,11,33,36.163
61,1,0,1,2016,3,15,11,33,38.946
62,1,1,1,2016,3,15,11,33,39.308
63,1,0,1,2016,3,15,11,33,39.97
64,1,0,1,2016,3,15,11,33,41.803
65,1,2,1,2016,3,15,11,33,42.455
66,1,2,1,2016,3,15,11,33,52.339
67,1,2,1,2016,3,15,11,33,55.425
68,1,2,1,2016,3,15,11,34,3.304
69,1,0,1,2016,3,15,11,34,3.428
70,1,2,1,2016,3,15,11,34,21.958
71,1,2,1,2016,3,15,11,34,31.605
72,1,0,1,2016,3,15,11,34,31.854
73,1,2,1,2016,3,15,11,34,48.033
74,1,2,1,2016,3,15,11,34,56.661
75,1,0,1,2016,3,15,11,34,57.025
76,1,2,1,2016,3,15,11,35,0.998
77,1,0,1,2016,3,15,11,35,21.514
78,1,0,1,2016,3,15,11,35,21.888
79,1,0,1,2016,3,15,11,35,24.012
80,1,0,1,2016,3,15,11,35,24.254
81,1,0,1,2016,3,15,11,35,24.774
82,1,0,1,2016,3,15,11,35,25.11
83,1,0,1,2016,3,15,11,35,26.401
84,1,0,1,2016,3,15,11,35,27.471
85,1,0,1,2016,3,15,11,35,30.065
86,1,0,1,2016,3,15,11,35,30.318
87,1,0,1,2016,3,15,11,35,40.342
88,1,0,1,2016,3,15,11,35,41.123
