Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,2,6,8,5,13.443
1,1,1,1,2016,2,6,8,9,57.152
2,1,1,1,2016,2,6,8,10,45.584
3,1,1,1,2016,2,6,8,10,54.251
4,1,2,1,2016,2,6,8,11,37.031
5,1,1,1,2016,2,6,8,11,41.855
6,1,0,1,2016,2,6,8,11,42.319
7,1,1,1,2016,2,6,8,12,18.652
8,1,1,1,2016,2,6,8,12,25.537
9,1,1,1,2016,2,6,8,12,35.452
10,1,1,1,2016,2,6,8,12,46.376
11,1,1,1,2016,2,6,8,12,55.142
12,1,1,1,2016,2,6,8,13,9.996
13,1,2,1,2016,2,6,8,13,14.084
14,1,2,1,2016,2,6,8,13,19.979
15,1,1,1,2016,2,6,8,13,39.504
16,1,2,1,2016,2,6,8,13,43.42
17,1,2,1,2016,2,6,8,13,49.648
18,1,1,1,2016,2,6,8,13,53.073
19,1,2,1,2016,2,6,8,14,25.759
20,2,2,1,2016,2,6,8,15,6.454
21,2,2,1,2016,2,6,8,15,21.261
22,2,0,1,2016,2,6,8,15,21.636
23,1,1,1,2016,2,6,8,15,47.997
24,1,0,1,2016,2,6,8,15,48.44
25,1,1,1,2016,2,6,8,15,58.245
26,1,2,1,2016,2,6,8,16,2.727
27,1,0,1,2016,2,6,8,16,4.478
28,1,2,1,2016,2,6,8,16,7.867
29,1,0,1,2016,2,6,8,16,9.275
30,1,0,1,2016,2,6,8,16,9.925
31,1,1,1,2016,2,6,8,16,11.799
32,1,2,1,2016,2,6,8,16,15.915
33,1,1,1,2016,2,6,8,16,43.452
34,1,1,1,2016,2,6,8,16,54.264
35,1,0,1,2016,2,6,8,16,54.575
36,1,1,1,2016,2,6,8,17,17.367
37,1,1,1,2016,2,6,8,20,2.535
38,1,0,1,2016,2,6,8,20,2.808
39,1,1,1,2016,2,6,8,20,32.558
40,1,1,1,2016,2,6,8,20,43.985
41,1,2,1,2016,2,6,8,20,48.348
42,1,1,1,2016,2,6,8,20,52.234
43,1,2,1,2016,2,6,8,21,12.381
44,1,0,1,2016,2,6,8,21,14.658
45,1,0,1,2016,2,6,8,21,14.936
46,1,2,1,2016,2,6,8,21,16.596
47,1,0,1,2016,2,6,8,21,18.177
48,1,0,1,2016,2,6,8,21,18.571
49,1,1,1,2016,2,6,8,21,20.251
50,1,2,1,2016,2,6,8,21,25.773
