Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,1,30,8,5,20.915
1,1,1,1,2016,1,30,8,9,45.865
2,1,1,1,2016,1,30,8,10,29.112
3,1,1,1,2016,1,30,8,10,33.901
4,1,2,1,2016,1,30,8,12,17.866
5,1,1,1,2016,1,30,8,32,58.139
6,1,1,1,2016,1,30,8,33,44.897
7,2,2,1,2016,1,30,9,10,11.611
8,2,2,1,2016,1,30,10,28,22.875
9,2,2,1,2016,1,30,10,28,45.038
10,2,2,1,2016,1,30,10,29,27.698
11,2,1,1,2016,1,30,10,29,46.366
12,2,0,1,2016,1,30,10,29,48.479
13,2,2,1,2016,1,30,10,29,50.475
14,2,2,1,2016,1,30,10,30,7.78
15,2,1,1,2016,1,30,10,30,23.728
16,2,0,1,2016,1,30,10,30,25.393
17,2,0,1,2016,1,30,10,30,26.465
18,2,2,1,2016,1,30,10,31,39.799
19,2,2,1,2016,1,30,10,32,39.427
20,2,2,1,2016,1,30,10,33,15.116
21,2,1,1,2016,1,30,10,33,31.377
22,2,2,1,2016,1,30,10,33,34.755
23,2,1,1,2016,1,30,10,33,58.311
24,2,0,1,2016,1,30,10,33,59.67
25,2,0,1,2016,1,30,10,34,0.22
26,2,0,1,2016,1,30,10,34,1.2
27,2,2,1,2016,1,30,10,34,2.417
28,2,1,1,2016,1,30,10,35,27.941
29,2,2,1,2016,1,30,11,11,31.398
30,2,2,1,2016,1,30,11,11,41.934
31,2,2,1,2016,1,30,11,11,52.186
32,2,2,1,2016,1,30,11,12,58.105
33,2,2,1,2016,1,30,11,13,8.255
34,2,1,1,2016,1,30,11,13,16.023
35,2,0,1,2016,1,30,11,13,18.094
36,2,2,1,2016,1,30,11,13,32.776
37,2,2,1,2016,1,30,11,13,46.667
38,2,1,1,2016,1,30,11,22,23.378
39,2,1,1,2016,1,30,11,22,35.251
40,2,0,1,2016,1,30,11,22,37.498
41,2,1,1,2016,1,30,11,22,43.097
42,2,1,1,2016,1,30,11,23,18.078
43,2,0,1,2016,1,30,11,23,19.879
44,2,2,1,2016,1,30,11,23,23.273
45,2,2,1,2016,1,30,11,23,35.306
46,2,1,1,2016,1,30,11,24,3.321
47,2,0,1,2016,1,30,11,24,5.093
48,2,2,1,2016,1,30,11,24,17.356
49,2,1,1,2016,1,30,11,24,24.592
50,2,0,1,2016,1,30,11,24,27.521
51,2,2,1,2016,1,30,11,24,35.711
52,2,2,1,2016,1,30,11,24,59.868
53,2,2,1,2016,1,30,11,25,10.656
54,2,1,1,2016,1,30,11,30,58.651
55,2,2,1,2016,1,30,11,31,5.697
56,2,0,1,2016,1,30,11,31,6.462
57,2,1,1,2016,1,30,11,33,23.065
58,2,1,1,2016,1,30,11,37,58.379
59,2,2,1,2016,1,30,11,38,9.577
60,2,0,1,2016,1,30,11,38,11.721
61,2,2,1,2016,1,30,11,38,16.267
62,2,1,1,2016,1,30,11,38,27.33
63,2,0,1,2016,1,30,11,38,29.252
64,2,0,1,2016,1,30,11,38,29.592
65,2,2,1,2016,1,30,11,38,38.005
66,2,1,1,2016,1,30,11,40,21.611
67,2,2,1,2016,1,30,11,41,5.776
68,2,1,1,2016,1,30,11,41,15.996
69,2,1,1,2016,1,30,11,41,19.063
70,2,0,1,2016,1,30,11,41,21.723
71,2,1,1,2016,1,30,11,41,22.943
72,2,1,1,2016,1,30,11,41,32.899
73,2,1,1,2016,1,30,11,41,46.571
74,2,0,1,2016,1,30,11,41,47.192
75,2,1,1,2016,1,30,11,41,57.53
76,2,1,1,2016,1,30,11,42,10.003
77,2,1,1,2016,1,30,11,42,21.677
78,2,0,1,2016,1,30,11,42,23.72
79,2,0,1,2016,1,30,11,42,26.113
80,2,0,1,2016,1,30,11,42,26.169
81,2,0,1,2016,1,30,11,42,46.299
82,2,0,1,2016,1,30,11,43,26.026
83,2,0,1,2016,1,30,11,44,7.311
84,2,0,1,2016,1,30,11,44,7.352
85,2,0,1,2016,1,30,11,44,28.87
86,2,0,1,2016,1,30,11,44,39.029
87,2,0,1,2016,1,30,11,45,10.017
88,2,0,1,2016,1,30,11,45,39.393
89,2,0,1,2016,1,30,11,48,52.423
90,2,0,1,2016,1,30,11,49,59.245
91,2,0,1,2016,1,30,11,50,13.026
92,2,0,1,2016,1,30,11,50,18.838
93,2,0,1,2016,1,30,11,50,22.506
94,2,0,1,2016,1,30,11,50,40.044
95,2,0,1,2016,1,30,11,50,55.653
96,2,0,1,2016,1,30,11,51,13.641
97,2,0,1,2016,1,30,11,51,38.98
98,2,0,1,2016,1,30,11,52,8.675
99,2,0,1,2016,1,30,11,52,8.759
100,2,0,1,2016,1,30,11,52,51.228
101,2,0,1,2016,1,30,11,53,10.618
102,2,0,1,2016,1,30,11,53,36.571
103,2,0,1,2016,1,30,11,54,14.031
104,2,0,1,2016,1,30,11,55,13.466
105,2,0,1,2016,1,30,11,55,18.027
106,2,0,1,2016,1,30,12,1,20.044
107,1,0,1,2016,1,30,12,16,34.35
108,2,0,1,2016,1,30,12,19,1.412
109,2,0,1,2016,1,30,12,19,28.655
110,2,0,1,2016,1,30,12,19,45.405
111,2,0,1,2016,1,30,12,20,4.764
112,2,0,1,2016,1,30,12,20,4.811
113,2,0,1,2016,1,30,12,20,9.642
114,2,0,1,2016,1,30,12,20,21.741
115,2,0,1,2016,1,30,12,21,13.276
116,2,0,1,2016,1,30,12,21,15.327
117,2,0,1,2016,1,30,12,21,20.692
118,2,0,1,2016,1,30,12,22,38.062
119,2,0,1,2016,1,30,12,22,40.159
120,2,0,1,2016,1,30,12,22,41.637
121,2,0,1,2016,1,30,12,22,42.944
122,2,0,1,2016,1,30,12,22,51.711
123,2,0,1,2016,1,30,12,23,2.127
