Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,12,8,5,30.831
1,1,1,1,2016,3,12,8,8,46.121
2,1,1,1,2016,3,12,8,9,37.701
3,1,0,1,2016,3,12,8,9,37.843
4,1,1,1,2016,3,12,8,9,42.33
5,1,2,1,2016,3,12,8,9,46.008
6,1,1,1,2016,3,12,8,9,49.81
7,1,0,1,2016,3,12,8,9,50.144
8,1,1,1,2016,3,12,8,9,54.125
9,1,0,1,2016,3,12,8,9,54.225
10,1,0,1,2016,3,12,8,9,54.357
11,1,1,1,2016,3,12,8,10,7.495
12,1,0,1,2016,3,12,8,10,7.607
13,1,1,1,2016,3,12,8,10,11.238
14,1,0,1,2016,3,12,8,10,11.448
15,1,1,1,2016,3,12,8,10,14.834
16,1,0,1,2016,3,12,8,10,15.025
17,1,1,1,2016,3,12,8,10,17.975
18,1,1,1,2016,3,12,8,10,21.354
19,1,0,1,2016,3,12,8,10,21.521
20,1,2,1,2016,3,12,8,10,24.505
21,1,2,1,2016,3,12,8,10,35.881
22,1,1,1,2016,3,12,8,10,38.988
23,1,0,1,2016,3,12,8,10,39.227
24,1,0,1,2016,3,12,8,10,39.372
25,1,0,1,2016,3,12,8,10,39.576
26,1,2,1,2016,3,12,8,10,42.921
27,1,0,1,2016,3,12,8,10,43.048
28,1,0,1,2016,3,12,8,10,43.203
29,1,2,1,2016,3,12,8,10,46.456
30,1,1,1,2016,3,12,8,10,58.017
31,1,0,1,2016,3,12,8,10,58.299
32,1,2,1,2016,3,12,8,11,5.398
33,1,1,1,2016,3,12,8,11,9.46
34,1,0,1,2016,3,12,8,11,9.758
35,1,1,1,2016,3,12,8,11,13.049
36,1,0,1,2016,3,12,8,11,13.415
37,1,0,1,2016,3,12,8,11,13.59
38,1,1,1,2016,3,12,8,11,19.1
39,1,0,1,2016,3,12,8,11,19.428
40,1,0,1,2016,3,12,8,11,19.604
41,1,1,1,2016,3,12,8,11,22.99
42,1,1,1,2016,3,12,8,11,49.144
43,1,1,1,2016,3,12,8,11,52.802
44,1,2,1,2016,3,12,8,12,10.112
45,1,0,1,2016,3,12,8,12,10.233
46,1,1,1,2016,3,12,8,12,16.404
47,1,0,1,2016,3,12,8,12,16.585
48,1,2,1,2016,3,12,8,12,20.088
49,1,2,1,2016,3,12,8,12,23.817
50,1,1,1,2016,3,12,8,12,27.851
51,1,2,1,2016,3,12,8,12,32.109
52,1,1,1,2016,3,12,8,12,37.059
53,1,0,1,2016,3,12,8,12,37.244
54,1,2,1,2016,3,12,8,13,24.498
55,1,2,1,2016,3,12,8,13,37.191
56,1,2,1,2016,3,12,8,13,40.667
57,1,0,1,2016,3,12,8,13,42.149
58,1,1,1,2016,3,12,8,13,47.136
59,1,2,1,2016,3,12,8,13,51.633
60,1,1,1,2016,3,12,8,14,51.332
61,1,1,1,2016,3,12,8,15,23.245
62,1,2,1,2016,3,12,8,15,26.958
63,1,2,1,2016,3,12,8,15,36.239
64,1,2,1,2016,3,12,8,16,4.825
65,1,0,1,2016,3,12,8,16,5.025
66,1,1,1,2016,3,12,8,16,36.282
67,1,1,1,2016,3,12,8,16,42.096
68,1,2,1,2016,3,12,8,17,21.741
69,1,2,1,2016,3,12,8,17,27.706
70,1,2,1,2016,3,12,8,17,31.631
71,1,1,1,2016,3,12,8,19,36.324
72,1,0,1,2016,3,12,8,19,36.691
73,1,0,1,2016,3,12,8,19,36.776
74,1,2,1,2016,3,12,8,19,46.527
75,1,0,1,2016,3,12,8,19,46.657
76,1,1,1,2016,3,12,8,19,49.891
77,1,1,1,2016,3,12,8,19,53.787
78,1,1,1,2016,3,12,8,19,58.025
79,1,2,1,2016,3,12,8,20,1.932
80,1,2,1,2016,3,12,8,20,28.986
81,1,0,1,2016,3,12,8,20,29.352
82,1,2,1,2016,3,12,8,20,35.632
83,1,2,1,2016,3,12,8,21,24.917
84,1,2,1,2016,3,12,8,22,13.576
85,1,2,1,2016,3,12,8,22,17.1
86,1,2,1,2016,3,12,8,22,45.751
87,1,0,1,2016,3,12,8,22,48.753
88,1,2,1,2016,3,12,8,22,56.844
89,1,2,1,2016,3,12,8,23,12.347
90,1,0,1,2016,3,12,8,23,29.983
91,1,0,1,2016,3,12,8,23,30.387
92,1,0,1,2016,3,12,8,23,30.604
93,1,0,1,2016,3,12,8,23,31.79
94,1,0,1,2016,3,12,8,23,34.125
95,1,0,1,2016,3,12,8,23,34.31
96,1,0,1,2016,3,12,8,23,34.429
97,1,0,1,2016,3,12,8,23,48.736
98,1,0,1,2016,3,12,8,23,59.643
99,1,0,1,2016,3,12,8,24,0.372
100,1,0,1,2016,3,12,8,24,0.463
101,1,0,1,2016,3,12,8,24,2.608
102,1,0,1,2016,3,12,8,24,3.598
103,1,0,1,2016,3,12,8,24,5.426
104,1,0,1,2016,3,12,8,24,9.012
105,1,0,1,2016,3,12,8,24,10.247
106,1,0,1,2016,3,12,8,24,11.282
107,1,0,1,2016,3,12,8,24,12.612
108,1,0,1,2016,3,12,8,56,50.152
109,1,0,1,2016,3,12,8,57,54.752
110,1,0,1,2016,3,12,8,59,51.439
111,2,0,1,2016,3,12,11,11,27.746
112,2,0,1,2016,3,12,11,11,28.608
113,2,0,1,2016,3,12,11,11,29.444
114,2,0,1,2016,3,12,11,11,30.329
115,2,0,1,2016,3,12,11,11,31.123
116,2,0,1,2016,3,12,11,11,34.296
117,2,0,1,2016,3,12,11,11,36.684
118,2,0,1,2016,3,12,11,11,37.836
119,2,0,1,2016,3,12,11,11,38.667
120,2,0,1,2016,3,12,11,11,44.345
121,2,0,1,2016,3,12,11,11,45.712
122,2,0,1,2016,3,12,11,11,46.406
123,2,0,1,2016,3,12,11,11,47.377
124,2,0,1,2016,3,12,11,11,49.203
125,2,0,1,2016,3,12,11,11,58.047
126,2,0,1,2016,3,12,11,12,1.428
127,2,0,1,2016,3,12,11,12,2.729
128,2,0,1,2016,3,12,11,12,3.983
129,2,0,1,2016,3,12,11,12,5.32
130,2,0,1,2016,3,12,11,12,28.253
131,2,0,1,2016,3,12,11,12,35.223
132,2,0,1,2016,3,12,11,12,35.941
133,2,0,1,2016,3,12,11,12,36.746
134,2,0,1,2016,3,12,11,12,37.893
135,2,0,1,2016,3,12,11,12,38.732
136,2,0,1,2016,3,12,11,12,39.502
137,2,0,1,2016,3,12,11,12,59.807
138,2,0,1,2016,3,12,11,13,0.925
139,2,0,1,2016,3,12,11,13,1.728
140,2,0,1,2016,3,12,11,13,2.706
141,2,0,1,2016,3,12,11,13,8.581
142,2,0,1,2016,3,12,11,13,9.457
143,2,0,1,2016,3,12,11,13,20.263
144,2,0,1,2016,3,12,11,13,21.368
145,2,0,1,2016,3,12,11,13,22.209
146,2,0,1,2016,3,12,11,13,23.062
147,2,0,1,2016,3,12,11,13,23.931
