Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,8,10,5,15.44
1,2,2,1,2016,4,8,10,11,44.65
2,2,2,1,2016,4,8,10,12,6.159
3,2,2,1,2016,4,8,10,13,8.431
4,2,2,1,2016,4,8,10,14,5.975
5,2,1,1,2016,4,8,10,14,37.45
6,2,2,1,2016,4,8,10,20,52.97
7,2,2,1,2016,4,8,10,21,1.404
8,1,1,1,2016,4,8,10,35,1.983
9,1,0,1,2016,4,8,10,35,2.137
10,1,1,1,2016,4,8,10,35,11.498
11,1,1,1,2016,4,8,10,35,20.747
12,1,1,1,2016,4,8,10,35,45.205
13,1,0,1,2016,4,8,10,35,45.246
14,1,0,1,2016,4,8,10,35,46.035
15,1,1,1,2016,4,8,10,35,50.553
16,1,1,1,2016,4,8,10,36,18.986
17,1,0,1,2016,4,8,10,36,19.036
18,1,0,1,2016,4,8,10,36,19.307
19,1,1,1,2016,4,8,10,36,33.549
20,1,1,1,2016,4,8,10,36,40.478
21,1,0,1,2016,4,8,10,36,41.308
22,1,1,1,2016,4,8,10,36,53.425
23,1,1,1,2016,4,8,10,38,44.714
24,1,0,1,2016,4,8,10,38,44.934
25,1,1,1,2016,4,8,10,38,53.835
26,1,2,1,2016,4,8,10,39,11.008
27,1,2,1,2016,4,8,10,39,28.09
28,1,0,1,2016,4,8,10,39,28.204
29,1,0,1,2016,4,8,10,39,28.242
30,1,1,1,2016,4,8,10,39,31.987
31,1,2,1,2016,4,8,10,39,36.248
32,1,2,1,2016,4,8,10,39,41.71
33,1,1,1,2016,4,8,10,39,48.506
34,1,0,1,2016,4,8,10,39,48.891
35,1,2,1,2016,4,8,10,39,58.565
36,1,1,1,2016,4,8,10,40,3.922
37,1,1,1,2016,4,8,10,40,7.631
38,1,0,1,2016,4,8,10,40,7.748
39,1,0,1,2016,4,8,10,40,7.893
40,1,1,1,2016,4,8,10,40,33.675
41,1,1,1,2016,4,8,10,40,40.394
42,1,0,1,2016,4,8,10,40,40.685
43,2,2,1,2016,4,8,10,50,30.939
44,1,1,1,2016,4,8,10,52,27.398
45,1,1,1,2016,4,8,10,52,30.767
46,1,2,1,2016,4,8,10,52,49.658
47,1,2,1,2016,4,8,10,52,58.143
48,1,1,1,2016,4,8,10,53,3.186
49,1,0,1,2016,4,8,10,53,3.469
50,1,2,1,2016,4,8,10,53,41.231
51,1,1,1,2016,4,8,10,53,48.055
52,1,1,1,2016,4,8,10,53,52.027
53,1,1,1,2016,4,8,10,53,58.839
54,1,0,1,2016,4,8,10,53,59.213
55,1,1,1,2016,4,8,10,54,28.945
56,1,1,1,2016,4,8,10,54,35.401
57,1,0,1,2016,4,8,10,54,37.616
58,1,1,1,2016,4,8,10,54,57.246
59,1,2,1,2016,4,8,10,55,9.562
60,1,1,1,2016,4,8,10,55,17.852
61,1,0,1,2016,4,8,10,55,18.19
62,1,2,1,2016,4,8,10,55,29.896
63,1,0,1,2016,4,8,10,55,30.039
64,1,0,1,2016,4,8,10,55,30.174
65,1,0,1,2016,4,8,10,55,32.224
66,1,2,1,2016,4,8,10,55,36.913
67,1,0,1,2016,4,8,10,55,37.538
68,1,1,1,2016,4,8,10,55,41.867
69,1,0,1,2016,4,8,10,55,43.281
70,1,2,1,2016,4,8,10,55,48.49
71,1,1,1,2016,4,8,10,55,53.409
72,1,0,1,2016,4,8,10,55,53.753
73,1,2,1,2016,4,8,10,56,3.827
74,1,0,1,2016,4,8,10,56,6.14
75,1,0,1,2016,4,8,10,56,6.215
76,1,2,1,2016,4,8,10,56,10.008
77,1,0,1,2016,4,8,10,56,10.444
78,1,2,1,2016,4,8,10,56,20.312
79,1,0,1,2016,4,8,10,56,20.367
80,1,2,1,2016,4,8,10,56,25.138
81,1,2,1,2016,4,8,10,56,34.257
82,1,2,1,2016,4,8,10,56,51.063
83,1,0,1,2016,4,8,10,56,53.994
84,1,2,1,2016,4,8,10,57,1.099
85,1,0,1,2016,4,8,10,57,1.195
86,1,0,1,2016,4,8,10,57,1.258
87,1,0,1,2016,4,8,10,57,3.274
88,1,0,1,2016,4,8,10,57,3.318
89,1,0,1,2016,4,8,10,57,3.403
90,1,2,1,2016,4,8,10,57,5.935
91,1,0,1,2016,4,8,10,57,5.996
92,1,0,1,2016,4,8,10,57,6.46
93,1,0,1,2016,4,8,10,57,6.513
94,1,0,1,2016,4,8,10,57,8.241
95,1,2,1,2016,4,8,10,57,24.376
96,1,0,1,2016,4,8,10,57,26.908
97,1,0,1,2016,4,8,10,57,27.362
98,1,2,1,2016,4,8,10,57,29.196
99,1,0,1,2016,4,8,10,57,29.992
100,1,2,1,2016,4,8,10,57,32.674
101,1,0,1,2016,4,8,10,57,44.761
102,1,0,1,2016,4,8,10,57,44.805
103,1,0,1,2016,4,8,10,57,54.595
104,1,0,1,2016,4,8,10,57,55.116
105,1,0,1,2016,4,8,10,58,59.534
106,1,0,1,2016,4,8,10,58,59.595
107,1,0,1,2016,4,8,10,59,1.296
108,1,0,1,2016,4,8,10,59,1.559
109,1,0,1,2016,4,8,10,59,41.547
110,1,0,1,2016,4,8,10,59,43.302
111,2,0,1,2016,4,8,11,2,9.766
112,2,0,1,2016,4,8,11,2,18.976
113,2,0,1,2016,4,8,11,2,19.039
114,2,0,1,2016,4,8,11,38,40.705
115,1,0,1,2016,4,8,11,38,42.018
116,1,0,1,2016,4,8,11,38,44.533
117,2,0,1,2016,4,8,11,38,44.999
118,2,0,1,2016,4,8,11,38,45.753
119,1,0,1,2016,4,8,11,39,8.819
120,2,0,1,2016,4,8,13,4,29.629
121,2,0,1,2016,4,8,13,22,40.739
122,2,0,1,2016,4,8,15,31,24.533
123,1,0,1,2016,4,8,16,1,12.626
124,1,0,1,2016,4,8,16,6,46.713
125,1,0,1,2016,4,8,16,15,48.384
126,1,0,1,2016,4,8,16,15,49.487
127,2,0,1,2016,4,8,16,25,14.867
128,1,0,1,2016,4,8,16,27,52.216
129,1,0,1,2016,4,8,16,46,39.779
130,2,0,1,2016,4,8,16,56,6.299
131,2,0,1,2016,4,8,16,56,6.354
132,2,0,1,2016,4,8,17,0,45.41
133,2,0,1,2016,4,8,18,12,56.86
