Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,11,10,5,7.934
1,1,1,1,2016,5,11,10,6,6.964
2,1,1,1,2016,5,11,10,6,35.251
3,1,1,1,2016,5,11,10,6,43.634
4,1,0,1,2016,5,11,10,6,45.417
5,1,2,1,2016,5,11,10,6,55.94
6,1,0,1,2016,5,11,10,6,57.572
7,1,1,1,2016,5,11,10,7,6.901
8,1,0,1,2016,5,11,10,7,7.166
9,1,0,1,2016,5,11,10,7,9.158
10,1,1,1,2016,5,11,10,7,19.092
11,1,0,1,2016,5,11,10,7,20.731
12,1,1,1,2016,5,11,10,7,30.15
13,1,1,1,2016,5,11,10,7,34.83
14,1,1,1,2016,5,11,10,7,37.958
15,1,0,1,2016,5,11,10,7,40.419
16,1,1,1,2016,5,11,10,7,51.968
17,1,0,1,2016,5,11,10,7,54.915
18,1,1,1,2016,5,11,10,7,57.29
19,1,2,1,2016,5,11,10,8,0.802
20,2,2,1,2016,5,11,10,8,20.218
21,2,0,1,2016,5,11,10,8,20.544
22,2,0,1,2016,5,11,10,8,22.58
23,2,2,1,2016,5,11,10,8,25.546
24,2,0,1,2016,5,11,10,8,27.617
25,2,2,1,2016,5,11,10,8,38.966
26,2,0,1,2016,5,11,10,8,41.328
27,2,2,1,2016,5,11,10,8,43.916
28,2,0,1,2016,5,11,10,8,45.834
29,2,2,1,2016,5,11,10,8,54.228
30,2,0,1,2016,5,11,10,8,54.556
31,2,0,1,2016,5,11,10,8,56.453
32,2,2,1,2016,5,11,10,9,0.735
33,2,2,1,2016,5,11,10,9,7.313
34,2,0,1,2016,5,11,10,9,9.085
35,2,2,1,2016,5,11,10,9,12.58
36,2,0,1,2016,5,11,10,9,13.851
37,2,0,1,2016,5,11,10,9,15.177
38,2,2,1,2016,5,11,10,9,21.3
39,2,2,1,2016,5,11,10,9,26.828
40,2,0,1,2016,5,11,10,9,28.948
41,2,2,1,2016,5,11,10,9,32.059
42,2,1,1,2016,5,11,10,9,39.314
43,2,0,1,2016,5,11,10,9,41.903
44,2,2,1,2016,5,11,10,10,10.855
45,2,0,1,2016,5,11,10,10,13.237
46,2,0,1,2016,5,11,10,10,13.844
47,2,1,1,2016,5,11,10,10,16.035
48,2,0,1,2016,5,11,10,10,18.688
49,2,2,1,2016,5,11,10,10,28.456
50,2,0,1,2016,5,11,10,10,31.13
51,2,1,1,2016,5,11,10,10,36.386
52,2,2,1,2016,5,11,10,10,50.776
53,2,0,1,2016,5,11,10,10,52.948
54,2,2,1,2016,5,11,10,10,56.623
55,2,0,1,2016,5,11,10,10,58.642
56,2,2,1,2016,5,11,10,11,1.719
57,2,0,1,2016,5,11,10,11,3.747
58,2,2,1,2016,5,11,10,11,6.808
59,2,0,1,2016,5,11,10,11,6.994
60,2,2,1,2016,5,11,10,11,44.39
61,2,0,1,2016,5,11,10,11,46.642
62,2,0,1,2016,5,11,10,11,47.245
63,2,1,1,2016,5,11,10,11,49.576
64,2,2,1,2016,5,11,10,11,52.741
65,2,0,1,2016,5,11,10,11,55.086
66,2,2,1,2016,5,11,10,12,0.321
67,2,0,1,2016,5,11,10,12,2.164
68,2,0,1,2016,5,11,10,12,2.838
69,2,0,1,2016,5,11,10,12,3.078
70,2,0,1,2016,5,11,10,12,3.145
71,2,1,1,2016,5,11,10,12,21.049
72,2,0,1,2016,5,11,10,12,22.645
73,2,1,1,2016,5,11,10,12,54.649
74,2,0,1,2016,5,11,10,12,57.021
75,2,1,1,2016,5,11,10,13,21.092
76,2,1,1,2016,5,11,10,13,31.617
77,2,2,1,2016,5,11,10,13,45.336
78,2,0,1,2016,5,11,10,13,47.137
79,2,0,1,2016,5,11,10,13,47.227
80,2,2,1,2016,5,11,10,14,28.336
81,2,0,1,2016,5,11,10,14,28.503
82,2,0,1,2016,5,11,10,14,30.442
83,2,0,1,2016,5,11,10,14,31.055
84,2,1,1,2016,5,11,10,14,36.626
85,2,2,1,2016,5,11,10,14,59.094
86,2,0,1,2016,5,11,10,15,0.662
87,2,1,1,2016,5,11,10,15,21.994
88,2,2,1,2016,5,11,10,15,26.475
89,2,0,1,2016,5,11,10,15,26.686
90,2,0,1,2016,5,11,10,15,28.304
91,2,0,1,2016,5,11,10,15,28.649
92,2,0,1,2016,5,11,10,15,29.295
93,2,2,1,2016,5,11,10,15,32.144
94,2,0,1,2016,5,11,10,15,33.051
95,2,0,1,2016,5,11,10,15,34.538
96,2,2,1,2016,5,11,10,16,4.408
97,2,0,1,2016,5,11,10,16,7.042
98,2,1,1,2016,5,11,10,16,13.638
99,2,2,1,2016,5,11,10,16,38.42
100,2,1,1,2016,5,11,10,16,52.338
101,2,1,1,2016,5,11,10,17,6.548
102,2,0,1,2016,5,11,10,17,8.72
103,2,2,1,2016,5,11,10,17,39.472
104,2,0,1,2016,5,11,10,17,41.619
105,2,1,1,2016,5,11,10,17,48.36
106,2,0,1,2016,5,11,10,17,50.904
107,2,1,1,2016,5,11,10,18,2.626
108,2,1,1,2016,5,11,10,18,11.059
109,2,0,1,2016,5,11,10,18,12.238
110,2,1,1,2016,5,11,10,18,17.466
111,2,1,1,2016,5,11,10,18,23.011
112,2,1,1,2016,5,11,10,18,36.905
113,2,1,1,2016,5,11,10,18,44.455
114,2,0,1,2016,5,11,10,19,9.504
115,2,0,1,2016,5,11,10,19,10.221
116,1,0,1,2016,5,11,10,20,21.397
117,1,0,1,2016,5,11,10,20,22.656
118,1,0,1,2016,5,11,10,20,23.354
119,1,0,1,2016,5,11,10,20,27.607
120,1,0,1,2016,5,11,10,20,27.734
121,1,0,1,2016,5,11,10,20,28.072
122,2,0,1,2016,5,11,10,20,51.708
123,2,0,1,2016,5,11,10,20,51.771
124,2,0,1,2016,5,11,10,22,32.216
125,2,0,1,2016,5,11,10,23,27.766
126,2,0,1,2016,5,11,10,25,0.309
127,2,0,1,2016,5,11,10,25,0.583
128,1,0,1,2016,5,11,10,25,8.712
129,2,0,1,2016,5,11,10,26,38.518
130,2,0,1,2016,5,11,10,26,55.667
131,2,0,1,2016,5,11,10,27,8.431
132,2,0,1,2016,5,11,10,28,18.89
133,2,0,1,2016,5,11,10,28,20.239
134,2,0,1,2016,5,11,10,28,21.51
135,2,0,1,2016,5,11,10,28,22.51
136,2,0,1,2016,5,11,10,28,48.879
137,2,0,1,2016,5,11,10,29,1.54
138,2,0,1,2016,5,11,10,29,42.507
139,2,0,1,2016,5,11,10,30,18.198
140,2,0,1,2016,5,11,10,30,18.495
141,2,0,1,2016,5,11,10,30,23.232
142,2,0,1,2016,5,11,10,30,23.643
143,2,0,1,2016,5,11,10,30,29.097
144,2,0,1,2016,5,11,10,36,29.239
145,2,0,1,2016,5,11,10,36,30.84
146,2,0,1,2016,5,11,10,36,32.298
147,2,0,1,2016,5,11,10,36,33.86
148,2,0,1,2016,5,11,10,36,35.082
149,2,0,1,2016,5,11,10,36,37.194
150,2,0,1,2016,5,11,10,36,38.707
151,1,0,1,2016,5,11,10,37,29.462
152,1,0,1,2016,5,11,10,37,31.565
153,1,0,1,2016,5,11,10,37,34.06
154,1,0,1,2016,5,11,10,37,34.092
155,1,0,1,2016,5,11,10,38,57.15
156,1,0,1,2016,5,11,10,39,1.95
157,1,0,1,2016,5,11,10,39,8.274
158,1,0,1,2016,5,11,10,39,9.588
159,1,0,1,2016,5,11,10,39,10.398
160,1,0,1,2016,5,11,10,39,11.723
