Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,4,10,5,6.012
1,2,2,1,2016,4,4,11,15,14.536
2,1,1,1,2016,4,4,11,19,5.823
3,1,1,1,2016,4,4,11,19,40.698
4,2,2,1,2016,4,4,11,53,25.945
5,2,2,1,2016,4,4,11,53,52.153
6,2,0,1,2016,4,4,11,53,52.307
7,2,2,1,2016,4,4,12,56,39.368
8,1,1,1,2016,4,4,13,16,14.892
9,1,1,1,2016,4,4,13,16,57.379
10,2,2,1,2016,4,4,13,28,43.086
11,2,2,1,2016,4,4,13,36,53.058
12,1,1,1,2016,4,4,16,11,44.905
13,1,1,1,2016,4,4,16,12,29.557
14,2,2,1,2016,4,4,17,32,32.875
15,2,2,1,2016,4,4,17,32,50.484
16,2,0,1,2016,4,4,17,32,50.62
17,2,0,1,2016,4,4,17,32,50.895
18,2,2,1,2016,4,4,17,33,5.344
19,2,2,1,2016,4,4,17,33,24.104
20,2,1,1,2016,4,4,17,34,48.296
21,2,0,1,2016,4,4,17,34,48.437
22,2,0,1,2016,4,4,17,34,50.365
23,2,2,1,2016,4,4,17,35,2.719
24,2,2,1,2016,4,4,17,35,12.425
25,2,0,1,2016,4,4,17,35,12.651
26,2,1,1,2016,4,4,17,35,21.759
27,2,0,1,2016,4,4,17,35,24.441
28,2,0,1,2016,4,4,17,35,24.549
29,2,2,1,2016,4,4,17,35,27.242
30,2,0,1,2016,4,4,17,35,27.352
31,2,0,1,2016,4,4,17,35,27.452
