Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,27,10,5,8.781
1,1,1,1,2016,4,27,10,16,18.017
2,1,1,1,2016,4,27,10,16,41.449
3,1,1,1,2016,4,27,10,17,25.525
4,1,0,1,2016,4,27,10,17,25.668
5,1,2,1,2016,4,27,10,17,47.599
6,1,1,1,2016,4,27,10,17,53.823
7,1,0,1,2016,4,27,10,17,54.075
8,1,1,1,2016,4,27,10,18,7.721
9,1,1,1,2016,4,27,10,18,17.106
10,1,1,1,2016,4,27,10,18,28.362
11,1,1,1,2016,4,27,10,18,45.135
12,1,0,1,2016,4,27,10,18,47.265
13,1,1,1,2016,4,27,10,19,16.898
14,1,1,1,2016,4,27,10,19,22.168
15,1,0,1,2016,4,27,10,19,22.313
16,1,0,1,2016,4,27,10,19,22.965
17,1,2,1,2016,4,27,10,19,43.086
18,1,0,1,2016,4,27,10,19,43.345
19,1,2,1,2016,4,27,10,19,51.019
20,1,1,1,2016,4,27,10,19,57.593
21,1,2,1,2016,4,27,10,21,9.744
22,1,0,1,2016,4,27,10,21,10.271
23,1,2,1,2016,4,27,10,21,16.061
24,1,0,1,2016,4,27,10,21,16.638
25,1,1,1,2016,4,27,10,21,31.705
26,1,2,1,2016,4,27,10,21,43.756
27,1,0,1,2016,4,27,10,21,44.022
28,1,1,1,2016,4,27,10,21,50.406
29,1,1,1,2016,4,27,10,22,9.035
30,1,1,1,2016,4,27,10,22,23.752
31,1,1,1,2016,4,27,10,22,46.146
32,1,1,1,2016,4,27,10,23,23.461
33,1,1,1,2016,4,27,10,24,7.214
34,1,2,1,2016,4,27,10,24,14.067
35,1,1,1,2016,4,27,10,24,44.737
36,1,0,1,2016,4,27,10,24,45.777
37,1,2,1,2016,4,27,10,24,53.316
38,1,2,1,2016,4,27,10,25,9.764
39,1,1,1,2016,4,27,10,31,49.385
40,1,2,1,2016,4,27,10,32,18.853
41,1,1,1,2016,4,27,10,32,27.195
42,1,2,1,2016,4,27,10,32,47.031
43,1,2,1,2016,4,27,10,32,59.898
44,1,0,1,2016,4,27,10,32,59.978
45,1,0,1,2016,4,27,10,33,2.763
46,1,2,1,2016,4,27,10,33,6.494
47,1,1,1,2016,4,27,10,42,33.287
48,1,2,1,2016,4,27,10,42,43.7
49,1,0,1,2016,4,27,10,42,43.907
50,1,1,1,2016,4,27,10,42,46.87
51,1,0,1,2016,4,27,10,42,46.921
52,1,1,1,2016,4,27,10,43,7.314
53,1,0,1,2016,4,27,10,43,7.366
54,1,2,1,2016,4,27,10,43,29.091
55,1,0,1,2016,4,27,10,43,29.264
56,1,2,1,2016,4,27,10,43,43.62
57,2,2,1,2016,4,27,10,43,55.732
58,2,2,1,2016,4,27,10,44,24.369
