Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,31,10,5,5.668
1,2,2,1,2016,3,31,10,35,53.414
2,2,2,1,2016,3,31,10,36,17.638
3,2,0,1,2016,3,31,10,36,20.534
4,2,2,1,2016,3,31,11,35,10.047
5,2,0,1,2016,3,31,11,35,10.457
6,2,2,1,2016,3,31,11,35,15.066
7,2,1,1,2016,3,31,11,44,12.505
8,2,0,1,2016,3,31,11,44,12.952
9,2,2,1,2016,3,31,11,44,48.015
10,2,0,1,2016,3,31,11,44,48.995
11,2,2,1,2016,3,31,11,44,54.125
12,2,1,1,2016,3,31,11,45,26.902
13,2,0,1,2016,3,31,11,45,27.156
14,2,2,1,2016,3,31,11,45,30.227
15,2,2,1,2016,3,31,11,45,35.108
16,2,0,1,2016,3,31,11,45,36.931
17,2,0,1,2016,3,31,11,45,37.392
18,2,2,1,2016,3,31,11,45,38.473
19,2,0,1,2016,3,31,11,45,38.689
20,2,0,1,2016,3,31,11,45,39.375
21,2,1,1,2016,3,31,11,46,4.138
22,2,2,1,2016,3,31,11,46,13.845
23,2,0,1,2016,3,31,11,46,14.03
24,2,0,1,2016,3,31,11,46,14.901
25,2,0,1,2016,3,31,11,46,15.102
26,2,0,1,2016,3,31,11,46,15.139
27,2,1,1,2016,3,31,11,46,36.259
28,2,2,1,2016,3,31,11,46,41.892
29,2,1,1,2016,3,31,11,46,47.62
30,2,0,1,2016,3,31,11,46,47.722
31,2,0,1,2016,3,31,11,46,48.109
32,2,0,1,2016,3,31,11,46,49.1
33,2,0,1,2016,3,31,11,46,49.169
34,2,2,1,2016,3,31,11,46,51.346
35,2,2,1,2016,3,31,11,47,0.909
36,2,2,1,2016,3,31,11,48,13.421
37,2,2,1,2016,3,31,11,48,28.542
38,2,2,1,2016,3,31,11,48,36.588
39,2,1,1,2016,3,31,11,53,15.273
40,2,2,1,2016,3,31,11,55,26.129
41,2,2,1,2016,3,31,11,55,29.277
42,2,0,1,2016,3,31,11,55,29.641
43,2,1,1,2016,3,31,11,55,42.929
44,2,1,1,2016,3,31,11,55,56.198
45,2,1,1,2016,3,31,11,56,16.244
46,2,1,1,2016,3,31,11,56,35.532
47,2,0,1,2016,3,31,11,56,36.383
48,2,0,1,2016,3,31,11,56,36.574
49,2,0,1,2016,3,31,11,56,36.603
50,2,0,1,2016,3,31,11,56,36.853
51,2,2,1,2016,3,31,11,56,57.126
52,2,2,1,2016,3,31,11,57,40.924
53,2,0,1,2016,3,31,11,57,40.994
54,2,1,1,2016,3,31,11,59,8.389
55,2,2,1,2016,3,31,11,59,23.693
56,2,0,1,2016,3,31,11,59,24.647
57,2,1,1,2016,3,31,12,45,32.027
58,2,2,1,2016,3,31,12,47,7.23
59,2,2,1,2016,3,31,12,49,7.138
60,2,0,1,2016,3,31,12,49,7.456
61,2,0,1,2016,3,31,12,49,7.847
62,2,0,1,2016,3,31,12,49,9.574
63,2,0,1,2016,3,31,12,49,9.626
64,2,0,1,2016,3,31,12,49,10.042
65,2,2,1,2016,3,31,12,50,54.029
66,2,1,1,2016,3,31,12,53,26.781
67,2,0,1,2016,3,31,12,53,27.219
68,2,2,1,2016,3,31,12,56,1.812
69,2,1,1,2016,3,31,13,5,35.711
70,2,0,1,2016,3,31,13,5,35.776
71,2,1,1,2016,3,31,13,16,51.268
72,2,2,1,2016,3,31,13,46,45.295
73,2,0,1,2016,3,31,13,46,46.076
74,2,2,1,2016,3,31,13,47,20.027
75,2,1,1,2016,3,31,13,47,38.819
76,2,2,1,2016,3,31,13,58,7.198
77,2,1,1,2016,3,31,13,58,35.745
78,2,2,1,2016,3,31,14,0,57.499
79,2,1,1,2016,3,31,14,1,10.092
80,2,0,1,2016,3,31,14,1,10.218
81,2,0,1,2016,3,31,14,1,12.876
82,2,1,1,2016,3,31,14,1,15.979
83,2,2,1,2016,3,31,14,1,37.007
84,2,1,1,2016,3,31,14,3,36.77
85,2,1,1,2016,3,31,14,4,1.131
86,2,0,1,2016,3,31,14,4,1.394
87,2,1,1,2016,3,31,14,4,7.015
88,2,1,1,2016,3,31,14,4,18.219
89,2,1,1,2016,3,31,14,4,33.693
90,2,1,1,2016,3,31,14,6,35.313
91,2,1,1,2016,3,31,14,7,37.605
92,2,1,1,2016,3,31,14,9,10.843
93,2,1,1,2016,3,31,14,10,46.021
94,2,1,1,2016,3,31,14,14,26.106
95,2,0,1,2016,3,31,14,14,27.773
96,2,1,1,2016,3,31,14,31,41.894
97,2,0,1,2016,3,31,14,31,42.24
98,2,0,1,2016,3,31,14,38,34.11
99,2,0,1,2016,3,31,14,47,20.178
100,2,0,1,2016,3,31,14,47,21.374
101,2,0,1,2016,3,31,14,47,50.594
102,2,0,1,2016,3,31,14,54,44.085
103,2,0,1,2016,3,31,14,54,44.121
104,2,0,1,2016,3,31,14,55,3.4
105,2,0,1,2016,3,31,14,55,4.576
106,2,0,1,2016,3,31,14,57,3.661
107,2,0,1,2016,3,31,14,57,3.708
108,2,0,1,2016,3,31,14,57,8.596
109,2,0,1,2016,3,31,14,57,8.963
110,2,0,1,2016,3,31,14,57,9.158
111,2,0,1,2016,3,31,15,7,24.689
112,2,0,1,2016,3,31,15,38,22.706
113,2,0,1,2016,3,31,15,43,8.057
114,2,0,1,2016,3,31,15,43,12.009
115,2,0,1,2016,3,31,15,43,14.777
116,1,0,1,2016,3,31,15,50,8.216
117,2,0,1,2016,3,31,16,36,10.329
118,2,0,1,2016,3,31,17,1,18.436
119,2,0,1,2016,3,31,17,1,21.311
120,2,0,1,2016,3,31,17,1,30.382
121,2,0,1,2016,3,31,17,1,34.824
122,2,0,1,2016,3,31,17,1,44.166
123,2,0,1,2016,3,31,17,1,44.247
124,2,0,1,2016,3,31,17,1,49.66
125,2,0,1,2016,3,31,17,1,49.985
126,2,0,1,2016,3,31,17,1,52.183
127,2,0,1,2016,3,31,17,1,53.152
128,2,0,1,2016,3,31,17,2,0.447
129,2,0,1,2016,3,31,17,2,0.724
130,2,0,1,2016,3,31,17,2,3.459
131,2,0,1,2016,3,31,17,2,11.209
132,2,0,1,2016,3,31,17,2,12.005
133,2,0,1,2016,3,31,17,2,15.736
134,2,0,1,2016,3,31,17,2,27.968
135,2,0,1,2016,3,31,17,9,4.948
136,2,0,1,2016,3,31,17,9,15.873
137,2,0,1,2016,3,31,17,9,17.692
138,2,0,1,2016,3,31,17,9,18.179
139,2,0,1,2016,3,31,17,9,20.05
140,2,0,1,2016,3,31,17,9,32.352
141,2,0,1,2016,3,31,17,9,34.536
142,2,0,1,2016,3,31,17,9,36.935
143,2,0,1,2016,3,31,17,9,40.745
144,2,0,1,2016,3,31,17,9,44.464
145,2,0,1,2016,3,31,17,9,45.205
146,2,0,1,2016,3,31,17,9,48.517
147,2,0,1,2016,3,31,17,9,49.371
148,2,0,1,2016,3,31,17,9,50.731
149,2,0,1,2016,3,31,17,9,52.998
150,2,0,1,2016,3,31,17,9,54.267
151,2,0,1,2016,3,31,17,9,58.985
152,2,0,1,2016,3,31,17,9,59.144
153,2,0,1,2016,3,31,17,10,1.814
154,2,0,1,2016,3,31,17,16,38.185
155,2,0,1,2016,3,31,17,16,40.449
156,2,0,1,2016,3,31,17,17,14.269
157,1,0,1,2016,3,31,17,51,23.367
158,2,0,1,2016,3,31,18,2,49.769
159,2,0,1,2016,3,31,18,17,40.02
160,2,0,1,2016,3,31,18,48,26.809
161,2,0,1,2016,3,31,18,48,31.424
