Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,10,10,5,13.407
1,2,2,1,2016,5,10,10,10,29.021
2,2,2,1,2016,5,10,10,10,42.901
3,2,2,1,2016,5,10,10,10,48.058
4,2,2,1,2016,5,10,10,10,55.37
5,2,1,1,2016,5,10,10,11,0.424
6,2,0,1,2016,5,10,10,11,0.682
7,2,2,1,2016,5,10,10,11,8.7
8,2,2,1,2016,5,10,10,11,13.65
9,2,1,1,2016,5,10,10,11,26.266
10,2,2,1,2016,5,10,10,11,29.974
11,2,0,1,2016,5,10,10,11,31.322
12,2,0,1,2016,5,10,10,11,32.726
13,2,2,1,2016,5,10,10,11,38.653
14,2,2,1,2016,5,10,10,11,42.127
15,2,0,1,2016,5,10,10,11,42.273
16,2,0,1,2016,5,10,10,11,44.002
17,2,1,1,2016,5,10,10,11,45.675
18,2,2,1,2016,5,10,10,11,49.023
19,2,1,1,2016,5,10,10,11,52.31
20,2,2,1,2016,5,10,10,11,59.198
21,2,1,1,2016,5,10,10,12,3.017
22,2,0,1,2016,5,10,10,12,4.475
23,2,2,1,2016,5,10,10,12,8.727
24,2,0,1,2016,5,10,10,12,10.879
25,2,2,1,2016,5,10,10,12,14.155
26,2,2,1,2016,5,10,10,12,19.825
27,2,2,1,2016,5,10,10,12,24.682
28,2,0,1,2016,5,10,10,12,24.82
29,2,0,1,2016,5,10,10,12,26.292
30,2,2,1,2016,5,10,10,12,28.17
31,2,1,1,2016,5,10,10,18,59.762
32,2,0,1,2016,5,10,10,19,0.293
33,2,0,1,2016,5,10,10,19,0.368
34,2,2,1,2016,5,10,10,19,27.447
35,2,0,1,2016,5,10,10,19,29.202
36,2,2,1,2016,5,10,10,19,31.283
37,2,1,1,2016,5,10,10,19,34.662
38,2,1,1,2016,5,10,10,19,43.232
39,2,1,1,2016,5,10,10,19,50.922
40,2,1,1,2016,5,10,10,27,38.266
41,2,0,1,2016,5,10,10,27,39.033
42,2,2,1,2016,5,10,10,27,50.26
43,2,2,1,2016,5,10,10,28,9.589
44,2,0,1,2016,5,10,10,28,11.824
45,2,1,1,2016,5,10,10,28,14.919
46,2,2,1,2016,5,10,10,28,21.48
47,2,0,1,2016,5,10,10,28,22.167
48,2,1,1,2016,5,10,10,28,28.338
49,2,2,1,2016,5,10,10,29,43.183
50,2,2,1,2016,5,10,10,29,48.044
51,2,2,1,2016,5,10,10,29,56.733
52,2,0,1,2016,5,10,10,29,57.019
53,2,1,1,2016,5,10,10,30,6.413
54,2,0,1,2016,5,10,10,30,7.963
55,2,0,1,2016,5,10,10,30,8.491
56,2,2,1,2016,5,10,10,30,12.445
57,2,0,1,2016,5,10,10,30,13.187
58,2,0,1,2016,5,10,10,30,14.523
59,2,1,1,2016,5,10,10,30,16.611
60,2,1,1,2016,5,10,10,30,23.762
61,2,0,1,2016,5,10,10,30,26.642
62,2,2,1,2016,5,10,10,30,28.752
63,2,0,1,2016,5,10,10,30,30.709
64,2,0,1,2016,5,10,10,30,30.914
65,2,2,1,2016,5,10,10,30,32.263
66,2,0,1,2016,5,10,10,30,32.431
67,2,0,1,2016,5,10,10,30,33.206
68,2,1,1,2016,5,10,10,30,38.73
69,2,0,1,2016,5,10,10,30,40.037
70,2,2,1,2016,5,10,10,30,42.974
