Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,3,10,18,29.894
1,1,1,1,2016,4,3,10,21,11.528
2,1,1,1,2016,4,3,10,36,31.029
3,1,0,1,2016,4,3,10,36,31.791
4,1,1,1,2016,4,3,10,36,55.045
5,1,0,1,2016,4,3,10,36,55.664
6,1,2,1,2016,4,3,10,37,1.923
7,1,0,1,2016,4,3,10,37,3.044
8,1,1,1,2016,4,3,10,37,13.115
9,1,0,1,2016,4,3,10,37,13.962
10,1,0,1,2016,4,3,10,37,14.592
11,1,1,1,2016,4,3,10,37,21.607
12,1,1,1,2016,4,3,10,37,36.977
13,1,0,1,2016,4,3,10,37,37.557
14,1,0,1,2016,4,3,10,37,38.21
15,1,0,1,2016,4,3,10,37,38.813
16,1,0,1,2016,4,3,10,37,39.415
17,1,1,1,2016,4,3,10,37,41.014
18,1,0,1,2016,4,3,10,37,41.827
19,1,0,1,2016,4,3,10,37,42.733
20,1,0,1,2016,4,3,10,37,43.352
21,1,1,1,2016,4,3,10,37,43.912
22,1,1,1,2016,4,3,10,37,51.235
23,1,1,1,2016,4,3,10,37,54.702
24,1,0,1,2016,4,3,10,37,55.497
25,1,0,1,2016,4,3,10,37,56.388
26,1,0,1,2016,4,3,10,37,56.779
27,1,2,1,2016,4,3,10,38,1.451
28,1,0,1,2016,4,3,10,38,2.531
29,1,2,1,2016,4,3,10,38,12.126
30,1,0,1,2016,4,3,10,38,13
31,1,0,1,2016,4,3,10,38,13.56
32,1,1,1,2016,4,3,10,39,52.282
33,1,2,1,2016,4,3,10,43,23.552
34,1,0,1,2016,4,3,10,43,24.329
35,1,0,1,2016,4,3,10,43,25.157
36,1,2,1,2016,4,3,10,43,28.515
37,1,0,1,2016,4,3,10,43,29.192
38,1,0,1,2016,4,3,10,43,29.949
39,1,0,1,2016,4,3,10,43,30.494
40,1,0,1,2016,4,3,10,43,31.292
41,1,1,1,2016,4,3,10,43,31.999
42,1,0,1,2016,4,3,10,43,32.777
43,1,0,1,2016,4,3,10,43,33.512
44,1,0,1,2016,4,3,10,43,34.195
45,1,2,1,2016,4,3,10,43,35.117
46,1,0,1,2016,4,3,10,43,36.028
47,1,1,1,2016,4,3,10,43,42.613
48,1,0,1,2016,4,3,10,43,43.176
49,1,0,1,2016,4,3,10,43,44.699
50,1,0,1,2016,4,3,10,43,45.434
51,1,1,1,2016,4,3,10,43,46.285
52,1,0,1,2016,4,3,10,43,46.847
53,1,0,1,2016,4,3,10,43,47.981
54,1,1,1,2016,4,3,10,43,56.074
55,1,0,1,2016,4,3,10,43,56.303
56,1,0,1,2016,4,3,10,43,56.67
57,1,0,1,2016,4,3,10,43,57.595
58,1,0,1,2016,4,3,10,43,58.26
59,1,0,1,2016,4,3,10,43,58.949
60,1,1,1,2016,4,3,10,44,0.414
61,1,1,1,2016,4,3,10,46,4.198
62,1,0,1,2016,4,3,10,46,4.86
63,1,0,1,2016,4,3,10,46,6.057
64,1,0,1,2016,4,3,10,46,6.858
65,1,1,1,2016,4,3,10,46,7.991
66,1,0,1,2016,4,3,10,46,8.851
67,1,2,1,2016,4,3,11,2,39.942
68,1,0,1,2016,4,3,11,2,40.692
69,1,1,1,2016,4,3,11,2,51.476
70,1,0,1,2016,4,3,11,2,52.992
71,1,2,1,2016,4,3,11,2,58.656
72,1,0,1,2016,4,3,11,2,59.474
73,1,0,1,2016,4,3,11,3,0.218
74,1,0,1,2016,4,3,11,3,1.31
75,1,2,1,2016,4,3,11,3,2.182
76,1,0,1,2016,4,3,11,3,4.137
77,1,1,1,2016,4,3,11,3,5.286
78,1,0,1,2016,4,3,11,3,6.747
79,1,2,1,2016,4,3,11,3,12.562
80,1,0,1,2016,4,3,11,3,13.184
81,1,0,1,2016,4,3,11,3,14.136
82,1,1,1,2016,4,3,11,4,8.81
83,1,0,1,2016,4,3,11,4,9.541
84,1,0,1,2016,4,3,11,4,10.195
85,1,0,1,2016,4,3,11,4,10.881
86,1,0,1,2016,4,3,11,4,11.518
87,1,2,1,2016,4,3,11,4,12.271
88,1,0,1,2016,4,3,11,4,13.279
89,1,0,1,2016,4,3,11,4,13.963
90,1,2,1,2016,4,3,11,4,22.812
91,1,2,1,2016,4,3,11,13,50.724
