Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,20,9,37,54.68
1,1,1,1,2016,4,20,9,49,59.262
2,1,1,1,2016,4,20,9,57,0.806
3,1,1,1,2016,4,20,9,59,20.401
4,1,2,1,2016,4,20,9,59,25.064
5,1,0,1,2016,4,20,9,59,25.629
6,1,1,1,2016,4,20,9,59,44.387
7,1,0,1,2016,4,20,9,59,44.965
8,1,1,1,2016,4,20,10,0,13.706
9,1,1,1,2016,4,20,10,0,18.838
10,1,0,1,2016,4,20,10,0,19.337
11,1,0,1,2016,4,20,10,0,20.154
12,1,0,1,2016,4,20,10,0,21.006
13,1,1,1,2016,4,20,10,0,22.833
14,1,0,1,2016,4,20,10,0,23.513
15,1,0,1,2016,4,20,10,0,24.904
16,1,0,1,2016,4,20,10,0,25.568
17,1,1,1,2016,4,20,10,0,28.847
18,1,0,1,2016,4,20,10,0,29.601
19,1,0,1,2016,4,20,10,0,30.312
20,1,0,1,2016,4,20,10,0,31.097
21,1,1,1,2016,4,20,10,0,32.469
22,1,0,1,2016,4,20,10,0,32.55
23,1,0,1,2016,4,20,10,0,32.84
24,1,1,1,2016,4,20,10,0,37.727
25,2,2,1,2016,4,20,10,3,35.724
26,2,2,1,2016,4,20,10,4,50.851
27,2,2,1,2016,4,20,10,5,54.697
28,2,2,1,2016,4,20,10,6,29.288
29,2,2,1,2016,4,20,10,7,1.283
30,2,2,1,2016,4,20,10,7,18.02
31,2,2,1,2016,4,20,10,7,38.26
32,2,0,1,2016,4,20,10,7,38.59
33,2,2,1,2016,4,20,10,7,48.055
34,2,2,1,2016,4,20,10,8,5.991
35,2,2,1,2016,4,20,10,9,21.211
36,2,2,1,2016,4,20,10,9,44.67
37,2,0,1,2016,4,20,10,9,44.76
38,2,1,1,2016,4,20,10,10,17.539
39,2,2,1,2016,4,20,10,10,25.235
40,2,0,1,2016,4,20,10,10,25.444
41,2,1,1,2016,4,20,10,13,11.713
42,2,2,1,2016,4,20,10,13,14.739
43,2,1,1,2016,4,20,10,13,31.21
44,2,2,1,2016,4,20,10,13,36.761
45,2,2,1,2016,4,20,10,13,47.029
46,2,0,1,2016,4,20,10,13,47.353
47,1,1,1,2016,4,20,10,21,53.526
48,2,2,1,2016,4,20,10,32,32.93
49,2,1,1,2016,4,20,10,33,29.521
50,2,2,1,2016,4,20,10,36,56.518
51,2,1,1,2016,4,20,10,38,4.174
52,2,2,1,2016,4,20,10,38,28.161
53,2,0,1,2016,4,20,10,38,28.457
54,2,2,1,2016,4,20,10,38,46.625
55,2,2,1,2016,4,20,10,39,1.728
56,2,2,1,2016,4,20,10,39,5.644
57,2,2,1,2016,4,20,10,56,39.886
58,2,1,1,2016,4,20,10,58,38.449
59,2,0,1,2016,4,20,10,58,38.679
60,2,2,1,2016,4,20,10,58,42.639
61,2,2,1,2016,4,20,10,59,3.907
62,2,1,1,2016,4,20,10,59,13.672
63,2,1,1,2016,4,20,10,59,21.976
64,2,0,1,2016,4,20,10,59,23.31
65,2,0,1,2016,4,20,10,59,23.686
66,1,1,1,2016,4,20,11,15,35.334
67,1,1,1,2016,4,20,11,25,14.049
68,1,1,1,2016,4,20,11,25,17.866
69,1,1,1,2016,4,20,11,27,24.437
70,2,2,1,2016,4,20,11,37,31.399
71,2,0,1,2016,4,20,11,37,31.585
72,2,1,1,2016,4,20,11,37,46.344
73,2,1,1,2016,4,20,11,37,49.68
74,2,1,1,2016,4,20,11,37,53.637
75,1,1,1,2016,4,20,12,22,3.802
76,1,1,1,2016,4,20,12,23,27.893
77,1,2,1,2016,4,20,12,36,54.806
78,2,2,1,2016,4,20,12,58,41.801
79,1,1,1,2016,4,20,13,14,46.484
80,1,0,1,2016,4,20,13,14,47.364
81,1,0,1,2016,4,20,13,14,48.659
82,1,1,1,2016,4,20,13,14,51.359
83,1,0,1,2016,4,20,13,14,53.724
84,1,2,1,2016,4,20,13,14,57.463
85,1,0,1,2016,4,20,13,14,58.009
86,1,2,1,2016,4,20,13,15,15.228
87,1,0,1,2016,4,20,13,27,46.881
88,2,0,1,2016,4,20,14,2,0.293
89,2,0,1,2016,4,20,14,2,1.923
90,2,0,1,2016,4,20,14,2,3.51
91,2,0,1,2016,4,20,14,2,5.265
92,2,0,1,2016,4,20,14,2,6.877
93,2,0,1,2016,4,20,14,2,8.297
94,2,0,1,2016,4,20,14,2,9.697
95,2,0,1,2016,4,20,14,2,10.297
96,2,0,1,2016,4,20,14,2,10.668
97,2,0,1,2016,4,20,14,2,11.795
98,2,0,1,2016,4,20,14,2,12.11
99,2,0,1,2016,4,20,14,2,14.61
100,2,0,1,2016,4,20,14,2,14.842
101,2,0,1,2016,4,20,14,2,16.196
102,2,0,1,2016,4,20,14,2,16.78
103,2,0,1,2016,4,20,14,2,22.126
104,2,0,1,2016,4,20,14,2,22.394
105,2,0,1,2016,4,20,14,4,8.376
106,2,0,1,2016,4,20,14,4,9.732
107,2,0,1,2016,4,20,14,4,10.006
108,2,0,1,2016,4,20,14,4,14.532
109,2,0,1,2016,4,20,14,4,14.747
110,1,0,1,2016,4,20,14,4,38.519
111,1,0,1,2016,4,20,14,4,38.601
112,1,0,1,2016,4,20,14,4,38.829
113,1,0,1,2016,4,20,14,4,48.14
114,2,0,1,2016,4,20,14,5,14.481
115,2,0,1,2016,4,20,14,5,14.614
116,2,0,1,2016,4,20,14,5,16.866
117,2,0,1,2016,4,20,14,5,16.93
118,2,0,1,2016,4,20,14,5,17.045
119,2,0,1,2016,4,20,14,5,17.485
120,2,0,1,2016,4,20,14,5,21.268
121,2,0,1,2016,4,20,14,5,21.455
122,1,0,1,2016,4,20,14,7,32.449
123,1,0,1,2016,4,20,14,7,32.897
124,1,0,1,2016,4,20,14,7,33.805
125,1,0,1,2016,4,20,14,7,34.753
126,1,0,1,2016,4,20,14,7,37.925
127,1,0,1,2016,4,20,14,7,38.847
128,1,0,1,2016,4,20,14,7,39.746
129,1,0,1,2016,4,20,14,11,17.638
130,1,0,1,2016,4,20,14,11,17.8
131,1,0,1,2016,4,20,14,11,17.862
132,1,0,1,2016,4,20,14,12,56.461
133,1,0,1,2016,4,20,14,12,56.985
134,1,0,1,2016,4,20,14,12,58.092
135,1,0,1,2016,4,20,14,13,10.291
136,1,0,1,2016,4,20,14,13,11.424
137,1,0,1,2016,4,20,14,13,12.027
138,1,0,1,2016,4,20,14,13,17.225
139,1,0,1,2016,4,20,14,13,17.776
140,1,0,1,2016,4,20,14,13,18.515
141,1,0,1,2016,4,20,14,13,28.351
142,1,0,1,2016,4,20,14,13,30.218
143,1,0,1,2016,4,20,14,13,30.779
144,1,0,1,2016,4,20,14,13,31.732
145,1,0,1,2016,4,20,14,13,32.955
146,1,0,1,2016,4,20,14,13,33.44
147,1,0,1,2016,4,20,14,13,34.334
148,1,0,1,2016,4,20,14,13,37.862
149,1,0,1,2016,4,20,14,13,55.499
150,1,0,1,2016,4,20,14,13,56.055
151,1,0,1,2016,4,20,14,13,56.696
152,1,0,1,2016,4,20,14,14,32.571
153,1,0,1,2016,4,20,14,14,33.435
154,1,0,1,2016,4,20,14,14,34.027
155,1,0,1,2016,4,20,14,14,34.922
156,1,0,1,2016,4,20,14,14,36.106
157,1,0,1,2016,4,20,14,14,37.518
158,1,0,1,2016,4,20,14,14,38.078
159,1,0,1,2016,4,20,14,14,49.347
160,1,0,1,2016,4,20,14,15,23.592
161,1,0,1,2016,4,20,14,15,24.103
162,1,0,1,2016,4,20,14,15,24.721
163,1,0,1,2016,4,20,14,15,25.364
164,1,0,1,2016,4,20,14,15,26.915
165,1,0,1,2016,4,20,14,15,27.77
166,1,0,1,2016,4,20,14,15,29.263
167,1,0,1,2016,4,20,14,15,33.448
168,1,0,1,2016,4,20,14,15,34.297
169,1,0,1,2016,4,20,14,15,35.052
170,1,0,1,2016,4,20,14,15,36.529
171,1,0,1,2016,4,20,14,15,39.385
172,1,0,1,2016,4,20,14,15,41.443
173,1,0,1,2016,4,20,14,15,42.709
174,1,0,1,2016,4,20,14,15,49.634
175,1,0,1,2016,4,20,14,15,50.253
176,1,0,1,2016,4,20,14,25,56.289
177,1,0,1,2016,4,20,14,25,58.802
178,1,0,1,2016,4,20,14,27,36.801
179,1,0,1,2016,4,20,14,27,37.387
180,1,0,1,2016,4,20,14,27,38.093
181,1,0,1,2016,4,20,14,27,39.145
182,1,0,1,2016,4,20,14,27,40.077
183,1,0,1,2016,4,20,14,27,41.285
184,1,0,1,2016,4,20,14,27,42.641
185,1,0,1,2016,4,20,14,27,46.298
186,1,0,1,2016,4,20,14,27,47.55
187,1,0,1,2016,4,20,14,27,47.788
188,1,0,1,2016,4,20,14,27,48.247
189,1,0,1,2016,4,20,14,27,48.603
190,1,0,1,2016,4,20,14,27,52.254
191,1,0,1,2016,4,20,14,27,52.948
192,1,0,1,2016,4,20,14,27,53.569
