Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,31,9,23,34.133
1,1,1,1,2016,3,31,9,34,27.549
2,2,2,1,2016,3,31,9,54,12.46
3,1,1,1,2016,3,31,10,0,29.271
4,1,1,1,2016,3,31,10,0,35.01
5,1,0,1,2016,3,31,10,0,37.201
6,1,1,1,2016,3,31,10,0,41.761
7,1,2,1,2016,3,31,10,0,45.513
8,1,0,1,2016,3,31,10,0,47.347
9,1,0,1,2016,3,31,10,0,48.277
10,1,1,1,2016,3,31,10,0,49.419
11,1,0,1,2016,3,31,10,0,51.124
12,1,1,1,2016,3,31,10,3,27.941
13,1,0,1,2016,3,31,10,3,29.994
14,1,1,1,2016,3,31,10,3,31.761
15,1,0,1,2016,3,31,10,3,32.434
16,1,0,1,2016,3,31,10,3,33.246
17,1,0,1,2016,3,31,10,3,34.237
18,1,1,1,2016,3,31,10,3,35.671
19,1,1,1,2016,3,31,10,3,38.909
20,1,1,1,2016,3,31,10,3,42.195
21,1,0,1,2016,3,31,10,3,44.078
22,1,1,1,2016,3,31,10,3,45.144
23,1,2,1,2016,3,31,10,8,36.821
24,1,0,1,2016,3,31,10,8,37.79
25,1,0,1,2016,3,31,10,8,39.388
26,1,2,1,2016,3,31,10,8,48.768
27,1,0,1,2016,3,31,10,8,49.646
28,1,0,1,2016,3,31,10,8,51.479
29,1,1,1,2016,3,31,10,8,53.952
30,1,0,1,2016,3,31,10,8,55.752
31,1,2,1,2016,3,31,10,8,57.279
32,1,0,1,2016,3,31,10,8,58.327
33,1,0,1,2016,3,31,10,8,59.041
34,1,0,1,2016,3,31,10,8,59.794
35,2,2,1,2016,3,31,10,19,54.021
36,2,0,1,2016,3,31,10,19,55.129
37,2,0,1,2016,3,31,10,19,55.224
38,1,1,1,2016,3,31,11,22,39.1
39,1,0,1,2016,3,31,11,22,39.969
40,1,0,1,2016,3,31,11,22,41.44
41,1,1,1,2016,3,31,11,22,48.382
42,1,0,1,2016,3,31,11,22,49.182
43,1,0,1,2016,3,31,11,22,50.378
44,1,2,1,2016,3,31,11,22,52.199
45,1,0,1,2016,3,31,11,22,53.173
46,1,0,1,2016,3,31,11,22,54.044
47,1,0,1,2016,3,31,11,22,54.821
48,1,2,1,2016,3,31,11,22,55.77
49,1,0,1,2016,3,31,11,22,56.717
50,1,0,1,2016,3,31,11,22,58.428
51,1,1,1,2016,3,31,11,23,0.135
52,1,0,1,2016,3,31,11,23,2.698
