Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,13,9,23,57.613
1,1,1,1,2016,5,13,10,18,40.675
2,2,2,1,2016,5,13,10,19,34.171
3,2,2,1,2016,5,13,10,19,58.326
4,2,2,1,2016,5,13,10,20,5.897
5,2,2,1,2016,5,13,10,20,14.096
6,2,1,1,2016,5,13,10,20,31.659
7,2,0,1,2016,5,13,10,20,32.829
8,2,0,1,2016,5,13,10,20,34.31
9,2,2,1,2016,5,13,10,20,35.538
10,2,2,1,2016,5,13,10,20,47.462
11,2,0,1,2016,5,13,10,20,48.449
12,2,1,1,2016,5,13,10,21,4.191
13,2,0,1,2016,5,13,10,21,5.379
14,2,0,1,2016,5,13,10,21,6.514
15,2,0,1,2016,5,13,10,21,6.711
16,2,2,1,2016,5,13,10,21,8.478
17,2,0,1,2016,5,13,10,21,8.63
18,2,0,1,2016,5,13,10,21,9.05
19,2,2,1,2016,5,13,10,21,20.85
20,2,0,1,2016,5,13,10,21,21.057
21,2,2,1,2016,5,13,10,21,28.552
22,1,1,1,2016,5,13,10,21,38.646
23,1,0,1,2016,5,13,10,21,38.787
24,2,2,1,2016,5,13,10,21,59.724
25,2,0,1,2016,5,13,10,22,0.775
26,2,2,1,2016,5,13,10,22,7.103
27,2,2,1,2016,5,13,10,22,22.737
28,2,2,1,2016,5,13,10,22,39.507
29,2,1,1,2016,5,13,10,22,57.235
30,2,0,1,2016,5,13,10,22,57.522
31,2,0,1,2016,5,13,10,22,59.63
32,2,0,1,2016,5,13,10,23,0.074
33,2,2,1,2016,5,13,10,23,0.189
34,2,0,1,2016,5,13,10,23,0.983
35,2,2,1,2016,5,13,10,23,21.551
36,2,0,1,2016,5,13,10,23,22.473
37,2,1,1,2016,5,13,10,23,34.419
38,2,0,1,2016,5,13,10,23,35.676
39,2,2,1,2016,5,13,10,23,37.629
40,2,0,1,2016,5,13,10,23,38.093
41,2,2,1,2016,5,13,10,24,13.59
42,2,2,1,2016,5,13,10,24,24.069
43,2,1,1,2016,5,13,10,24,34.322
44,2,0,1,2016,5,13,10,24,35.986
45,2,0,1,2016,5,13,10,24,36.666
46,2,2,1,2016,5,13,10,24,38.589
47,2,0,1,2016,5,13,10,24,38.741
48,2,1,1,2016,5,13,10,25,13.856
49,2,0,1,2016,5,13,10,25,15.285
50,2,2,1,2016,5,13,10,25,25.017
51,2,1,1,2016,5,13,10,25,49.374
52,2,0,1,2016,5,13,10,25,50.844
53,2,2,1,2016,5,13,10,25,53.817
54,2,0,1,2016,5,13,10,25,54.549
55,2,2,1,2016,5,13,10,26,19.089
56,2,2,1,2016,5,13,10,26,43.742
57,2,2,1,2016,5,13,10,26,59.887
58,2,2,1,2016,5,13,10,27,34.357
59,2,0,1,2016,5,13,10,27,35.866
60,2,1,1,2016,5,13,10,27,57.32
61,2,2,1,2016,5,13,10,28,4.981
62,2,2,1,2016,5,13,10,28,39.681
63,2,1,1,2016,5,13,10,28,56.505
64,2,0,1,2016,5,13,10,28,56.596
65,2,1,1,2016,5,13,10,28,59.913
66,2,1,1,2016,5,13,10,29,23.54
67,2,0,1,2016,5,13,10,29,25.116
68,2,0,1,2016,5,13,10,29,25.427
69,2,1,1,2016,5,13,10,29,27.68
70,2,0,1,2016,5,13,10,29,27.829
71,2,0,1,2016,5,13,10,29,28.803
72,2,0,1,2016,5,13,10,29,30.485
73,2,2,1,2016,5,13,10,29,32.295
