Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,11,1,9,0,5.88
1,2,2,1,2016,11,1,9,21,5.097
2,2,2,1,2016,11,1,9,24,56.93
3,2,2,1,2016,11,1,9,25,37.563
4,2,2,1,2016,11,1,9,26,32.294
5,2,1,1,2016,11,1,9,27,26.803
6,2,2,1,2016,11,1,9,29,2.249
7,2,2,1,2016,11,1,9,29,16.873
8,2,1,1,2016,11,1,9,29,34.846
9,2,2,1,2016,11,1,9,29,44.116
10,2,2,1,2016,11,1,9,42,10.142
11,2,0,1,2016,11,1,9,42,10.306
12,2,2,1,2016,11,1,9,42,38.297
13,2,1,1,2016,11,1,9,54,49.948
14,2,2,1,2016,11,1,10,3,3.451
15,2,1,1,2016,11,1,10,5,24.873
16,2,2,1,2016,11,1,10,7,25.403
17,2,1,1,2016,11,1,10,33,10.758
18,2,2,1,2016,11,1,10,34,9.058
19,2,2,1,2016,11,1,10,39,47.457
20,2,2,1,2016,11,1,10,40,12.403
21,2,2,1,2016,11,1,10,42,32.568
22,2,2,1,2016,11,1,10,43,36.903
23,2,1,1,2016,11,1,10,43,50.57
24,2,2,1,2016,11,1,10,44,28.827
25,2,2,1,2016,11,1,10,59,9.72
26,2,1,1,2016,11,1,11,1,44.09
27,2,0,1,2016,11,1,11,1,44.235
28,2,1,1,2016,11,1,11,10,22.523
29,2,1,1,2016,11,1,11,15,39.437
30,2,1,1,2016,11,1,11,18,33.258
31,2,0,1,2016,11,1,11,18,33.493
32,2,2,1,2016,11,1,11,45,42.668
33,2,2,1,2016,11,1,11,49,10.73
34,2,0,1,2016,11,1,11,49,10.903
35,2,1,1,2016,11,1,11,57,12.277
36,2,2,1,2016,11,1,12,2,35.553
37,2,0,1,2016,11,1,12,2,35.74
38,2,0,1,2016,11,1,12,2,35.782
39,2,0,1,2016,11,1,12,2,35.814
40,2,1,1,2016,11,1,12,2,39.389
41,2,2,1,2016,11,1,12,3,13.602
42,2,2,1,2016,11,1,12,4,56.286
43,2,2,1,2016,11,1,12,5,33.108
44,2,1,1,2016,11,1,12,9,22.345
45,1,1,1,2016,11,1,12,13,40.898
46,2,2,1,2016,11,1,12,17,5.967
47,2,1,1,2016,11,1,12,18,8.493
48,2,1,1,2016,11,1,12,19,31.323
49,2,1,1,2016,11,1,12,20,45.493
50,1,1,1,2016,11,1,12,23,30.317
51,2,2,1,2016,11,1,12,23,51.025
52,2,1,1,2016,11,1,12,29,28.28
53,2,1,1,2016,11,1,12,29,52.138
54,2,1,1,2016,11,1,12,32,56.709
55,2,0,1,2016,11,1,12,32,56.776
56,1,1,1,2016,11,1,12,33,14.573
57,1,1,1,2016,11,1,12,33,22.172
58,2,2,1,2016,11,1,12,34,32.176
59,2,1,1,2016,11,1,13,34,27.806
60,2,1,1,2016,11,1,13,35,5.009
61,2,0,1,2016,11,1,13,35,5.763
62,2,1,1,2016,11,1,13,35,51.143
63,2,2,1,2016,11,1,13,35,59.618
64,2,2,1,2016,11,1,13,36,34.406
65,2,1,1,2016,11,1,13,36,51.676
66,2,2,1,2016,11,1,13,38,11.976
67,2,1,1,2016,11,1,13,40,30.171
68,2,1,1,2016,11,1,13,40,38.884
69,2,0,1,2016,11,1,13,40,41.126
70,2,1,1,2016,11,1,13,40,52.56
71,2,0,1,2016,11,1,13,41,0.692
72,2,0,1,2016,11,1,13,41,28.759
73,2,0,1,2016,11,1,13,41,52.24
74,2,0,1,2016,11,1,13,42,20.528
75,2,0,1,2016,11,1,13,42,20.765
76,2,0,1,2016,11,1,13,42,40.267
77,2,0,1,2016,11,1,13,43,58.095
78,2,0,1,2016,11,1,13,43,58.441
79,2,0,1,2016,11,1,13,43,58.63
80,2,0,1,2016,11,1,13,44,16.559
81,2,0,1,2016,11,1,13,44,16.829
82,2,0,1,2016,11,1,13,44,49.662
83,2,0,1,2016,11,1,13,44,51.978
84,1,0,1,2016,11,1,13,47,18.786
85,1,0,1,2016,11,1,13,47,19.319
86,2,0,1,2016,11,1,14,16,10.45
87,2,0,1,2016,11,1,14,19,43.628
88,2,0,1,2016,11,1,14,20,16.266
89,2,0,1,2016,11,1,14,57,33.028
90,2,0,1,2016,11,1,15,6,28.189
91,2,0,1,2016,11,1,15,9,13.173
92,2,0,1,2016,11,1,15,9,21.349
93,2,0,1,2016,11,1,15,22,11.467
94,2,0,1,2016,11,1,15,23,37.01
95,2,0,1,2016,11,1,15,31,12.145
96,1,0,1,2016,11,1,16,9,51.384
97,2,0,1,2016,11,1,16,54,37.056
98,2,0,1,2016,11,1,16,54,38.554
99,2,0,1,2016,11,1,17,14,31.471
100,2,0,1,2016,11,1,18,5,56.313
