Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,11,17,8,0,5.975
1,1,1,1,2016,11,17,8,0,18.674
2,1,0,1,2016,11,17,8,0,19.297
3,1,1,1,2016,11,17,8,0,29.966
4,1,1,1,2016,11,17,8,0,36.48
5,1,0,1,2016,11,17,8,0,36.824
6,1,0,1,2016,11,17,8,0,36.93
7,2,2,1,2016,11,17,8,2,7.592
8,2,2,1,2016,11,17,8,2,14.281
9,2,0,1,2016,11,17,8,2,15.146
10,2,0,1,2016,11,17,8,2,16.035
11,2,2,1,2016,11,17,8,2,21.344
12,2,0,1,2016,11,17,8,2,21.687
13,2,0,1,2016,11,17,8,2,22.837
14,2,0,1,2016,11,17,8,2,23.026
15,2,2,1,2016,11,17,8,2,33.435
16,2,1,1,2016,11,17,8,2,39.341
17,2,0,1,2016,11,17,8,2,39.657
18,1,1,1,2016,11,17,8,2,49.971
19,2,2,1,2016,11,17,8,2,55.142
20,2,0,1,2016,11,17,8,2,55.184
21,1,1,1,2016,11,17,8,3,3.132
22,1,1,1,2016,11,17,8,3,7.974
23,2,2,1,2016,11,17,8,3,11.724
24,1,1,1,2016,11,17,8,3,23.639
25,1,1,1,2016,11,17,8,3,34.596
26,1,0,1,2016,11,17,8,3,34.853
27,1,1,1,2016,11,17,8,3,45.009
28,1,0,1,2016,11,17,8,3,45.158
29,2,2,1,2016,11,17,8,7,1.01
30,2,2,1,2016,11,17,8,7,19.728
31,2,0,1,2016,11,17,8,7,20.116
32,2,2,1,2016,11,17,8,7,30.758
33,1,1,1,2016,11,17,8,7,58.307
34,2,2,1,2016,11,17,8,8,48.499
35,2,2,1,2016,11,17,8,9,19.382
36,2,0,1,2016,11,17,8,9,19.508
37,2,2,1,2016,11,17,8,9,25.196
38,2,0,1,2016,11,17,8,9,26.099
39,2,0,1,2016,11,17,8,9,26.2
40,2,0,1,2016,11,17,8,9,26.9
41,1,1,1,2016,11,17,8,9,36.371
42,1,1,1,2016,11,17,8,9,42.56
43,1,1,1,2016,11,17,8,9,52.421
44,1,2,1,2016,11,17,8,10,6.57
45,1,0,1,2016,11,17,8,10,8.604
46,1,1,1,2016,11,17,8,13,47.019
47,2,2,1,2016,11,17,8,16,36.932
48,2,2,1,2016,11,17,8,17,11.188
49,2,2,1,2016,11,17,8,17,45.117
50,2,0,1,2016,11,17,8,17,45.565
51,1,1,1,2016,11,17,8,17,52.672
52,1,1,1,2016,11,17,8,18,2.155
53,1,0,1,2016,11,17,8,18,2.226
54,1,0,1,2016,11,17,8,18,3.118
55,1,1,1,2016,11,17,8,18,11.359
56,1,2,1,2016,11,17,8,23,43.227
57,2,2,1,2016,11,17,8,26,54.937
58,2,2,1,2016,11,17,8,26,58.002
59,2,2,1,2016,11,17,8,29,52.78
60,2,2,1,2016,11,17,8,30,3.281
61,2,1,1,2016,11,17,8,30,49.928
62,2,0,1,2016,11,17,8,30,50.631
63,2,0,1,2016,11,17,8,30,50.84
64,1,1,1,2016,11,17,8,33,20.322
65,1,1,1,2016,11,17,8,33,56.992
66,1,1,1,2016,11,17,8,34,12.692
67,1,0,1,2016,11,17,8,34,12.784
68,1,2,1,2016,11,17,8,34,19.85
69,2,2,1,2016,11,17,8,34,45.954
70,2,0,1,2016,11,17,8,34,47.232
71,2,2,1,2016,11,17,8,34,52.98
72,2,0,1,2016,11,17,8,34,54.789
73,2,2,1,2016,11,17,8,35,5.633
74,2,0,1,2016,11,17,8,35,6.167
75,1,1,1,2016,11,17,8,36,7.321
76,2,2,1,2016,11,17,8,36,35.629
77,2,0,1,2016,11,17,8,36,36.803
78,2,0,1,2016,11,17,8,36,37.943
79,1,1,1,2016,11,17,8,36,51.334
80,2,2,1,2016,11,17,8,37,14.045
81,2,0,1,2016,11,17,8,37,14.732
82,1,1,1,2016,11,17,8,40,59.347
83,2,2,1,2016,11,17,8,41,9.79
84,1,1,1,2016,11,17,8,41,17.692
85,1,1,1,2016,11,17,8,41,27.139
86,1,1,1,2016,11,17,8,43,10.24
87,2,2,1,2016,11,17,8,43,45.55
88,2,0,1,2016,11,17,8,43,46.247
89,2,0,1,2016,11,17,8,43,47.03
90,2,0,1,2016,11,17,8,43,47.1
91,2,2,1,2016,11,17,8,43,58.508
92,2,1,1,2016,11,17,8,44,54.964
93,2,1,1,2016,11,17,8,45,16.842
94,2,0,1,2016,11,17,8,45,27.796
95,2,0,1,2016,11,17,8,45,28.767
96,1,0,1,2016,11,17,8,45,37.793
97,1,0,1,2016,11,17,8,45,39.735
98,2,0,1,2016,11,17,8,46,22.777
99,1,0,1,2016,11,17,8,46,25.156
100,1,0,1,2016,11,17,8,48,17.431
101,1,0,1,2016,11,17,8,48,21.316
102,1,0,1,2016,11,17,8,48,40.196
103,2,0,1,2016,11,17,8,49,16.557
104,1,0,1,2016,11,17,8,49,28.967
105,2,0,1,2016,11,17,8,49,56.415
106,2,0,1,2016,11,17,8,50,23.543
107,2,0,1,2016,11,17,8,50,24.323
108,2,0,1,2016,11,17,8,51,12.346
109,2,0,1,2016,11,17,8,51,30.939
110,2,0,1,2016,11,17,8,51,31.364
111,2,0,1,2016,11,17,8,51,32.752
112,2,0,1,2016,11,17,8,51,36.626
113,2,0,1,2016,11,17,8,51,51.993
114,2,0,1,2016,11,17,8,52,2.034
115,2,0,1,2016,11,17,8,52,27.953
116,2,0,1,2016,11,17,9,2,59.716
117,2,0,1,2016,11,17,9,5,53.52
118,2,0,1,2016,11,17,9,5,55.453
119,2,0,1,2016,11,17,9,6,2.026
120,2,0,1,2016,11,17,9,6,2.158
121,2,0,1,2016,11,17,9,6,2.594
122,2,0,1,2016,11,17,9,6,3.304
123,2,0,1,2016,11,17,9,6,7.129
124,2,0,1,2016,11,17,9,7,18.978
125,2,0,1,2016,11,17,9,9,45.73
126,2,0,1,2016,11,17,9,13,6.056
127,1,0,1,2016,11,17,9,13,55.782
128,1,0,1,2016,11,17,9,13,57.106
129,1,0,1,2016,11,17,9,13,57.947
130,2,0,1,2016,11,17,9,14,25.395
131,2,0,1,2016,11,17,9,14,33.478
132,2,0,1,2016,11,17,9,14,34.652
133,2,0,1,2016,11,17,9,17,24.33
134,2,0,1,2016,11,17,9,17,24.6
135,2,0,1,2016,11,17,9,17,26.684
136,2,0,1,2016,11,17,9,17,29.374
137,2,0,1,2016,11,17,9,17,38.405
138,1,0,1,2016,11,17,9,17,44.528
139,1,0,1,2016,11,17,9,17,51.519
140,1,0,1,2016,11,17,9,17,51.78
141,2,0,1,2016,11,17,9,17,55.859
142,2,0,1,2016,11,17,9,18,0.905
143,2,0,1,2016,11,17,9,18,1.29
144,2,0,1,2016,11,17,9,18,1.397
145,2,0,1,2016,11,17,9,18,5.065
146,2,0,1,2016,11,17,9,18,5.231
147,2,0,1,2016,11,17,9,18,13.91
148,2,0,1,2016,11,17,9,18,15.458
149,2,0,1,2016,11,17,9,18,15.696
150,2,0,1,2016,11,17,9,18,15.981
151,2,0,1,2016,11,17,9,18,20
152,2,0,1,2016,11,17,9,18,22.668
153,2,0,1,2016,11,17,9,18,25.577
154,2,0,1,2016,11,17,9,18,29.984
155,2,0,1,2016,11,17,9,18,31.332
156,2,0,1,2016,11,17,9,18,34.063
157,2,0,1,2016,11,17,9,18,43.355
158,2,0,1,2016,11,17,9,18,43.563
159,2,0,1,2016,11,17,9,18,45.738
160,2,0,1,2016,11,17,9,18,46.739
161,2,0,1,2016,11,17,9,18,47.299
162,2,0,1,2016,11,17,9,18,49.035
163,2,0,1,2016,11,17,9,18,49.068
164,1,0,1,2016,11,17,9,18,55.456
165,2,0,1,2016,11,17,9,20,28.373
166,2,0,1,2016,11,17,9,20,29.66
167,2,0,1,2016,11,17,9,20,29.713
168,2,0,1,2016,11,17,9,20,54.245
169,2,0,1,2016,11,17,9,21,4.483
170,2,0,1,2016,11,17,9,21,7.069
171,2,0,1,2016,11,17,9,21,11.798
172,2,0,1,2016,11,17,9,21,13.48
173,2,0,1,2016,11,17,9,21,48.306
174,2,0,1,2016,11,17,9,21,52.269
