Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,10,30,9,0,6.984
1,1,1,1,2016,10,30,9,8,37.437
2,2,2,1,2016,10,30,9,32,6.401
3,2,0,1,2016,10,30,9,32,6.511
4,1,1,1,2016,10,30,9,33,43.577
5,1,1,1,2016,10,30,9,39,53.667
6,2,2,1,2016,10,30,9,57,18.202
7,2,2,1,2016,10,30,9,59,11.867
8,2,2,1,2016,10,30,9,59,53.58
9,2,2,1,2016,10,30,9,59,59.342
10,2,1,1,2016,10,30,10,8,49.577
11,2,0,1,2016,10,30,10,8,49.826
12,2,2,1,2016,10,30,10,13,41.399
13,1,1,1,2016,10,30,10,18,21.665
14,2,2,1,2016,10,30,10,30,31.097
15,2,2,1,2016,10,30,10,31,7.083
16,2,2,1,2016,10,30,10,31,34.635
17,2,2,1,2016,10,30,10,31,42.359
18,2,1,1,2016,10,30,10,31,47.217
19,2,2,1,2016,10,30,10,34,26.173
20,2,0,1,2016,10,30,10,34,26.243
21,2,2,1,2016,10,30,10,39,41.054
22,2,1,1,2016,10,30,10,51,21.32
23,2,0,1,2016,10,30,10,51,21.488
24,2,2,1,2016,10,30,10,51,26.363
25,2,2,1,2016,10,30,10,51,39.058
26,2,2,1,2016,10,30,10,51,56.641
27,2,1,1,2016,10,30,10,52,1.798
28,2,2,1,2016,10,30,10,53,5.591
29,2,1,1,2016,10,30,10,53,20.773
30,2,2,1,2016,10,30,10,53,29.488
31,2,0,1,2016,10,30,10,53,31.21
32,2,0,1,2016,10,30,10,53,31.288
33,2,1,1,2016,10,30,10,53,39.843
34,2,2,1,2016,10,30,10,53,44.363
35,2,2,1,2016,10,30,10,53,51.105
36,2,2,1,2016,10,30,10,54,5.652
37,2,2,1,2016,10,30,10,54,59.643
38,2,2,1,2016,10,30,10,55,4.781
39,2,0,1,2016,10,30,10,55,5.349
40,2,1,1,2016,10,30,10,57,28.218
41,2,2,1,2016,10,30,10,57,59.885
42,2,0,1,2016,10,30,10,58,0.048
43,2,2,1,2016,10,30,10,58,44.147
44,2,1,1,2016,10,30,10,58,51.837
45,2,0,1,2016,10,30,10,58,52.437
46,2,1,1,2016,10,30,11,7,2.81
47,2,1,1,2016,10,30,11,7,19.467
48,2,0,1,2016,10,30,11,7,19.702
49,2,1,1,2016,10,30,11,11,47.07
50,2,2,1,2016,10,30,11,12,51.887
51,2,2,1,2016,10,30,11,15,20.006
52,2,0,1,2016,10,30,11,15,20.352
53,2,1,1,2016,10,30,11,15,47.507
54,2,2,1,2016,10,30,11,16,26.537
55,2,1,1,2016,10,30,11,19,24.147
