Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,2,10,0,10.059
1,2,2,1,2016,4,2,10,0,25.49
2,2,2,1,2016,4,2,10,0,48.266
3,2,2,1,2016,4,2,10,5,10.336
4,2,2,1,2016,4,2,10,5,18.094
5,2,1,1,2016,4,2,10,14,12.35
6,2,2,1,2016,4,2,10,14,39.731
7,2,0,1,2016,4,2,10,14,40.245
8,2,2,1,2016,4,2,10,14,48.428
9,2,1,1,2016,4,2,10,15,9.541
10,2,0,1,2016,4,2,10,15,12.327
11,2,2,1,2016,4,2,10,15,15.723
12,2,0,1,2016,4,2,10,15,15.942
13,2,0,1,2016,4,2,10,15,17.256
14,2,2,1,2016,4,2,10,15,29.221
15,2,0,1,2016,4,2,10,15,29.556
16,2,2,1,2016,4,2,10,15,33.587
17,2,0,1,2016,4,2,10,15,34.575
18,2,0,1,2016,4,2,10,15,34.677
19,2,1,1,2016,4,2,10,15,51.81
20,2,2,1,2016,4,2,10,19,1.701
21,2,1,1,2016,4,2,10,19,7.927
22,2,2,1,2016,4,2,10,19,18.883
23,2,0,1,2016,4,2,10,19,19.295
24,2,1,1,2016,4,2,10,19,26.104
25,2,2,1,2016,4,2,10,19,31.12
26,2,2,1,2016,4,2,10,19,45.339
27,2,0,1,2016,4,2,10,19,45.826
28,1,1,1,2016,4,2,10,31,44.12
29,1,1,1,2016,4,2,10,32,45.477
30,1,1,1,2016,4,2,10,32,52.001
31,1,1,1,2016,4,2,10,33,22.481
32,1,1,1,2016,4,2,10,33,31.04
33,1,0,1,2016,4,2,10,33,31.111
34,1,1,1,2016,4,2,10,33,38.851
35,1,1,1,2016,4,2,10,34,19.514
36,1,1,1,2016,4,2,10,34,31.905
37,1,1,1,2016,4,2,10,35,43.477
38,1,1,1,2016,4,2,10,35,55.945
39,1,1,1,2016,4,2,10,36,3.006
40,1,1,1,2016,4,2,10,36,21.33
41,1,0,1,2016,4,2,10,36,22.738
42,1,0,1,2016,4,2,10,36,23.703
43,1,2,1,2016,4,2,10,36,25.209
44,1,1,1,2016,4,2,10,37,9.185
45,1,0,1,2016,4,2,10,37,10.228
46,1,2,1,2016,4,2,10,37,51.596
47,1,2,1,2016,4,2,10,39,7.341
48,1,1,1,2016,4,2,10,39,23.032
49,1,0,1,2016,4,2,10,39,23.102
50,1,2,1,2016,4,2,10,39,32.676
51,1,0,1,2016,4,2,10,39,33.165
52,1,1,1,2016,4,2,10,39,36.55
53,1,2,1,2016,4,2,11,4,8.517
54,1,2,1,2016,4,2,11,4,34.21
55,2,2,1,2016,4,2,11,13,47.86
56,2,0,1,2016,4,2,11,13,50.497
57,2,1,1,2016,4,2,11,13,51.081
58,2,2,1,2016,4,2,11,14,6.911
59,2,0,1,2016,4,2,11,14,7.085
60,2,1,1,2016,4,2,11,14,43.58
61,2,2,1,2016,4,2,11,14,47.485
62,2,2,1,2016,4,2,11,14,53.186
63,2,0,1,2016,4,2,11,14,53.528
64,2,1,1,2016,4,2,11,15,17.64
65,2,2,1,2016,4,2,11,15,30.113
66,1,1,1,2016,4,2,11,36,13.531
67,1,1,1,2016,4,2,11,36,19.704
68,2,2,1,2016,4,2,12,33,43.537
69,2,1,1,2016,4,2,13,43,36.081
70,1,1,1,2016,4,2,13,50,35.06
71,2,2,1,2016,4,2,14,13,27.186
72,2,2,1,2016,4,2,14,13,31.931
73,2,1,1,2016,4,2,14,13,38.926
74,2,0,1,2016,4,2,14,13,39.577
