Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,29,10,0,40.724
1,2,2,1,2016,4,29,10,2,20.457
2,2,2,1,2016,4,29,10,2,24.631
3,2,2,1,2016,4,29,10,2,29.043
4,2,2,1,2016,4,29,10,2,33.368
5,2,1,1,2016,4,29,10,2,36.93
6,2,2,1,2016,4,29,10,2,40.552
7,2,2,1,2016,4,29,10,2,43.892
8,2,1,1,2016,4,29,10,2,49.138
9,2,2,1,2016,4,29,10,3,5.656
10,2,0,1,2016,4,29,10,3,8.331
11,2,2,1,2016,4,29,10,3,9.028
12,2,2,1,2016,4,29,10,3,12.615
13,2,0,1,2016,4,29,10,3,15.372
14,2,1,1,2016,4,29,10,3,16.476
15,2,2,1,2016,4,29,10,3,20.493
16,2,0,1,2016,4,29,10,3,23.233
17,2,1,1,2016,4,29,10,3,26.485
18,2,2,1,2016,4,29,10,4,59.299
19,2,0,1,2016,4,29,10,5,2.039
20,2,1,1,2016,4,29,10,5,5.161
21,2,2,1,2016,4,29,10,8,59.545
22,2,2,1,2016,4,29,10,9,2.871
23,2,2,1,2016,4,29,10,9,6.42
24,2,2,1,2016,4,29,10,9,10.008
25,2,0,1,2016,4,29,10,9,12.277
26,2,0,1,2016,4,29,10,9,12.662
27,2,2,1,2016,4,29,10,9,14.816
28,2,0,1,2016,4,29,10,9,16.871
29,2,1,1,2016,4,29,10,9,18.587
30,2,2,1,2016,4,29,10,14,12.35
31,2,2,1,2016,4,29,10,14,23.055
32,2,0,1,2016,4,29,10,14,25.543
33,2,1,1,2016,4,29,10,14,27.973
34,2,1,1,2016,4,29,10,14,31.211
35,2,0,1,2016,4,29,10,14,33.457
36,2,0,1,2016,4,29,10,14,33.829
37,2,1,1,2016,4,29,10,14,36.084
38,2,1,1,2016,4,29,10,14,39.895
39,2,2,1,2016,4,29,10,14,45.306
40,2,0,1,2016,4,29,10,14,48.22
41,2,2,1,2016,4,29,10,14,49.229
42,2,1,1,2016,4,29,10,14,52.497
43,2,0,1,2016,4,29,10,14,55.056
44,2,2,1,2016,4,29,10,14,56.421
45,2,0,1,2016,4,29,10,14,57.284
46,2,1,1,2016,4,29,10,15,30.965
47,2,2,1,2016,4,29,10,15,36.147
48,2,2,1,2016,4,29,10,15,39.248
49,2,2,1,2016,4,29,10,15,42.743
50,2,1,1,2016,4,29,10,15,46.027
51,2,2,1,2016,4,29,10,15,49.929
52,2,1,1,2016,4,29,10,15,53.96
53,2,1,1,2016,4,29,10,15,58.694
54,2,0,1,2016,4,29,10,15,59.827
55,2,2,1,2016,4,29,10,16,14.968
56,2,0,1,2016,4,29,10,16,17.952
57,2,2,1,2016,4,29,10,16,25.923
58,2,1,1,2016,4,29,10,16,29.924
59,2,2,1,2016,4,29,10,16,33.704
60,2,1,1,2016,4,29,10,16,38.647
61,2,2,1,2016,4,29,10,16,42.486
62,2,1,1,2016,4,29,10,21,49.783
63,2,1,1,2016,4,29,10,21,57.195
64,2,2,1,2016,4,29,10,22,0.507
65,2,1,1,2016,4,29,10,22,4.696
66,2,0,1,2016,4,29,10,22,7.172
67,2,1,1,2016,4,29,10,22,9.538
68,2,1,1,2016,4,29,10,22,15.426
69,2,0,1,2016,4,29,10,22,18.168
70,2,1,1,2016,4,29,10,22,22.127
71,2,0,1,2016,4,29,10,22,22.299
72,2,1,1,2016,4,29,10,22,25.374
73,2,0,1,2016,4,29,10,22,28.198
74,2,1,1,2016,4,29,10,22,29.466
75,2,1,1,2016,4,29,10,22,32.507
76,2,1,1,2016,4,29,10,22,44.995
77,2,0,1,2016,4,29,10,22,46.01
78,2,0,1,2016,4,29,10,22,46.521
79,2,0,1,2016,4,29,10,22,47.793
80,2,1,1,2016,4,29,10,22,50.292
81,2,1,1,2016,4,29,10,22,53.392
82,2,1,1,2016,4,29,10,22,57.816
83,2,0,1,2016,4,29,10,23,0.029
84,2,0,1,2016,4,29,10,23,0.975
85,2,0,1,2016,4,29,10,23,2.141
86,2,0,1,2016,4,29,10,23,7.309
87,2,0,1,2016,4,29,10,23,9.054
88,2,0,1,2016,4,29,10,23,9.988
89,2,0,1,2016,4,29,10,25,9.621
90,2,0,1,2016,4,29,10,25,18.121
91,2,0,1,2016,4,29,10,25,18.182
92,2,0,1,2016,4,29,10,25,19.557
93,2,0,1,2016,4,29,10,25,21.763
94,2,0,1,2016,4,29,10,25,41.916
95,2,0,1,2016,4,29,10,25,55.845
96,2,0,1,2016,4,29,10,26,16.368
97,2,0,1,2016,4,29,10,26,17.642
98,2,0,1,2016,4,29,10,26,21.073
99,2,0,1,2016,4,29,10,26,23.804
100,2,0,1,2016,4,29,10,26,31.148
101,2,0,1,2016,4,29,10,26,34.618
102,2,0,1,2016,4,29,10,26,39.693
103,2,0,1,2016,4,29,10,26,42.541
104,2,0,1,2016,4,29,10,26,47.46
105,2,0,1,2016,4,29,10,44,16.781
106,2,0,1,2016,4,29,10,45,42.201
107,2,0,1,2016,4,29,10,45,48.284
108,2,0,1,2016,4,29,10,45,59.65
109,2,0,1,2016,4,29,10,59,12.032
110,2,0,1,2016,4,29,10,59,14.004
111,2,0,1,2016,4,29,10,59,27.158
