Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,30,10,0,34.304
1,1,1,1,2016,3,30,11,30,50.807
2,1,1,1,2016,3,30,11,58,14.806
3,1,1,1,2016,3,30,11,58,21.901
4,1,2,1,2016,3,30,12,21,5.766
5,1,0,1,2016,3,30,12,21,5.874
6,1,1,1,2016,3,30,12,22,5.063
7,1,1,1,2016,3,30,12,22,11.551
8,1,1,1,2016,3,30,12,26,58.631
9,1,0,1,2016,3,30,12,26,59.419
10,1,1,1,2016,3,30,12,27,23.134
11,1,1,1,2016,3,30,12,36,42.446
12,1,0,1,2016,3,30,12,36,44.373
13,1,1,1,2016,3,30,12,36,45.781
14,1,0,1,2016,3,30,12,36,46.25
15,1,1,1,2016,3,30,12,36,53.194
16,1,0,1,2016,3,30,12,36,53.83
17,1,2,1,2016,3,30,12,37,2.901
18,1,2,1,2016,3,30,12,37,9.544
19,1,1,1,2016,3,30,12,37,15.998
20,1,2,1,2016,3,30,12,37,29.485
21,1,2,1,2016,3,30,12,37,35.361
22,1,1,1,2016,3,30,12,44,37.35
23,1,2,1,2016,3,30,12,45,2.053
24,1,1,1,2016,3,30,12,45,13.812
25,1,1,1,2016,3,30,12,47,13.934
26,1,1,1,2016,3,30,13,0,49.355
27,2,2,1,2016,3,30,13,19,51.447
28,2,2,1,2016,3,30,13,50,49.908
29,2,2,1,2016,3,30,13,51,21.331
30,2,2,1,2016,3,30,13,51,41.511
31,1,1,1,2016,3,30,14,58,34.313
32,1,1,1,2016,3,30,15,0,32.171
33,1,0,1,2016,3,30,15,0,33.972
34,1,2,1,2016,3,30,15,0,35.502
35,2,2,1,2016,3,30,15,2,27.739
36,2,0,1,2016,3,30,15,2,28.231
37,2,2,1,2016,3,30,15,2,33.886
38,2,2,1,2016,3,30,15,2,46.5
39,2,2,1,2016,3,30,15,3,2.618
40,1,1,1,2016,3,30,15,27,17.079
41,1,1,1,2016,3,30,15,30,16.726
42,1,2,1,2016,3,30,15,45,30.427
43,2,2,1,2016,3,30,16,34,18.395
44,2,2,1,2016,3,30,16,35,13.565
45,2,2,1,2016,3,30,16,35,18.67
46,2,1,1,2016,3,30,16,35,33.082
47,2,2,1,2016,3,30,16,35,38.894
48,2,0,1,2016,3,30,16,35,39.417
49,2,2,1,2016,3,30,16,38,50.731
50,1,1,1,2016,3,30,16,42,37.803
51,1,1,1,2016,3,30,16,42,41.849
52,1,2,1,2016,3,30,16,42,46.161
53,1,0,1,2016,3,30,16,42,47.279
54,1,2,1,2016,3,30,16,43,8.533
55,1,0,1,2016,3,30,16,43,9.379
56,1,0,1,2016,3,30,16,43,10.785
57,1,1,1,2016,3,30,16,43,18.255
58,1,2,1,2016,3,30,16,44,2.852
59,1,1,1,2016,3,30,16,44,7.669
60,1,1,1,2016,3,30,16,46,32.864
61,1,1,1,2016,3,30,16,46,36.069
62,1,1,1,2016,3,30,16,46,44.406
63,1,0,1,2016,3,30,16,46,45.072
64,1,0,1,2016,3,30,16,46,47.267
65,1,1,1,2016,3,30,16,46,47.87
66,1,1,1,2016,3,30,16,46,58.111
67,1,2,1,2016,3,30,16,47,19.249
68,1,1,1,2016,3,30,16,47,24.009
69,1,0,1,2016,3,30,16,47,24.27
70,1,2,1,2016,3,30,16,47,29.113
71,1,2,1,2016,3,30,16,47,35.386
72,1,2,1,2016,3,30,16,47,41.411
73,1,2,1,2016,3,30,16,47,45.468
74,1,0,1,2016,3,30,16,47,45.87
75,1,2,1,2016,3,30,16,47,57.144
76,1,0,1,2016,3,30,16,48,5.789
77,1,0,1,2016,3,30,16,48,41.917
78,1,0,1,2016,3,30,16,48,44.148
79,1,0,1,2016,3,30,16,48,49.296
80,1,0,1,2016,3,30,16,48,50.58
81,1,0,1,2016,3,30,16,48,55.082
82,1,0,1,2016,3,30,16,48,57.624
83,1,0,1,2016,3,30,16,49,5.208
84,1,0,1,2016,3,30,16,49,6.337
85,1,0,1,2016,3,30,16,49,6.372
86,1,0,1,2016,3,30,16,49,12.619
87,1,0,1,2016,3,30,16,49,14.04
88,1,0,1,2016,3,30,16,49,14.307
89,1,0,1,2016,3,30,16,49,19.242
90,1,0,1,2016,3,30,16,49,19.349
