Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,9,10,0,37.347
1,2,2,1,2016,5,9,10,8,3.287
2,2,2,1,2016,5,9,10,8,50.687
3,2,2,1,2016,5,9,10,8,54.04
4,2,0,1,2016,5,9,10,8,56.794
5,2,2,1,2016,5,9,10,8,57.534
6,2,1,1,2016,5,9,10,9,2.112
7,2,2,1,2016,5,9,10,9,14.494
8,2,2,1,2016,5,9,10,9,17.557
9,2,0,1,2016,5,9,10,9,18.24
10,2,0,1,2016,5,9,10,9,20.051
11,2,1,1,2016,5,9,10,9,21.237
12,2,2,1,2016,5,9,10,9,30.488
13,2,0,1,2016,5,9,10,9,31.066
14,2,2,1,2016,5,9,10,9,34.273
15,2,2,1,2016,5,9,10,9,37.723
16,2,1,1,2016,5,9,10,9,45.53
17,2,2,1,2016,5,9,10,10,0.616
18,2,1,1,2016,5,9,10,10,6.379
19,2,0,1,2016,5,9,10,10,8.941
20,2,2,1,2016,5,9,10,10,10.215
21,2,1,1,2016,5,9,10,10,14.05
22,2,2,1,2016,5,9,10,10,19.079
23,2,0,1,2016,5,9,10,10,21.615
24,2,2,1,2016,5,9,10,10,23.357
25,2,2,1,2016,5,9,10,10,27.141
26,2,2,1,2016,5,9,10,10,54.812
27,2,2,1,2016,5,9,10,10,58.379
28,2,1,1,2016,5,9,10,11,2.288
29,2,2,1,2016,5,9,10,11,8.454
30,2,2,1,2016,5,9,10,16,42.591
31,2,1,1,2016,5,9,10,16,46.466
32,2,0,1,2016,5,9,10,16,49.229
33,2,1,1,2016,5,9,10,16,50.129
34,2,0,1,2016,5,9,10,16,50.352
35,2,0,1,2016,5,9,10,16,52.958
36,2,1,1,2016,5,9,10,17,1.19
37,2,0,1,2016,5,9,10,17,2.069
38,2,1,1,2016,5,9,10,17,8.884
39,2,2,1,2016,5,9,10,17,12.266
40,2,0,1,2016,5,9,10,17,14.987
41,2,2,1,2016,5,9,10,17,15.884
42,2,1,1,2016,5,9,10,17,24.263
43,2,2,1,2016,5,9,10,17,28.363
44,2,0,1,2016,5,9,10,17,28.652
45,2,1,1,2016,5,9,10,17,32.266
46,2,2,1,2016,5,9,10,17,43.723
47,2,0,1,2016,5,9,10,17,43.938
48,2,2,1,2016,5,9,10,17,47.233
49,2,2,1,2016,5,9,10,17,59.999
50,2,0,1,2016,5,9,10,18,1.243
51,2,1,1,2016,5,9,10,18,3.997
52,2,0,1,2016,5,9,10,18,6.853
53,2,2,1,2016,5,9,10,18,21.38
54,2,1,1,2016,5,9,10,18,24.902
55,2,1,1,2016,5,9,10,18,29.444
56,2,2,1,2016,5,9,10,18,35.51
57,2,2,1,2016,5,9,10,18,39.411
58,2,1,1,2016,5,9,10,18,44.209
59,2,2,1,2016,5,9,10,18,50.774
60,2,1,1,2016,5,9,10,18,53.896
61,2,2,1,2016,5,9,10,19,0.038
62,2,1,1,2016,5,9,10,19,3.956
63,2,0,1,2016,5,9,10,19,4.314
64,2,1,1,2016,5,9,10,19,12.586
65,2,2,1,2016,5,9,10,38,2.786
66,2,1,1,2016,5,9,10,38,6.146
67,2,0,1,2016,5,9,10,38,9.024
68,2,1,1,2016,5,9,10,38,9.983
69,2,1,1,2016,5,9,10,38,51.074
70,2,1,1,2016,5,9,10,38,54.409
71,2,1,1,2016,5,9,10,39,2.885
72,2,1,1,2016,5,9,10,39,6.139
73,2,1,1,2016,5,9,10,39,9.745
74,2,1,1,2016,5,9,10,39,19.776
75,2,1,1,2016,5,9,10,39,24.98
76,2,0,1,2016,5,9,10,39,25.466
77,2,1,1,2016,5,9,10,39,32.682
78,2,1,1,2016,5,9,10,39,37.824
79,2,0,1,2016,5,9,10,39,41.018
80,2,0,1,2016,5,9,10,39,42.05
81,2,0,1,2016,5,9,10,39,44.803
82,2,0,1,2016,5,9,10,39,46.834
83,2,0,1,2016,5,9,10,41,28.359
84,2,0,1,2016,5,9,10,41,29.718
85,2,0,1,2016,5,9,10,50,18.001
86,2,0,1,2016,5,9,10,50,26.977
87,2,0,1,2016,5,9,10,50,28.057
88,2,0,1,2016,5,9,10,50,29.935
89,2,0,1,2016,5,9,10,50,30.275
90,2,0,1,2016,5,9,10,50,31.051
91,2,0,1,2016,5,9,10,50,31.216
92,2,0,1,2016,5,9,11,3,16.165
93,2,0,1,2016,5,9,11,4,10.038
94,2,0,1,2016,5,9,11,4,12.943
95,2,0,1,2016,5,9,11,4,13.181
96,2,0,1,2016,5,9,11,4,15.076
97,2,0,1,2016,5,9,11,4,37.256
98,2,0,1,2016,5,9,11,4,59.936
99,2,0,1,2016,5,9,11,9,38.947
100,2,0,1,2016,5,9,11,15,6.486
101,2,0,1,2016,5,9,11,16,38.316
102,2,0,1,2016,5,9,11,16,41.883
103,2,0,1,2016,5,9,11,16,41.956
104,2,0,1,2016,5,9,11,20,14.409
105,2,0,1,2016,5,9,11,20,15.752
106,2,0,1,2016,5,9,11,20,17.681
107,2,0,1,2016,5,9,11,20,18.25
108,2,0,1,2016,5,9,11,20,18.767
109,2,0,1,2016,5,9,11,20,19.255
110,2,0,1,2016,5,9,11,20,19.908
111,2,0,1,2016,5,9,11,27,30.622
112,2,0,1,2016,5,9,11,27,31.141
113,2,0,1,2016,5,9,11,27,31.522
114,2,0,1,2016,5,9,11,27,33.336
115,2,0,1,2016,5,9,11,27,38.372
116,2,0,1,2016,5,9,11,27,41.31
117,2,0,1,2016,5,9,11,27,45.876
118,2,0,1,2016,5,9,11,27,46.085
119,1,0,1,2016,5,9,11,36,12.303
120,1,0,1,2016,5,9,11,36,15.192
121,2,0,1,2016,5,9,11,43,9.571
122,2,0,1,2016,5,9,11,43,17.796
123,2,0,1,2016,5,9,11,43,26.089
124,2,0,1,2016,5,9,12,3,46.898
125,2,0,1,2016,5,9,12,3,48.025
126,2,0,1,2016,5,9,12,3,48.723
127,2,0,1,2016,5,9,12,3,48.861
128,2,0,1,2016,5,9,12,3,49.38
129,2,0,1,2016,5,9,12,3,50.752
130,2,0,1,2016,5,9,12,13,40.091
131,2,0,1,2016,5,9,12,13,44.559
132,2,0,1,2016,5,9,12,20,20.936
133,2,0,1,2016,5,9,12,30,4.806
134,2,0,1,2016,5,9,12,30,6.056
135,1,0,1,2016,5,9,12,37,56.501
136,1,0,1,2016,5,9,12,37,57.214
137,1,0,1,2016,5,9,12,37,57.491
138,2,0,1,2016,5,9,13,0,45.934
139,2,0,1,2016,5,9,13,0,47.185
140,2,0,1,2016,5,9,13,0,48.836
141,2,0,1,2016,5,9,13,5,38.243
142,2,0,1,2016,5,9,13,5,38.873
143,2,0,1,2016,5,9,13,5,40.037
144,2,0,1,2016,5,9,13,5,40.871
145,2,0,1,2016,5,9,13,5,49.776
146,2,0,1,2016,5,9,13,5,50.632
147,2,0,1,2016,5,9,13,5,51.736
148,2,0,1,2016,5,9,13,5,52.62
149,2,0,1,2016,5,9,13,5,53.597
150,2,0,1,2016,5,9,13,6,1.697
151,2,0,1,2016,5,9,13,6,2.491
152,2,0,1,2016,5,9,13,6,3.638
153,2,0,1,2016,5,9,13,6,4.855
154,2,0,1,2016,5,9,13,6,5.577
155,2,0,1,2016,5,9,13,6,7.148
156,2,0,1,2016,5,9,13,6,8.773
157,2,0,1,2016,5,9,13,6,9.827
158,2,0,1,2016,5,9,13,6,10.714
