Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,12,1,7,20,37.284
1,0,1,2017,12,1,7,48,51.848
2,0,1,2017,12,1,7,48,51.953
3,0,1,2017,12,1,7,48,52.19
4,1,0,2017,12,1,7,50,5.451
5,1,0,2017,12,1,7,50,5.53
6,1,0,2017,12,1,7,50,5.589
7,1,0,2017,12,1,7,50,5.648
8,1,0,2017,12,1,8,13,6.716
9,1,0,2017,12,1,8,13,7.237
10,1,0,2017,12,1,8,13,15.542
11,1,0,2017,12,1,8,13,27.183
12,1,0,2017,12,1,8,13,27.306
13,1,0,2017,12,1,8,13,53.38
14,1,0,2017,12,1,8,24,22.87
15,1,0,2017,12,1,8,24,27.993
16,1,0,2017,12,1,8,24,28.334
17,1,0,2017,12,1,8,30,4.754
18,0,1,2017,12,1,8,46,2.143
19,1,0,2017,12,1,8,57,31.353
20,1,0,2017,12,1,8,57,31.565
21,1,0,2017,12,1,8,57,32.518
22,1,0,2017,12,1,9,0,40.536
23,1,0,2017,12,1,9,1,23.448
24,1,0,2017,12,1,9,1,34.554
25,1,0,2017,12,1,9,1,34.768
26,1,0,2017,12,1,9,2,41.969
27,1,0,2017,12,1,9,3,33.745
28,1,0,2017,12,1,9,3,33.823
29,1,0,2017,12,1,9,3,46.872
30,1,0,2017,12,1,9,3,46.925
31,1,0,2017,12,1,9,5,25.814
32,1,0,2017,12,1,9,5,34.51
33,1,0,2017,12,1,9,6,38.937
34,1,0,2017,12,1,9,6,50.906
35,0,1,2017,12,1,9,59,24.213
36,1,0,2017,12,1,10,14,53.985
37,1,0,2017,12,1,10,46,25.495
38,1,0,2017,12,1,10,50,38.266
39,1,0,2017,12,1,10,50,38.885
40,0,1,2017,12,1,11,24,32.837
41,0,1,2017,12,1,11,24,32.901
42,0,1,2017,12,1,11,36,2.482
43,0,1,2017,12,1,11,36,2.588
44,0,1,2017,12,1,11,36,3.716
45,0,1,2017,12,1,11,36,5.961
46,0,1,2017,12,1,11,50,45.644
47,0,1,2017,12,1,11,50,45.966
48,0,1,2017,12,1,11,50,55.278
49,1,0,2017,12,1,11,53,4.424
50,1,0,2017,12,1,11,56,30.057
51,1,0,2017,12,1,11,57,41.674
52,1,0,2017,12,1,11,59,36.586
53,0,1,2017,12,1,12,0,28.62
54,0,1,2017,12,1,12,12,51.008
55,0,1,2017,12,1,12,12,51.216
56,0,1,2017,12,1,12,12,51.361
57,0,1,2017,12,1,12,15,21.332
58,0,1,2017,12,1,12,15,21.395
59,0,1,2017,12,1,12,16,18.276
60,0,1,2017,12,1,12,23,16.904
61,0,1,2017,12,1,12,51,28.91
62,1,0,2017,12,1,13,17,37.461
63,0,1,2017,12,1,13,30,33.019
64,0,1,2017,12,1,13,34,36.998
65,0,1,2017,12,1,13,50,13.8
66,1,0,2017,12,1,14,36,33.163
67,1,0,2017,12,1,14,37,47.789
68,1,0,2017,12,1,14,38,15.793
69,1,0,2017,12,1,14,38,33.534
70,1,0,2017,12,1,14,39,45.129
71,1,0,2017,12,1,14,39,57.693
72,0,1,2017,12,1,14,41,7.617
73,1,0,2017,12,1,15,30,5.394
74,1,0,2017,12,1,15,30,6.052
75,1,0,2017,12,1,15,30,46.898
76,1,0,2017,12,1,15,31,11.474
77,1,0,2017,12,1,15,31,15.787
78,1,0,2017,12,1,15,33,17.112
79,1,0,2017,12,1,15,33,17.195
80,1,0,2017,12,1,15,34,53.122
81,0,1,2017,12,1,16,37,31.884
82,1,0,2017,12,1,16,38,22.471
83,1,0,2017,12,1,16,38,57.13
84,1,0,2017,12,1,16,39,16.794
85,0,1,2017,12,1,16,39,51.158
86,1,0,2017,12,1,16,42,54.507
87,0,1,2017,12,1,16,43,29.337
88,1,0,2017,12,1,17,24,46.462
89,1,0,2017,12,1,17,25,19.229
90,1,0,2017,12,1,17,25,19.273
91,1,0,2017,12,1,17,25,19.508
92,1,0,2017,12,1,17,25,32.958
93,1,0,2017,12,1,17,26,25.522
94,1,0,2017,12,1,17,27,21.545
95,1,0,2017,12,1,17,28,10.66
96,1,0,2017,12,1,17,29,3.188
97,1,0,2017,12,1,17,29,7.778
98,1,0,2017,12,1,17,29,31.64
99,1,0,2017,12,1,17,30,19.641
100,1,0,2017,12,1,17,30,19.689
101,1,0,2017,12,1,17,30,50.571
102,1,0,2017,12,1,17,30,52.845
103,1,0,2017,12,1,17,30,52.907
104,1,0,2017,12,1,17,32,31.045
105,1,0,2017,12,1,17,32,45.272
106,1,0,2017,12,1,17,32,45.514
107,1,0,2017,12,1,17,32,56.57
108,1,0,2017,12,1,17,32,56.712
109,1,0,2017,12,1,18,2,58.158
110,1,0,2017,12,1,18,3,22.127
111,1,0,2017,12,1,18,3,28.11
112,1,0,2017,12,1,18,3,30.311
113,1,0,2017,12,1,18,4,46.94
114,1,0,2017,12,1,18,5,20.816
115,1,0,2017,12,1,18,5,35.278
116,1,0,2017,12,1,18,5,39.548
117,1,0,2017,12,1,18,5,58.991
118,1,0,2017,12,1,18,5,59.275
119,1,0,2017,12,1,18,5,59.385
120,1,0,2017,12,1,18,6,9.362
121,1,0,2017,12,1,18,6,37.177
122,1,0,2017,12,1,18,6,37.334
123,1,0,2017,12,1,18,6,41.532
124,1,0,2017,12,1,18,7,8.031
