Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,11,22,8,5,46.517
1,1,0,2017,11,22,9,28,50.794
2,1,0,2017,11,22,9,28,52.016
3,0,1,2017,11,22,10,0,3.136
4,0,1,2017,11,22,10,0,53.467
5,0,1,2017,11,22,10,2,18.503
6,0,1,2017,11,22,10,2,18.587
7,0,1,2017,11,22,10,2,25.304
8,1,0,2017,11,22,10,5,1.027
9,0,1,2017,11,22,10,9,7.418
10,0,1,2017,11,22,10,9,18.989
11,1,0,2017,11,22,10,24,21.81
12,1,0,2017,11,22,10,24,21.879
13,1,0,2017,11,22,10,27,34.893
14,1,0,2017,11,22,10,27,35.471
15,1,0,2017,11,22,10,27,36.071
16,1,0,2017,11,22,10,29,3.479
17,1,0,2017,11,22,10,29,38.102
18,1,0,2017,11,22,10,29,38.714
19,1,0,2017,11,22,10,29,39.094
20,1,0,2017,11,22,10,29,55.102
21,1,0,2017,11,22,10,29,55.377
22,1,0,2017,11,22,10,30,3.923
23,1,0,2017,11,22,10,31,18.659
24,1,0,2017,11,22,10,31,19.815
25,1,0,2017,11,22,10,31,34.945
26,1,0,2017,11,22,10,32,24.268
27,1,0,2017,11,22,10,46,18.858
28,1,0,2017,11,22,10,46,19.107
29,1,0,2017,11,22,10,46,19.747
30,1,0,2017,11,22,10,46,20.008
31,1,0,2017,11,22,10,46,20.267
32,1,0,2017,11,22,11,1,3.843
33,1,0,2017,11,22,11,1,4.683
34,1,0,2017,11,22,11,1,11.527
35,1,0,2017,11,22,11,56,26.05
36,1,0,2017,11,22,12,11,48.741
37,1,0,2017,11,22,12,11,49.537
38,1,0,2017,11,22,12,12,21.891
39,1,0,2017,11,22,12,12,22.723
40,1,0,2017,11,22,12,12,26.571
41,1,0,2017,11,22,12,12,27.54
42,1,0,2017,11,22,12,12,28.558
43,1,0,2017,11,22,12,12,40.468
44,1,0,2017,11,22,12,13,2.115
45,1,0,2017,11,22,12,13,3.874
46,1,0,2017,11,22,12,13,13.619
47,1,0,2017,11,22,12,13,16.453
48,1,0,2017,11,22,12,13,59.702
49,1,0,2017,11,22,12,18,0.714
50,1,0,2017,11,22,12,29,48.385
51,1,0,2017,11,22,12,30,48.632
52,1,0,2017,11,22,12,36,24.466
53,1,0,2017,11,22,12,49,29.903
54,0,1,2017,11,22,12,54,44.903
55,1,0,2017,11,22,12,56,7.802
56,1,0,2017,11,22,12,56,28.103
57,1,0,2017,11,22,12,56,28.15
58,1,0,2017,11,22,12,56,28.688
59,1,0,2017,11,22,12,56,32.692
60,1,0,2017,11,22,12,56,46.988
61,1,0,2017,11,22,12,56,56.867
62,1,0,2017,11,22,12,57,3.483
63,0,1,2017,11,22,14,7,12.923
64,0,1,2017,11,22,14,16,29.783
65,1,0,2017,11,22,14,24,59.69
66,1,0,2017,11,22,14,25,1.443
67,1,0,2017,11,22,14,25,3.34
68,1,0,2017,11,22,14,25,11.988
69,1,0,2017,11,22,14,31,34.146
70,1,0,2017,11,22,14,57,34.534
71,1,0,2017,11,22,14,57,55.995
72,1,0,2017,11,22,14,57,58.435
73,1,0,2017,11,22,14,58,0.074
74,1,0,2017,11,22,14,58,1.316
75,1,0,2017,11,22,14,58,50.546
76,1,0,2017,11,22,14,58,52.416
77,1,0,2017,11,22,14,59,16.431
78,0,1,2017,11,22,15,46,44.626
79,0,1,2017,11,22,15,47,9.179
80,1,0,2017,11,22,15,50,36.354
81,1,0,2017,11,22,15,53,53.525
82,1,0,2017,11,22,15,53,53.816
83,1,0,2017,11,22,16,3,49.782
84,1,0,2017,11,22,16,22,48.281
85,1,0,2017,11,22,16,29,40.538
86,1,0,2017,11,22,17,14,30.658
87,1,0,2017,11,22,18,19,38.027
88,1,0,2017,11,22,18,20,21.269
89,1,0,2017,11,22,18,20,36.307
90,1,0,2017,11,22,18,53,45.783
91,0,1,2017,11,22,18,58,59.494
92,0,1,2017,11,22,18,58,59.657
