Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9
0,0,0,2017,11,28,7,46,13.581
1,1,0,2017,11,28,8,1,26.701
2,1,0,2017,11,28,8,3,27.071
3,1,0,2017,11,28,8,4,13.158
4,1,0,2017,11,28,8,16,20.951
5,1,0,2017,11,28,8,19,2.057
6,1,0,2017,11,28,8,43,29.616
7,1,0,2017,11,28,8,44,23.611
8,1,0,2017,11,28,8,44,59.548
9,0,1,2017,11,28,8,45,35.848
10,1,0,2017,11,28,8,47,8.368
11,1,0,2017,11,28,8,47,8.457
12,1,0,2017,11,28,8,47,39.853
13,1,0,2017,11,28,8,48,30.626
14,1,0,2017,11,28,8,54,42.756
15,1,0,2017,11,28,8,55,14.369
16,1,0,2017,11,28,8,55,22.587
17,1,0,2017,11,28,8,55,22.689
18,1,0,2017,11,28,8,55,23.253
19,1,0,2017,11,28,8,55,23.311
20,1,0,2017,11,28,8,55,23.397
21,1,0,2017,11,28,8,55,30.912
22,1,0,2017,11,28,8,56,40.427
23,1,0,2017,11,28,9,3,34.23
24,0,1,2017,11,28,9,19,55.798
25,0,1,2017,11,28,9,20,4.003
26,0,1,2017,11,28,9,32,37.251
27,1,0,2017,11,28,9,38,2.741
28,0,1,2017,11,28,9,53,29.758
29,0,1,2017,11,28,10,12,24.951
30,0,1,2017,11,28,10,12,55.777
31,0,1,2017,11,28,10,18,7.314
32,0,1,2017,11,28,10,18,8.525
33,0,1,2017,11,28,10,21,44.608
34,0,1,2017,11,28,10,21,53.945
35,0,1,2017,11,28,10,25,41.087
36,0,1,2017,11,28,10,30,49.732
37,1,0,2017,11,28,10,53,54.058
38,1,0,2017,11,28,10,53,54.747
39,1,0,2017,11,28,10,54,2.015
40,0,1,2017,11,28,10,55,31.22
41,0,1,2017,11,28,10,55,35.797
42,0,1,2017,11,28,10,55,52.138
43,0,1,2017,11,28,11,0,0.147
44,0,1,2017,11,28,11,2,46.201
45,0,1,2017,11,28,11,3,1.041
46,0,1,2017,11,28,11,3,2.2
47,0,1,2017,11,28,11,26,57.776
48,0,1,2017,11,28,11,27,46.215
49,0,1,2017,11,28,11,29,48.806
50,0,1,2017,11,28,11,29,49.108
51,0,1,2017,11,28,11,29,49.372
52,0,1,2017,11,28,11,30,4.785
53,0,1,2017,11,28,11,31,33.942
54,0,1,2017,11,28,11,31,34.279
55,0,1,2017,11,28,11,31,37.929
56,0,1,2017,11,28,11,31,56.424
57,0,1,2017,11,28,11,32,4.354
58,0,1,2017,11,28,11,35,4.91
59,0,1,2017,11,28,11,36,47.301
60,0,1,2017,11,28,11,36,47.682
61,1,0,2017,11,28,11,42,12.961
62,0,1,2017,11,28,11,44,6.416
63,0,1,2017,11,28,11,44,6.449
64,0,1,2017,11,28,11,47,9.917
65,0,1,2017,11,28,11,47,9.981
66,0,1,2017,11,28,11,47,10.151
67,1,0,2017,11,28,11,48,45.754
68,1,0,2017,11,28,11,48,48.298
69,1,0,2017,11,28,11,48,49.106
70,0,1,2017,11,28,11,57,18.665
71,0,1,2017,11,28,11,57,20.232
72,0,1,2017,11,28,11,57,22.821
73,0,1,2017,11,28,12,2,17.622
74,0,1,2017,11,28,12,2,40.315
75,0,1,2017,11,28,12,3,27.337
76,0,1,2017,11,28,12,31,37.597
77,0,1,2017,11,28,12,58,23.089
78,0,1,2017,11,28,13,5,13.82
79,0,1,2017,11,28,13,8,9.816
80,1,0,2017,11,28,13,13,52.172
81,0,1,2017,11,28,13,15,10.684
82,1,0,2017,11,28,13,50,1.423
83,1,0,2017,11,28,13,51,39.749
84,1,0,2017,11,28,13,51,50.278
85,1,0,2017,11,28,13,52,15.98
86,1,0,2017,11,28,13,52,17.539
87,1,0,2017,11,28,13,52,28.849
88,1,0,2017,11,28,13,52,43.938
89,1,0,2017,11,28,13,52,58.732
90,1,0,2017,11,28,13,53,0.57
91,1,0,2017,11,28,13,53,31.241
92,1,0,2017,11,28,13,56,18.396
93,1,0,2017,11,28,13,58,18.995
94,1,0,2017,11,28,13,58,19.138
95,1,0,2017,11,28,13,58,27.15
96,1,0,2017,11,28,13,58,27.513
97,1,0,2017,11,28,14,0,35.34
98,1,0,2017,11,28,14,1,10.718
99,1,0,2017,11,28,14,1,19.182
100,1,0,2017,11,28,14,1,19.809
101,1,0,2017,11,28,14,1,20.46
102,1,0,2017,11,28,14,1,21.387
103,1,0,2017,11,28,14,1,22.741
104,1,0,2017,11,28,14,5,57.181
105,1,0,2017,11,28,14,7,28.2
106,1,0,2017,11,28,14,15,52.131
