outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,12,4,7,20,56.209
1,2,1,2017,12,4,9,6,18.116
2,2,1,2017,12,4,9,6,48.7
3,2,1,2017,12,4,9,7,4.389
4,2,1,2017,12,4,9,7,9.989
5,2,2,2017,12,4,9,7,36.539
6,2,1,2017,12,4,9,8,1.615
7,2,1,2017,12,4,9,9,32.37
8,2,2,2017,12,4,9,9,43.411
9,2,1,2017,12,4,9,9,50.706
10,2,1,2017,12,4,9,10,1.655
11,2,1,2017,12,4,9,10,13.033
12,2,2,2017,12,4,9,10,16.076
13,2,1,2017,12,4,9,10,24.465
14,2,2,2017,12,4,9,10,31.09
15,2,1,2017,12,4,9,10,42.411
16,2,2,2017,12,4,9,10,50.642
17,2,1,2017,12,4,9,11,4.199
18,2,1,2017,12,4,9,11,15.04
19,2,1,2017,12,4,9,11,32.059
20,2,1,2017,12,4,9,11,35.851
21,2,1,2017,12,4,9,14,5.6
22,2,2,2017,12,4,9,14,31.659
23,2,1,2017,12,4,9,14,38.143
24,2,1,2017,12,4,9,14,44.839
25,2,2,2017,12,4,9,15,21.957
26,2,2,2017,12,4,9,15,29.244
27,2,2,2017,12,4,9,15,46.986
28,2,2,2017,12,4,9,15,52.479
29,2,1,2017,12,4,9,16,14.582
30,2,1,2017,12,4,9,16,32.183
31,2,2,2017,12,4,9,17,13.591
32,2,1,2017,12,4,9,17,18.863
33,2,2,2017,12,4,9,17,26.619
34,2,1,2017,12,4,9,19,34.354
35,2,1,2017,12,4,9,19,38.301
36,2,1,2017,12,4,9,20,53.41
37,2,2,2017,12,4,9,22,9.043
38,2,1,2017,12,4,9,22,18.063
39,2,2,2017,12,4,9,22,21.844
40,2,2,2017,12,4,9,22,39.216
41,2,1,2017,12,4,9,23,4.763
42,2,1,2017,12,4,9,24,39.094
43,2,2,2017,12,4,9,24,42.604
44,2,1,2017,12,4,9,24,47.266
45,2,2,2017,12,4,9,24,52.412
46,2,1,2017,12,4,9,25,0.254
47,2,2,2017,12,4,9,25,5.907
48,2,2,2017,12,4,9,27,52.199
49,2,1,2017,12,4,9,28,1.862
50,2,2,2017,12,4,9,28,15.677
51,2,2,2017,12,4,9,28,48.762
52,2,2,2017,12,4,9,30,53.614
53,2,2,2017,12,4,9,31,4.363
54,2,2,2017,12,4,9,31,14.544
55,2,2,2017,12,4,9,31,20.723
56,2,2,2017,12,4,9,32,16.449
57,2,2,2017,12,4,9,32,34.137
58,2,2,2017,12,4,9,32,40.947
59,2,2,2017,12,4,9,32,47.562
60,2,2,2017,12,4,9,32,58.155
