outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,24,8,5,46.955
1,2,1,2017,11,24,10,15,28.158
2,1,2,2017,11,24,10,19,5.85
3,1,2,2017,11,24,10,19,40.7
4,2,1,2017,11,24,10,53,25.904
5,2,1,2017,11,24,10,53,52.112
6,2,1,2017,11,24,11,56,39.326
7,1,2,2017,11,24,12,16,14.845
8,1,2,2017,11,24,12,16,57.304
9,2,1,2017,11,24,12,28,43.022
10,2,1,2017,11,24,12,36,53.006
11,1,2,2017,11,24,15,11,44.913
12,1,2,2017,11,24,15,12,29.561
13,2,1,2017,11,24,16,32,37.009
14,2,1,2017,11,24,16,32,50.48
15,2,1,2017,11,24,16,33,5.291
16,2,1,2017,11,24,16,33,24.083
17,2,2,2017,11,24,16,34,48.271
18,2,1,2017,11,24,16,35,2.694
19,2,1,2017,11,24,16,35,12.357
20,2,2,2017,11,24,16,35,21.701
21,2,1,2017,11,24,16,35,27.172
