outputpb_1,outputpb_2,outputpb_3,outputpb_4,outputpb_5,outputpb_6,outputpb_7,outputpb_8,outputpb_9
0,0,0,2017,11,30,7,20,28.681
1,1,2,2017,11,30,9,21,32.017
2,1,2,2017,11,30,9,21,52.785
3,1,2,2017,11,30,9,23,4.31
4,1,1,2017,11,30,9,23,57.588
5,1,2,2017,11,30,9,24,4.1
6,1,2,2017,11,30,9,24,23.341
7,1,2,2017,11,30,9,24,33.266
8,1,2,2017,11,30,9,24,55.821
9,1,2,2017,11,30,9,25,13.742
10,1,2,2017,11,30,9,25,42.506
11,1,2,2017,11,30,9,25,46.301
12,1,1,2017,11,30,9,25,51.859
13,1,1,2017,11,30,9,25,56.448
14,1,2,2017,11,30,9,26,3.604
15,1,1,2017,11,30,9,26,12.261
16,1,1,2017,11,30,9,26,30.531
17,1,2,2017,11,30,9,26,40.163
18,1,1,2017,11,30,9,26,43.754
19,1,2,2017,11,30,9,26,48.066
20,1,2,2017,11,30,9,26,53.67
21,1,2,2017,11,30,9,26,58.219
22,1,2,2017,11,30,9,27,10.209
23,1,2,2017,11,30,9,27,16.85
24,1,2,2017,11,30,9,27,24.608
25,1,1,2017,11,30,9,27,31.495
26,1,2,2017,11,30,9,27,38.471
27,1,1,2017,11,30,9,30,36.516
28,1,1,2017,11,30,9,36,19.117
29,1,2,2017,11,30,9,36,31.221
30,1,1,2017,11,30,9,36,44.629
31,1,2,2017,11,30,9,36,47.945
32,1,1,2017,11,30,9,37,0.654
33,1,1,2017,11,30,9,37,6.834
34,1,1,2017,11,30,9,37,16.066
35,1,2,2017,11,30,9,37,20.542
36,1,1,2017,11,30,9,37,29.981
37,1,2,2017,11,30,9,37,46.565
38,1,2,2017,11,30,9,37,53.947
39,1,1,2017,11,30,9,38,10.093
40,1,1,2017,11,30,9,38,13.767
41,1,1,2017,11,30,9,38,23.084
42,1,2,2017,11,30,9,39,11.386
43,1,2,2017,11,30,9,39,18.018
44,1,1,2017,11,30,9,39,21.923
45,1,1,2017,11,30,9,39,25.715
46,1,1,2017,11,30,9,39,33.071
47,1,2,2017,11,30,9,39,54.958
48,1,1,2017,11,30,9,39,59.869
49,1,2,2017,11,30,9,40,6.338
50,1,2,2017,11,30,9,40,17.524
51,2,1,2017,11,30,9,40,41.941
52,2,1,2017,11,30,9,40,54.581
53,2,1,2017,11,30,9,44,43.945
54,2,1,2017,11,30,9,44,55.553
55,2,1,2017,11,30,9,44,58.645
56,2,1,2017,11,30,9,45,9.263
57,2,1,2017,11,30,9,45,17.095
58,2,1,2017,11,30,9,45,29.061
59,2,2,2017,11,30,9,45,45.507
60,2,1,2017,11,30,9,46,3.935
