Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,2,17,8,5,12.807
1,1,1,1,2016,2,17,8,22,23.839
2,1,1,1,2016,2,17,8,24,42.464
3,1,1,1,2016,2,17,8,24,46.742
4,1,0,1,2016,2,17,8,24,48.473
5,1,0,1,2016,2,17,8,24,48.84
6,1,0,1,2016,2,17,8,24,48.96
7,1,2,1,2016,2,17,8,24,49.913
8,1,1,1,2016,2,17,8,24,59.494
9,1,0,1,2016,2,17,8,25,2.095
10,1,0,1,2016,2,17,8,25,2.248
11,1,1,1,2016,2,17,8,25,2.815
12,1,0,1,2016,2,17,8,25,2.956
13,1,0,1,2016,2,17,8,25,3.001
14,1,1,1,2016,2,17,8,25,7.176
15,1,0,1,2016,2,17,8,25,7.223
16,1,0,1,2016,2,17,8,25,10.095
17,1,1,1,2016,2,17,8,25,10.235
18,1,0,1,2016,2,17,8,25,10.934
19,1,0,1,2016,2,17,8,25,10.966
20,1,1,1,2016,2,17,8,25,18.558
21,1,0,1,2016,2,17,8,25,19.495
22,1,0,1,2016,2,17,8,25,19.661
23,1,1,1,2016,2,17,8,25,23.807
24,1,0,1,2016,2,17,8,25,23.941
25,1,0,1,2016,2,17,8,25,24.579
26,1,0,1,2016,2,17,8,25,24.61
27,1,0,1,2016,2,17,8,25,26.798
28,1,1,1,2016,2,17,8,25,26.928
29,1,0,1,2016,2,17,8,25,27.555
30,1,0,1,2016,2,17,8,25,28.075
31,1,2,1,2016,2,17,8,25,32.012
32,1,0,1,2016,2,17,8,25,34.938
33,1,2,1,2016,2,17,8,25,35.532
34,1,0,1,2016,2,17,8,25,35.576
35,1,0,1,2016,2,17,8,25,37.878
36,1,0,1,2016,2,17,8,25,38.042
37,1,1,1,2016,2,17,8,25,38.609
38,1,0,1,2016,2,17,8,25,38.893
39,1,0,1,2016,2,17,8,25,40.75
40,1,2,1,2016,2,17,8,25,42.025
41,1,0,1,2016,2,17,8,25,42.344
42,1,0,1,2016,2,17,8,25,42.377
43,1,0,1,2016,2,17,8,25,44.745
44,1,0,1,2016,2,17,8,25,44.853
45,1,0,1,2016,2,17,8,25,44.894
46,1,2,1,2016,2,17,8,25,45.356
47,1,0,1,2016,2,17,8,25,45.603
48,1,0,1,2016,2,17,8,25,45.8
49,1,1,1,2016,2,17,8,25,49.3
50,1,0,1,2016,2,17,8,25,50.129
51,1,0,1,2016,2,17,8,25,50.284
52,1,2,1,2016,2,17,8,25,52.992
53,1,1,1,2016,2,17,8,25,56.281
54,1,0,1,2016,2,17,8,25,58.162
55,1,0,1,2016,2,17,8,25,58.574
56,1,1,1,2016,2,17,8,26,0.189
57,1,0,1,2016,2,17,8,26,0.843
58,1,1,1,2016,2,17,8,26,4.385
59,1,1,1,2016,2,17,8,26,13.187
60,1,0,1,2016,2,17,8,26,13.273
61,1,0,1,2016,2,17,8,26,13.855
62,1,1,1,2016,2,17,8,26,17.319
63,1,0,1,2016,2,17,8,26,17.504
64,1,0,1,2016,2,17,8,26,17.975
65,1,0,1,2016,2,17,8,26,18.392
66,1,0,1,2016,2,17,8,26,19.856
67,1,0,1,2016,2,17,8,26,19.9
68,1,0,1,2016,2,17,8,26,20.075
69,1,0,1,2016,2,17,8,26,20.134
70,1,1,1,2016,2,17,8,26,20.954
71,1,0,1,2016,2,17,8,26,21.08
72,1,0,1,2016,2,17,8,26,22.505
73,1,2,1,2016,2,17,8,26,25.821
74,1,0,1,2016,2,17,8,26,28.656
75,1,1,1,2016,2,17,8,26,28.861
76,1,0,1,2016,2,17,8,26,29.466
77,1,0,1,2016,2,17,8,26,29.533
78,1,2,1,2016,2,17,8,26,32.126
79,1,0,1,2016,2,17,8,26,34.949
80,1,2,1,2016,2,17,8,26,35.225
81,1,0,1,2016,2,17,8,26,36.901
82,1,0,1,2016,2,17,8,26,37.058
83,1,1,1,2016,2,17,8,26,38.694
84,1,0,1,2016,2,17,8,26,39.133
85,1,0,1,2016,2,17,8,26,39.178
86,1,0,1,2016,2,17,8,26,39.947
87,1,0,1,2016,2,17,8,26,41.443
88,1,2,1,2016,2,17,8,26,41.886
89,1,0,1,2016,2,17,8,26,44.665
90,1,1,1,2016,2,17,8,26,45.554
91,1,0,1,2016,2,17,8,26,45.824
92,1,2,1,2016,2,17,8,26,49.683
93,1,0,1,2016,2,17,8,26,49.789
94,1,0,1,2016,2,17,8,26,51.108
95,1,2,1,2016,2,17,8,26,53.118
96,1,0,1,2016,2,17,8,26,55.448
97,1,0,1,2016,2,17,8,26,55.59
98,1,0,1,2016,2,17,8,26,55.78
99,1,2,1,2016,2,17,8,26,57.695
100,1,0,1,2016,2,17,8,26,57.803
101,1,0,1,2016,2,17,8,26,57.85
102,1,1,1,2016,2,17,8,27,1.769
103,1,2,1,2016,2,17,8,27,4.911
104,1,1,1,2016,2,17,8,27,8.198
105,1,0,1,2016,2,17,8,27,8.515
106,1,1,1,2016,2,17,8,27,11.714
107,1,0,1,2016,2,17,8,27,12.033
108,1,2,1,2016,2,17,8,27,14.782
109,1,0,1,2016,2,17,8,27,14.829
110,1,0,1,2016,2,17,8,27,17.645
111,1,2,1,2016,2,17,8,27,17.797
112,1,2,1,2016,2,17,8,27,32.747
113,1,0,1,2016,2,17,8,27,35.488
114,1,1,1,2016,2,17,8,27,36.418
115,1,1,1,2016,2,17,8,27,44.655
116,1,2,1,2016,2,17,8,27,47.746
117,1,0,1,2016,2,17,8,27,48.261
118,1,0,1,2016,2,17,8,27,48.3
119,1,2,1,2016,2,17,8,28,4.059
120,1,2,1,2016,2,17,8,28,8.971
121,1,1,1,2016,2,17,8,28,18.523
122,1,2,1,2016,2,17,8,28,24.344
123,1,1,1,2016,2,17,8,28,28.712
124,1,0,1,2016,2,17,8,28,30.105
125,1,1,1,2016,2,17,8,28,35.041
126,1,1,1,2016,2,17,8,28,38.505
127,1,2,1,2016,2,17,8,28,44.443
128,1,2,1,2016,2,17,8,28,48.695
129,1,2,1,2016,2,17,8,28,56.856
130,1,0,1,2016,2,17,8,28,56.908
131,1,0,1,2016,2,17,8,28,59.068
132,1,0,1,2016,2,17,8,28,59.115
133,1,2,1,2016,2,17,8,28,59.993
134,1,0,1,2016,2,17,8,29,0.273
135,1,0,1,2016,2,17,8,29,0.361
136,1,2,1,2016,2,17,8,29,10.493
137,1,2,1,2016,2,17,8,29,13.52
138,1,0,1,2016,2,17,8,29,13.879
139,1,0,1,2016,2,17,8,29,13.957
140,1,2,1,2016,2,17,8,29,18.043
141,1,0,1,2016,2,17,8,29,18.103
142,1,2,1,2016,2,17,8,29,24.517
143,1,0,1,2016,2,17,8,29,25.763
144,1,2,1,2016,2,17,8,29,28.884
145,1,0,1,2016,2,17,8,29,32.148
146,1,0,1,2016,2,17,8,29,32.206
147,1,0,1,2016,2,17,8,29,32.331
148,1,0,1,2016,2,17,8,29,34.21
149,1,0,1,2016,2,17,8,29,34.983
150,1,0,1,2016,2,17,8,29,35.025
151,1,0,1,2016,2,17,8,29,36.12
152,1,0,1,2016,2,17,8,29,36.159
153,1,0,1,2016,2,17,8,29,38.936
154,1,0,1,2016,2,17,8,29,39.442
155,1,0,1,2016,2,17,8,29,40.328
156,1,0,1,2016,2,17,8,29,41.186
157,1,0,1,2016,2,17,8,29,48.011
158,1,0,1,2016,2,17,8,29,48.045
159,1,0,1,2016,2,17,8,29,58.406
160,1,0,1,2016,2,17,8,29,58.947
161,1,0,1,2016,2,17,8,30,12.022
162,1,0,1,2016,2,17,8,30,25.778
163,1,0,1,2016,2,17,8,30,37.586
164,1,0,1,2016,2,17,8,30,38.133
165,1,0,1,2016,2,17,8,30,38.176
166,1,0,1,2016,2,17,8,38,12.669
167,1,0,1,2016,2,17,8,39,48.502
168,1,0,1,2016,2,17,8,40,0.934
169,1,0,1,2016,2,17,8,41,4.435
170,1,0,1,2016,2,17,8,42,48.639
171,1,0,1,2016,2,17,8,42,52.375
172,1,0,1,2016,2,17,8,42,52.516
173,1,0,1,2016,2,17,8,42,53.636
174,2,0,1,2016,2,17,8,43,27.479
175,2,0,1,2016,2,17,8,43,27.508
176,1,0,1,2016,2,17,8,48,0.241
177,1,0,1,2016,2,17,8,48,2.452
178,1,0,1,2016,2,17,8,48,2.825
179,1,0,1,2016,2,17,8,48,3.626
180,1,0,1,2016,2,17,8,48,14.987
181,1,0,1,2016,2,17,8,48,16.447
182,1,0,1,2016,2,17,8,48,16.493
183,1,0,1,2016,2,17,8,48,46.728
184,1,0,1,2016,2,17,8,48,47.54
185,1,0,1,2016,2,17,8,48,48.258
186,1,0,1,2016,2,17,8,48,49.057
187,1,0,1,2016,2,17,8,48,49.696
188,1,0,1,2016,2,17,8,48,49.97
189,1,0,1,2016,2,17,8,48,51.525
190,1,0,1,2016,2,17,8,48,53.035
