Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,1,26,8,5,10.358
1,1,1,1,2016,1,26,9,33,33.32
2,1,1,1,2016,1,26,9,39,3.046
3,1,1,1,2016,1,26,9,39,44.663
4,1,2,1,2016,1,26,9,44,7.784
5,1,1,1,2016,1,26,9,44,23.902
6,1,1,1,2016,1,26,9,44,31.252
7,1,1,1,2016,1,26,9,44,36.971
8,1,1,1,2016,1,26,9,44,51.225
9,1,1,1,2016,1,26,9,45,56.655
10,1,1,1,2016,1,26,9,46,44.796
11,1,1,1,2016,1,26,9,46,56.332
12,1,2,1,2016,1,26,9,47,8.004
13,1,2,1,2016,1,26,9,47,35.295
14,1,0,1,2016,1,26,9,47,38.168
15,1,1,1,2016,1,26,9,47,39.778
16,1,2,1,2016,1,26,9,48,0.361
17,1,2,1,2016,1,26,9,48,5.083
18,1,1,1,2016,1,26,9,48,8.154
19,1,2,1,2016,1,26,9,48,25.47
20,1,1,1,2016,1,26,9,48,32.978
21,1,1,1,2016,1,26,9,48,38.502
22,1,1,1,2016,1,26,9,49,6.668
23,1,1,1,2016,1,26,9,49,55.293
24,1,1,1,2016,1,26,9,50,37.551
25,1,1,1,2016,1,26,9,51,6.295
26,1,2,1,2016,1,26,9,53,12.141
27,2,2,1,2016,1,26,9,55,22.872
28,2,2,1,2016,1,26,9,57,16.889
29,1,1,1,2016,1,26,10,8,39.584
30,1,1,1,2016,1,26,10,14,17.289
31,1,2,1,2016,1,26,10,15,14.042
32,2,2,1,2016,1,26,11,27,31.004
33,1,1,1,2016,1,26,14,59,55.743
34,1,1,1,2016,1,26,15,0,11.898
35,1,2,1,2016,1,26,15,0,24.734
36,1,2,1,2016,1,26,15,0,46.01
37,1,1,1,2016,1,26,15,1,30.414
38,1,2,1,2016,1,26,15,2,1.358
39,1,1,1,2016,1,26,15,2,10.17
40,1,2,1,2016,1,26,15,2,14.652
41,1,2,1,2016,1,26,15,2,18.124
42,1,2,1,2016,1,26,15,3,6.178
43,1,1,1,2016,1,26,15,3,14.117
44,1,2,1,2016,1,26,15,3,38.262
45,1,1,1,2016,1,26,15,3,46.511
46,1,1,1,2016,1,26,15,4,3.106
47,1,2,1,2016,1,26,15,4,18.766
48,1,2,1,2016,1,26,15,4,22.898
49,1,2,1,2016,1,26,15,4,34.316
50,1,1,1,2016,1,26,15,4,41.831
51,1,1,1,2016,1,26,15,5,11.794
52,1,0,1,2016,1,26,15,5,12.105
53,1,2,1,2016,1,26,15,5,25.815
54,1,2,1,2016,1,26,15,5,30.393
55,1,0,1,2016,1,26,15,5,31.286
56,1,0,1,2016,1,26,15,5,31.58
57,1,2,1,2016,1,26,15,5,41.77
58,2,2,1,2016,1,26,15,6,50.6
59,1,1,1,2016,1,26,15,7,17.576
60,1,2,1,2016,1,26,15,7,37.766
61,1,2,1,2016,1,26,15,7,59.746
62,1,2,1,2016,1,26,15,8,35.449
63,1,2,1,2016,1,26,15,11,30.924
64,1,2,1,2016,1,26,15,11,49.39
65,1,0,1,2016,1,26,15,11,52.982
66,1,0,1,2016,1,26,15,11,53.004
67,1,0,1,2016,1,26,15,11,53.422
68,1,0,1,2016,1,26,15,40,38.912
69,2,0,1,2016,1,26,15,41,6.758
70,1,0,1,2016,1,26,15,41,41.712
71,1,0,1,2016,1,26,15,41,43.816
72,1,0,1,2016,1,26,15,41,46.878
73,1,0,1,2016,1,26,15,41,47.658
74,1,0,1,2016,1,26,15,42,26.973
75,1,0,1,2016,1,26,15,42,49.306
76,1,0,1,2016,1,26,16,54,41.683
77,1,0,1,2016,1,26,16,54,44.732
78,1,0,1,2016,1,26,16,54,49.735
79,2,0,1,2016,1,26,16,55,29.614
80,1,0,1,2016,1,26,17,8,2.07
81,1,0,1,2016,1,26,17,10,12.387
82,1,0,1,2016,1,26,17,10,17.518
83,1,0,1,2016,1,26,17,13,34.653
84,1,0,1,2016,1,26,17,54,42.311
