Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,2,1,8,5,28.403
1,2,2,1,2016,2,1,8,6,34.953
2,2,2,1,2016,2,1,8,7,19.184
3,2,2,1,2016,2,1,8,7,56.65
4,2,2,1,2016,2,1,8,8,51.505
5,2,1,1,2016,2,1,8,9,6.198
6,2,2,1,2016,2,1,8,10,14.013
7,2,2,1,2016,2,1,8,10,25.747
8,2,1,1,2016,2,1,8,10,42.654
9,2,2,1,2016,2,1,8,11,37.643
10,2,2,1,2016,2,1,8,13,34.048
11,2,2,1,2016,2,1,8,14,41.952
12,2,1,1,2016,2,1,8,15,47.147
13,2,0,1,2016,2,1,8,15,47.736
14,2,2,1,2016,2,1,8,15,58.809
15,2,1,1,2016,2,1,8,16,10.304
16,2,2,1,2016,2,1,8,16,14.874
17,2,1,1,2016,2,1,8,16,22.172
18,2,0,1,2016,2,1,8,16,23.307
19,2,2,1,2016,2,1,8,16,26.361
20,2,2,1,2016,2,1,8,16,50.692
21,2,2,1,2016,2,1,8,18,23.022
22,2,2,1,2016,2,1,8,18,51.613
23,2,2,1,2016,2,1,8,18,58.881
24,2,1,1,2016,2,1,8,19,37.275
25,2,2,1,2016,2,1,8,19,44.217
26,2,2,1,2016,2,1,8,20,23.676
27,2,1,1,2016,2,1,8,20,40.929
28,2,1,1,2016,2,1,8,26,19.148
29,2,0,1,2016,2,1,8,26,20.404
30,2,0,1,2016,2,1,8,26,21.657
31,2,1,1,2016,2,1,8,26,23.867
32,2,0,1,2016,2,1,8,26,24.609
33,2,0,1,2016,2,1,8,26,25.903
34,2,0,1,2016,2,1,8,26,26.591
35,2,1,1,2016,2,1,8,26,27.151
36,2,0,1,2016,2,1,8,26,27.633
37,2,0,1,2016,2,1,8,26,28.674
38,2,2,1,2016,2,1,8,27,9.393
39,2,2,1,2016,2,1,8,27,17.739
40,2,0,1,2016,2,1,8,27,19.14
41,2,1,1,2016,2,1,8,27,24.742
42,2,0,1,2016,2,1,8,27,25.763
43,2,0,1,2016,2,1,8,27,26.256
44,2,0,1,2016,2,1,8,27,26.918
45,2,2,1,2016,2,1,8,28,41.151
46,2,1,1,2016,2,1,8,32,44.056
47,2,2,1,2016,2,1,8,36,28.71
48,2,2,1,2016,2,1,8,40,22.564
49,2,2,1,2016,2,1,8,40,26.26
50,2,1,1,2016,2,1,8,41,0.511
51,2,0,1,2016,2,1,8,41,2.268
52,2,0,1,2016,2,1,8,41,3.512
53,2,2,1,2016,2,1,8,41,7.59
54,2,1,1,2016,2,1,8,41,14.092
55,2,1,1,2016,2,1,8,41,18.348
56,2,0,1,2016,2,1,8,41,19.668
57,2,2,1,2016,2,1,8,42,59.747
58,2,0,1,2016,2,1,8,42,59.797
59,1,1,1,2016,2,1,8,46,32.816
60,2,2,1,2016,2,1,8,50,45.969
61,2,1,1,2016,2,1,8,53,57.812
62,2,1,1,2016,2,1,8,54,7.297
63,2,0,1,2016,2,1,8,54,7.879
64,2,0,1,2016,2,1,8,54,9.391
65,2,1,1,2016,2,1,8,54,13.174
66,2,2,1,2016,2,1,8,54,17.252
67,2,2,1,2016,2,1,8,54,38.471
68,2,1,1,2016,2,1,8,57,51.73
69,2,0,1,2016,2,1,8,57,52.404
70,2,2,1,2016,2,1,8,58,49.838
71,2,1,1,2016,2,1,9,0,33.585
72,2,1,1,2016,2,1,9,9,37.432
73,2,0,1,2016,2,1,9,9,38.294
74,2,0,1,2016,2,1,9,9,39.608
75,2,1,1,2016,2,1,9,9,41.64
