Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,2,5,8,5,11.202
1,2,2,1,2016,2,5,9,19,14.073
2,2,0,1,2016,2,5,9,19,15.317
3,2,0,1,2016,2,5,9,19,15.757
4,2,2,1,2016,2,5,9,19,32.907
5,2,0,1,2016,2,5,9,19,33.885
6,2,2,1,2016,2,5,10,16,37.52
7,2,0,1,2016,2,5,10,16,39.424
8,2,2,1,2016,2,5,10,19,49.264
9,2,1,1,2016,2,5,10,21,6.093
10,2,2,1,2016,2,5,10,21,21.466
11,2,2,1,2016,2,5,10,24,38.949
12,2,0,1,2016,2,5,10,24,39.554
13,2,0,1,2016,2,5,10,24,40.083
14,1,1,1,2016,2,5,10,25,38.211
15,1,1,1,2016,2,5,10,26,35.244
16,1,1,1,2016,2,5,10,32,5.626
17,2,2,1,2016,2,5,10,33,20.676
18,2,0,1,2016,2,5,10,33,20.721
19,2,2,1,2016,2,5,10,35,12.765
20,2,2,1,2016,2,5,10,35,20.965
21,2,0,1,2016,2,5,10,35,21.005
22,2,0,1,2016,2,5,10,35,21.623
23,1,1,1,2016,2,5,10,36,34.88
24,2,2,1,2016,2,5,10,37,41.066
25,2,2,1,2016,2,5,10,37,49.655
26,2,2,1,2016,2,5,10,37,57.863
27,2,2,1,2016,2,5,10,38,39.921
28,2,0,1,2016,2,5,10,38,41.656
29,1,1,1,2016,2,5,10,38,47.504
30,1,1,1,2016,2,5,10,39,24.418
31,1,1,1,2016,2,5,10,40,11.224
32,1,1,1,2016,2,5,10,40,19.865
33,1,1,1,2016,2,5,10,41,53.575
34,1,1,1,2016,2,5,10,43,15.763
35,1,1,1,2016,2,5,10,44,54.573
36,1,1,1,2016,2,5,10,45,40.216
37,1,1,1,2016,2,5,10,45,45.343
38,1,1,1,2016,2,5,10,46,7.813
39,1,1,1,2016,2,5,10,46,21.367
40,1,2,1,2016,2,5,10,47,12.189
41,1,2,1,2016,2,5,10,47,18.134
42,1,0,1,2016,2,5,10,47,18.268
43,1,1,1,2016,2,5,10,48,29.768
44,1,2,1,2016,2,5,10,53,18.357
45,1,2,1,2016,2,5,10,53,51.48
46,1,1,1,2016,2,5,10,53,55.037
47,1,2,1,2016,2,5,10,54,27.15
48,1,1,1,2016,2,5,10,55,17.181
49,1,1,1,2016,2,5,10,59,43.493
50,1,1,1,2016,2,5,11,0,6.917
51,1,0,1,2016,2,5,11,0,7.207
52,1,0,1,2016,2,5,11,0,9.558
53,1,0,1,2016,2,5,11,0,9.792
54,1,1,1,2016,2,5,11,0,36.221
55,1,1,1,2016,2,5,11,1,19.735
56,1,1,1,2016,2,5,11,2,31.425
57,1,2,1,2016,2,5,11,25,14.312
58,1,0,1,2016,2,5,11,25,14.398
59,1,1,1,2016,2,5,11,25,49.028
60,1,2,1,2016,2,5,11,26,21.427
61,1,2,1,2016,2,5,11,26,29.312
62,1,1,1,2016,2,5,11,26,55.24
63,1,2,1,2016,2,5,11,27,17.207
64,1,1,1,2016,2,5,11,27,26.349
65,1,2,1,2016,2,5,11,27,32.034
66,1,2,1,2016,2,5,11,27,41.882
67,1,2,1,2016,2,5,11,27,48.238
68,1,1,1,2016,2,5,11,27,52.142
69,1,2,1,2016,2,5,11,28,27.272
70,1,1,1,2016,2,5,11,28,37.49
71,1,1,1,2016,2,5,11,29,14.298
72,1,2,1,2016,2,5,11,29,21.529
73,1,2,1,2016,2,5,11,29,36.39
74,1,2,1,2016,2,5,11,29,43.232
75,1,2,1,2016,2,5,11,29,55.808
76,1,0,1,2016,2,5,11,30,2.147
77,1,0,1,2016,2,5,11,30,11.701
78,1,0,1,2016,2,5,11,30,52.348
79,1,0,1,2016,2,5,11,30,52.516
80,1,0,1,2016,2,5,11,30,56.298
81,1,0,1,2016,2,5,11,30,56.663
82,1,0,1,2016,2,5,11,31,18.316
83,1,0,1,2016,2,5,11,31,34.532
84,1,0,1,2016,2,5,11,31,38.672
85,1,0,1,2016,2,5,11,31,38.977
86,1,0,1,2016,2,5,11,33,5.368
87,2,0,1,2016,2,5,11,34,13.116
88,1,0,1,2016,2,5,11,34,48.951
