Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,1,31,8,5,28.812
1,2,2,1,2016,1,31,8,14,21.855
2,2,2,1,2016,1,31,8,16,34.578
3,2,2,1,2016,1,31,8,17,16.137
4,2,2,1,2016,1,31,8,17,26.115
5,2,1,1,2016,1,31,8,17,54.858
6,2,2,1,2016,1,31,8,18,17.55
7,2,2,1,2016,1,31,8,18,23.95
8,2,1,1,2016,1,31,8,18,38.943
9,2,0,1,2016,1,31,8,18,39.629
10,2,0,1,2016,1,31,8,18,39.922
11,2,0,1,2016,1,31,8,18,40.47
12,2,2,1,2016,1,31,8,18,42.47
13,2,2,1,2016,1,31,8,19,6.5
14,2,2,1,2016,1,31,8,19,22.613
15,2,1,1,2016,1,31,8,19,44.192
16,2,0,1,2016,1,31,8,19,46.814
17,2,2,1,2016,1,31,8,19,48.684
18,2,0,1,2016,1,31,8,19,49.594
19,2,1,1,2016,1,31,8,20,13.491
20,2,0,1,2016,1,31,8,20,14.659
21,2,0,1,2016,1,31,8,20,16.097
22,2,2,1,2016,1,31,8,20,17.427
23,2,1,1,2016,1,31,8,20,26.09
24,2,2,1,2016,1,31,8,20,48.102
25,2,2,1,2016,1,31,8,25,46.343
26,2,2,1,2016,1,31,8,27,56.899
27,2,2,1,2016,1,31,8,28,33.246
28,2,2,1,2016,1,31,8,28,39.351
29,2,1,1,2016,1,31,8,28,59.678
30,2,2,1,2016,1,31,8,29,24.929
31,2,2,1,2016,1,31,8,29,32.862
32,2,1,1,2016,1,31,8,31,19.073
33,2,0,1,2016,1,31,8,31,20.057
34,2,1,1,2016,1,31,8,32,21.338
35,2,1,1,2016,1,31,8,32,35.649
36,2,1,1,2016,1,31,8,32,44.028
37,2,0,1,2016,1,31,8,32,46.891
38,2,2,1,2016,1,31,8,32,49.597
39,2,2,1,2016,1,31,8,49,32.58
40,2,1,1,2016,1,31,8,53,42.045
41,2,2,1,2016,1,31,8,54,6.859
42,2,1,1,2016,1,31,8,54,30.778
43,2,2,1,2016,1,31,8,54,40.981
44,2,2,1,2016,1,31,8,54,59.477
45,2,2,1,2016,1,31,8,55,8.346
46,2,0,1,2016,1,31,8,55,8.941
47,2,1,1,2016,1,31,8,55,17.217
48,2,0,1,2016,1,31,8,55,18.993
49,2,0,1,2016,1,31,8,55,19.772
50,2,2,1,2016,1,31,8,55,22.892
51,2,1,1,2016,1,31,8,55,37.122
52,2,1,1,2016,1,31,8,55,44.982
53,2,2,1,2016,1,31,8,56,2.925
54,2,2,1,2016,1,31,8,57,59.085
55,2,1,1,2016,1,31,8,58,41.239
56,2,2,1,2016,1,31,8,59,47.407
57,2,1,1,2016,1,31,9,0,13.168
58,2,2,1,2016,1,31,9,0,28.812
59,2,1,1,2016,1,31,9,0,35.94
60,2,1,1,2016,1,31,9,0,51.272
61,2,2,1,2016,1,31,9,1,1.171
62,2,0,1,2016,1,31,9,1,1.291
63,2,1,1,2016,1,31,9,1,18.404
64,2,1,1,2016,1,31,9,2,2.191
65,2,1,1,2016,1,31,9,2,11.658
66,2,1,1,2016,1,31,9,2,45.628
67,2,1,1,2016,1,31,9,2,58.702
68,2,1,1,2016,1,31,9,3,11.941
69,2,1,1,2016,1,31,9,3,44.021
