Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,4,8,6,1.341
1,1,1,1,2016,3,4,8,6,34.565
2,1,1,1,2016,3,4,8,6,43.557
3,1,1,1,2016,3,4,8,6,48.165
4,1,2,1,2016,3,4,8,6,52.692
5,1,1,1,2016,3,4,8,6,57.007
6,1,1,1,2016,3,4,8,7,10.832
7,1,1,1,2016,3,4,8,7,14.279
8,1,1,1,2016,3,4,8,7,23.457
9,1,0,1,2016,3,4,8,7,23.498
10,1,1,1,2016,3,4,8,7,26.873
11,1,1,1,2016,3,4,8,7,32.655
12,1,1,1,2016,3,4,8,8,34.18
13,1,2,1,2016,3,4,8,8,42
14,1,2,1,2016,3,4,8,9,7.854
15,1,1,1,2016,3,4,8,9,31.97
16,1,2,1,2016,3,4,8,9,37.136
17,1,2,1,2016,3,4,8,9,48.274
18,1,1,1,2016,3,4,8,9,52.829
19,1,2,1,2016,3,4,8,10,6.201
20,1,1,1,2016,3,4,8,10,20.249
21,1,1,1,2016,3,4,8,10,37.113
22,1,1,1,2016,3,4,8,11,7.966
23,2,2,1,2016,3,4,8,11,25.283
24,2,2,1,2016,3,4,8,12,19.863
25,2,2,1,2016,3,4,8,12,24.049
26,2,0,1,2016,3,4,8,12,25.151
27,2,0,1,2016,3,4,8,12,26.519
28,2,2,1,2016,3,4,8,12,32.883
29,2,2,1,2016,3,4,8,12,51.536
30,2,2,1,2016,3,4,8,13,31.355
31,2,2,1,2016,3,4,8,14,43.359
32,2,2,1,2016,3,4,8,15,3.746
33,1,1,1,2016,3,4,8,16,12.176
34,1,1,1,2016,3,4,8,16,18.511
35,1,2,1,2016,3,4,8,16,22.612
36,1,2,1,2016,3,4,8,16,34.634
37,1,0,1,2016,3,4,8,16,36.528
38,1,1,1,2016,3,4,8,20,12.254
39,1,2,1,2016,3,4,8,20,34.257
40,1,1,1,2016,3,4,8,20,39.437
41,1,0,1,2016,3,4,8,20,39.503
42,1,1,1,2016,3,4,8,20,44.914
43,1,1,1,2016,3,4,8,20,49.574
44,1,1,1,2016,3,4,8,22,35.326
45,1,1,1,2016,3,4,8,22,39.269
46,1,0,1,2016,3,4,8,22,39.456
47,1,1,1,2016,3,4,8,22,44.953
48,1,2,1,2016,3,4,8,22,52.054
49,1,1,1,2016,3,4,8,22,57.202
50,1,2,1,2016,3,4,8,23,16.542
51,1,0,1,2016,3,4,8,23,17.733
52,1,0,1,2016,3,4,8,23,17.837
53,1,0,1,2016,3,4,8,23,18.162
54,1,2,1,2016,3,4,8,23,21.52
55,1,0,1,2016,3,4,8,23,24.152
56,1,0,1,2016,3,4,8,23,24.26
57,1,0,1,2016,3,4,8,23,24.369
58,1,0,1,2016,3,4,8,23,24.472
59,1,1,1,2016,3,4,8,23,26.31
60,1,0,1,2016,3,4,8,23,26.452
61,1,2,1,2016,3,4,8,23,32.889
62,1,1,1,2016,3,4,8,23,35.991
63,1,0,1,2016,3,4,8,23,37.551
64,1,2,1,2016,3,4,8,23,43.065
65,1,0,1,2016,3,4,8,23,45.687
66,1,2,1,2016,3,4,8,23,47.45
67,1,0,1,2016,3,4,8,23,47.563
68,1,0,1,2016,3,4,8,23,47.697
69,1,0,1,2016,3,4,8,23,47.822
70,1,2,1,2016,3,4,8,23,54.707
71,1,0,1,2016,3,4,8,23,54.906
72,1,0,1,2016,3,4,8,23,56.989
73,1,1,1,2016,3,4,8,23,58.257
74,1,2,1,2016,3,4,8,24,1.945
75,1,0,1,2016,3,4,8,24,3.179
76,1,0,1,2016,3,4,8,24,3.229
77,1,0,1,2016,3,4,8,24,4.01
78,1,0,1,2016,3,4,8,24,4.108
79,1,0,1,2016,3,4,8,24,4.939
80,1,1,1,2016,3,4,8,24,5.878
81,1,0,1,2016,3,4,8,24,6.035
82,1,0,1,2016,3,4,8,24,6.18
83,1,1,1,2016,3,4,8,24,13.775
84,1,2,1,2016,3,4,8,24,18.55
85,1,0,1,2016,3,4,8,24,19.517
86,1,2,1,2016,3,4,8,24,24.642
87,1,0,1,2016,3,4,8,24,26.389
88,1,2,1,2016,3,4,8,24,30.274
89,1,2,1,2016,3,4,8,24,34.3
90,1,0,1,2016,3,4,8,24,34.38
91,1,0,1,2016,3,4,8,24,34.669
92,1,2,1,2016,3,4,8,24,40.893
93,1,0,1,2016,3,4,8,24,45.08
94,1,0,1,2016,3,4,8,24,47.208
95,1,0,1,2016,3,4,8,24,48.01
96,1,0,1,2016,3,4,8,24,48.813
97,1,0,1,2016,3,4,8,24,48.854
98,1,0,1,2016,3,4,8,24,51.417
99,1,0,1,2016,3,4,8,24,52.608
100,1,0,1,2016,3,4,8,24,52.66
101,1,0,1,2016,3,4,8,24,56.251
102,1,0,1,2016,3,4,8,25,0.241
103,1,0,1,2016,3,4,8,25,1.157
104,1,0,1,2016,3,4,8,25,4.236
105,1,0,1,2016,3,4,8,25,5.215
106,1,0,1,2016,3,4,8,25,6.101
107,1,0,1,2016,3,4,8,25,7.183
108,1,0,1,2016,3,4,8,25,9.215
109,1,0,1,2016,3,4,8,25,13.704
110,1,0,1,2016,3,4,8,25,14.64
111,1,0,1,2016,3,4,8,27,24.224
112,1,0,1,2016,3,4,8,27,26.129
113,1,0,1,2016,3,4,8,27,26.406
114,1,0,1,2016,3,4,8,27,27.241
