Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,13,10,5,7.835
1,1,1,1,2016,4,13,10,7,40.575
2,1,1,1,2016,4,13,10,8,34.81
3,1,1,1,2016,4,13,10,8,45.693
4,1,2,1,2016,4,13,10,8,52.739
5,1,0,1,2016,4,13,10,8,54.937
6,1,1,1,2016,4,13,10,8,56.444
7,1,0,1,2016,4,13,10,8,56.809
8,1,1,1,2016,4,13,10,9,9.958
9,1,0,1,2016,4,13,10,9,10.078
10,1,0,1,2016,4,13,10,9,12.715
11,1,1,1,2016,4,13,10,9,27.541
12,1,0,1,2016,4,13,10,9,28.236
13,1,1,1,2016,4,13,10,9,31.201
14,1,0,1,2016,4,13,10,9,33.118
15,1,1,1,2016,4,13,10,9,56.152
16,1,1,1,2016,4,13,10,10,5.021
17,1,1,1,2016,4,13,10,10,10.494
18,1,0,1,2016,4,13,10,10,10.838
19,1,2,1,2016,4,13,10,10,14.579
20,1,2,1,2016,4,13,10,10,19.077
21,1,1,1,2016,4,13,10,10,25.962
22,1,2,1,2016,4,13,10,10,30.002
23,1,2,1,2016,4,13,10,10,33.148
24,1,1,1,2016,4,13,10,10,36.531
25,1,2,1,2016,4,13,10,10,45.385
26,1,0,1,2016,4,13,10,10,45.589
27,1,1,1,2016,4,13,10,10,52.522
28,1,1,1,2016,4,13,10,10,55.555
29,1,0,1,2016,4,13,10,10,55.664
30,1,0,1,2016,4,13,10,10,55.733
31,1,1,1,2016,4,13,10,11,0.716
32,1,1,1,2016,4,13,10,11,11.422
33,1,0,1,2016,4,13,10,11,13.226
34,1,1,1,2016,4,13,10,12,9.172
35,1,0,1,2016,4,13,10,12,9.282
36,1,1,1,2016,4,13,10,12,19.415
37,1,0,1,2016,4,13,10,12,22.179
38,1,0,1,2016,4,13,10,12,22.224
39,1,2,1,2016,4,13,10,12,29.782
40,1,0,1,2016,4,13,10,12,29.829
41,1,1,1,2016,4,13,10,12,37.74
42,1,2,1,2016,4,13,10,12,55.159
43,1,0,1,2016,4,13,10,12,55.226
44,1,0,1,2016,4,13,10,12,55.278
45,1,0,1,2016,4,13,10,12,55.301
46,1,2,1,2016,4,13,10,13,3.871
47,1,1,1,2016,4,13,10,13,7.208
48,1,0,1,2016,4,13,10,13,7.421
49,1,2,1,2016,4,13,10,13,14.541
50,1,1,1,2016,4,13,10,13,18.693
51,1,2,1,2016,4,13,10,13,27.346
52,1,0,1,2016,4,13,10,13,27.801
53,1,0,1,2016,4,13,10,13,27.861
54,1,2,1,2016,4,13,10,13,40.683
55,1,2,1,2016,4,13,10,13,53.25
56,1,1,1,2016,4,13,10,14,20.536
57,1,0,1,2016,4,13,10,14,20.609
58,1,2,1,2016,4,13,10,14,33.635
59,1,0,1,2016,4,13,10,14,33.721
60,1,0,1,2016,4,13,10,14,33.754
61,1,1,1,2016,4,13,10,14,40.259
62,1,1,1,2016,4,13,10,14,44.289
63,1,2,1,2016,4,13,10,14,59.558
64,1,0,1,2016,4,13,10,15,0.43
65,1,2,1,2016,4,13,10,15,5.736
66,1,0,1,2016,4,13,10,15,7.585
67,1,2,1,2016,4,13,10,15,9.011
68,1,0,1,2016,4,13,10,15,9.063
69,1,1,1,2016,4,13,10,15,15.59
70,1,0,1,2016,4,13,10,15,16.037
71,1,1,1,2016,4,13,10,15,29.338
72,1,0,1,2016,4,13,10,15,29.672
73,2,2,1,2016,4,13,10,18,50.553
74,2,2,1,2016,4,13,10,18,54.144
75,2,0,1,2016,4,13,10,18,54.42
76,2,2,1,2016,4,13,10,19,0.21
77,2,2,1,2016,4,13,10,19,3.876
78,2,0,1,2016,4,13,10,19,4.554
79,2,2,1,2016,4,13,10,19,31.635
80,2,0,1,2016,4,13,10,19,32.189
81,2,0,1,2016,4,13,10,19,34.411
82,2,2,1,2016,4,13,10,19,37.714
83,2,0,1,2016,4,13,10,19,39.965
84,2,2,1,2016,4,13,10,19,45.618
85,2,2,1,2016,4,13,10,19,51.35
86,2,0,1,2016,4,13,10,19,53.478
87,2,2,1,2016,4,13,10,19,55.094
88,2,0,1,2016,4,13,10,19,55.18
89,2,0,1,2016,4,13,10,19,57.456
90,2,2,1,2016,4,13,10,20,0.228
91,2,2,1,2016,4,13,10,20,6.489
92,2,0,1,2016,4,13,10,20,6.576
93,2,0,1,2016,4,13,10,20,8.733
94,2,2,1,2016,4,13,10,20,12.513
95,2,1,1,2016,4,13,10,20,17.954
96,2,2,1,2016,4,13,10,20,32.285
97,2,0,1,2016,4,13,10,20,32.966
98,2,1,1,2016,4,13,10,20,38.53
99,2,0,1,2016,4,13,10,20,38.816
100,2,1,1,2016,4,13,10,20,44.095
101,2,1,1,2016,4,13,10,20,48.36
102,2,0,1,2016,4,13,10,21,8.893
103,2,0,1,2016,4,13,10,21,18.026
104,2,0,1,2016,4,13,10,21,19.222
105,2,0,1,2016,4,13,10,21,19.272
106,2,0,1,2016,4,13,10,21,20.787
107,2,0,1,2016,4,13,10,21,21.615
108,2,0,1,2016,4,13,10,21,22.965
109,2,0,1,2016,4,13,10,21,32.161
110,2,0,1,2016,4,13,10,21,34.693
111,2,0,1,2016,4,13,10,21,40.94
112,2,0,1,2016,4,13,10,21,41.239
113,1,0,1,2016,4,13,10,22,3.534
114,1,0,1,2016,4,13,10,22,5.007
115,1,0,1,2016,4,13,10,22,8.052
116,1,0,1,2016,4,13,10,22,19.404
117,1,0,1,2016,4,13,10,22,20.487
118,1,0,1,2016,4,13,10,22,33.621
119,1,0,1,2016,4,13,10,22,36.371
120,1,0,1,2016,4,13,10,22,53.46
121,2,0,1,2016,4,13,10,24,19.876
122,2,0,1,2016,4,13,10,24,20.058
123,2,0,1,2016,4,13,10,24,23.084
124,2,0,1,2016,4,13,10,24,34.67
125,2,0,1,2016,4,13,10,24,38.307
126,2,0,1,2016,4,13,10,24,43.467
127,2,0,1,2016,4,13,10,24,43.658
128,2,0,1,2016,4,13,10,25,25.133
129,2,0,1,2016,4,13,10,25,28.407
130,2,0,1,2016,4,13,10,25,37.143
131,2,0,1,2016,4,13,10,26,17.878
132,2,0,1,2016,4,13,10,26,28.624
133,2,0,1,2016,4,13,10,26,31.536
134,2,0,1,2016,4,13,10,26,35.028
135,2,0,1,2016,4,13,10,26,35.404
136,2,0,1,2016,4,13,10,28,19.538
137,2,0,1,2016,4,13,10,28,52.181
138,2,0,1,2016,4,13,10,32,12.989
139,2,0,1,2016,4,13,10,32,20.205
140,2,0,1,2016,4,13,10,32,28.817
141,2,0,1,2016,4,13,10,32,32.047
142,2,0,1,2016,4,13,10,33,8.236
143,2,0,1,2016,4,13,10,33,11.459
144,2,0,1,2016,4,13,10,33,13.845
145,2,0,1,2016,4,13,10,33,29.514
146,2,0,1,2016,4,13,10,33,48.986
147,2,0,1,2016,4,13,10,33,53.338
148,2,0,1,2016,4,13,10,33,53.41
149,2,0,1,2016,4,13,10,33,53.543
150,2,0,1,2016,4,13,10,34,0.259
151,2,0,1,2016,4,13,10,34,7.921
152,2,0,1,2016,4,13,10,34,21.258
153,2,0,1,2016,4,13,10,35,9.383
154,2,0,1,2016,4,13,10,35,12.208
155,2,0,1,2016,4,13,10,35,18.416
156,2,0,1,2016,4,13,10,35,28.997
157,2,0,1,2016,4,13,10,35,41.836
158,2,0,1,2016,4,13,10,35,50.745
159,2,0,1,2016,4,13,10,45,16.522
160,2,0,1,2016,4,13,10,45,22.41
161,2,0,1,2016,4,13,10,45,32.947
162,2,0,1,2016,4,13,10,45,33.022
163,2,0,1,2016,4,13,10,45,43.543
164,2,0,1,2016,4,13,10,46,3.354
165,2,0,1,2016,4,13,10,46,16.964
166,2,0,1,2016,4,13,10,46,22.723
167,2,0,1,2016,4,13,10,46,36.805
168,2,0,1,2016,4,13,10,46,37.083
169,2,0,1,2016,4,13,10,46,46.357
170,2,0,1,2016,4,13,10,46,50.905
171,2,0,1,2016,4,13,10,46,54.521
172,2,0,1,2016,4,13,10,46,57.8
173,2,0,1,2016,4,13,10,47,20.373
174,2,0,1,2016,4,13,10,47,26.148
175,2,0,1,2016,4,13,10,47,28.836
176,2,0,1,2016,4,13,10,47,36.038
177,2,0,1,2016,4,13,10,48,3.765
178,2,0,1,2016,4,13,10,48,20.874
179,2,0,1,2016,4,13,10,48,24.259
180,2,0,1,2016,4,13,10,48,33.861
181,2,0,1,2016,4,13,10,48,37.62
182,2,0,1,2016,4,13,10,48,39.961
183,2,0,1,2016,4,13,10,48,45.352
184,2,0,1,2016,4,13,10,48,45.485
185,2,0,1,2016,4,13,10,48,48.805
186,2,0,1,2016,4,13,10,49,5.67
187,2,0,1,2016,4,13,10,49,15.373
188,2,0,1,2016,4,13,10,49,24.023
189,2,0,1,2016,4,13,10,49,25.899
190,2,0,1,2016,4,13,10,49,30.197
191,2,0,1,2016,4,13,10,49,39.201
192,2,0,1,2016,4,13,10,52,9.508
193,2,0,1,2016,4,13,10,52,58.879
194,2,0,1,2016,4,13,10,53,4.675
195,2,0,1,2016,4,13,10,53,14.489
196,2,0,1,2016,4,13,10,53,14.786
197,2,0,1,2016,4,13,10,53,21.484
198,2,0,1,2016,4,13,10,53,27.504
199,2,0,1,2016,4,13,10,53,39.359
200,2,0,1,2016,4,13,10,53,53.621
201,2,0,1,2016,4,13,10,53,56.228
202,2,0,1,2016,4,13,10,54,1.533
203,2,0,1,2016,4,13,10,54,1.602
204,2,0,1,2016,4,13,10,54,9.72
205,2,0,1,2016,4,13,10,54,12.265
206,2,0,1,2016,4,13,10,54,29.188
207,2,0,1,2016,4,13,10,54,29.468
208,2,0,1,2016,4,13,10,54,31.803
209,2,0,1,2016,4,13,10,54,46.349
210,2,0,1,2016,4,13,10,58,31.547
211,2,0,1,2016,4,13,11,0,5.358
212,2,0,1,2016,4,13,11,0,5.493
213,2,0,1,2016,4,13,11,5,27.634
214,2,0,1,2016,4,13,11,8,25.764
215,1,0,1,2016,4,13,11,19,13.676
216,2,0,1,2016,4,13,11,19,14.189
217,1,0,1,2016,4,13,11,19,47.768
218,1,0,1,2016,4,13,11,19,50.897
219,2,0,1,2016,4,13,11,19,52.004
220,1,0,1,2016,4,13,11,19,52.264
221,2,0,1,2016,4,13,11,20,20.338
222,1,0,1,2016,4,13,11,54,52.088
223,1,0,1,2016,4,13,11,54,52.296
224,2,0,1,2016,4,13,14,21,32.504
225,1,0,1,2016,4,13,14,37,52.147
226,1,0,1,2016,4,13,14,37,53.259
227,2,0,1,2016,4,13,14,48,7.083
228,2,0,1,2016,4,13,14,48,8.899
229,2,0,1,2016,4,13,14,48,10.39
230,2,0,1,2016,4,13,14,48,12.494
231,2,0,1,2016,4,13,14,48,13.72
232,2,0,1,2016,4,13,14,48,14.842
233,2,0,1,2016,4,13,14,48,17.976
234,2,0,1,2016,4,13,14,48,21.709
235,1,0,1,2016,4,13,14,51,8.752
236,1,0,1,2016,4,13,14,51,16.564
237,1,0,1,2016,4,13,14,51,16.658
238,1,0,1,2016,4,13,14,51,16.816
239,1,0,1,2016,4,13,14,51,16.936
240,1,0,1,2016,4,13,14,51,16.974
241,1,0,1,2016,4,13,14,51,18.538
242,1,0,1,2016,4,13,14,55,35.909
243,1,0,1,2016,4,13,14,55,36.85
244,1,0,1,2016,4,13,14,55,39.778
245,1,0,1,2016,4,13,14,55,42.834
246,1,0,1,2016,4,13,14,55,44.367
247,1,0,1,2016,4,13,14,55,46.848
248,2,0,1,2016,4,13,14,57,34.343
249,2,0,1,2016,4,13,14,57,35.662
250,2,0,1,2016,4,13,14,57,40.285
251,2,0,1,2016,4,13,14,58,17.623
252,2,0,1,2016,4,13,14,58,19.818
253,1,0,1,2016,4,13,14,59,29.874
254,1,0,1,2016,4,13,14,59,31.618
255,1,0,1,2016,4,13,14,59,33.469
256,1,0,1,2016,4,13,14,59,39.226
257,2,0,1,2016,4,13,14,59,54.56
258,2,0,1,2016,4,13,14,59,57.654
259,2,0,1,2016,4,13,14,59,58.607
260,2,0,1,2016,4,13,14,59,58.685
261,2,0,1,2016,4,13,15,0,14.686
262,2,0,1,2016,4,13,15,0,17.85
263,2,0,1,2016,4,13,15,11,54.495
264,1,0,1,2016,4,13,15,17,24.584
265,1,0,1,2016,4,13,15,17,25.474
266,1,0,1,2016,4,13,15,17,26.764
267,1,0,1,2016,4,13,15,17,31.564
268,1,0,1,2016,4,13,15,17,33.502
269,1,0,1,2016,4,13,15,17,34.728
270,1,0,1,2016,4,13,15,17,57.87
271,1,0,1,2016,4,13,15,17,59.412
272,1,0,1,2016,4,13,15,17,59.57
273,1,0,1,2016,4,13,15,18,1.579
274,1,0,1,2016,4,13,15,18,2.853
275,1,0,1,2016,4,13,15,18,5.586
276,1,0,1,2016,4,13,15,18,21.689
277,1,0,1,2016,4,13,15,18,23.897
278,1,0,1,2016,4,13,15,18,26.249
279,1,0,1,2016,4,13,15,18,35.776
280,1,0,1,2016,4,13,15,18,37.765
281,1,0,1,2016,4,13,15,18,38.077
282,1,0,1,2016,4,13,15,18,40.505
283,1,0,1,2016,4,13,15,18,42.758
284,1,0,1,2016,4,13,15,25,15.267
285,1,0,1,2016,4,13,15,25,17.518
286,1,0,1,2016,4,13,15,25,18.68
287,1,0,1,2016,4,13,15,28,27.071
288,1,0,1,2016,4,13,15,28,31.115
289,1,0,1,2016,4,13,15,29,12.32
290,1,0,1,2016,4,13,15,29,14.479
291,1,0,1,2016,4,13,15,29,14.695
292,1,0,1,2016,4,13,15,29,15.733
293,1,0,1,2016,4,13,15,29,17.29
294,1,0,1,2016,4,13,15,34,44.809
295,1,0,1,2016,4,13,15,34,45.792
296,1,0,1,2016,4,13,15,48,13.601
297,1,0,1,2016,4,13,15,48,21.552
298,1,0,1,2016,4,13,15,48,24.187
299,1,0,1,2016,4,13,15,50,42.779
300,1,0,1,2016,4,13,15,50,46.404
301,1,0,1,2016,4,13,15,50,52.171
302,2,0,1,2016,4,13,15,51,22.394
303,2,0,1,2016,4,13,15,51,26.675
304,2,0,1,2016,4,13,15,51,31.075
305,2,0,1,2016,4,13,15,51,42.155
306,2,0,1,2016,4,13,15,51,42.41
307,2,0,1,2016,4,13,15,51,44.467
308,1,0,1,2016,4,13,16,7,10.858
309,1,0,1,2016,4,13,16,7,13.763
310,1,0,1,2016,4,13,16,7,19.608
311,1,0,1,2016,4,13,16,7,22.31
312,1,0,1,2016,4,13,16,7,23.365
313,1,0,1,2016,4,13,16,8,4.661
314,1,0,1,2016,4,13,16,8,6.155
315,1,0,1,2016,4,13,16,8,10.75
316,1,0,1,2016,4,13,16,8,11.728
317,1,0,1,2016,4,13,16,8,13.605
318,1,0,1,2016,4,13,16,8,17.249
319,1,0,1,2016,4,13,16,8,23.062
320,2,0,1,2016,4,13,16,9,27.269
321,1,0,1,2016,4,13,16,37,50.602
322,1,0,1,2016,4,13,16,37,51.618
323,1,0,1,2016,4,13,16,37,53.253
324,1,0,1,2016,4,13,16,37,57.65
325,2,0,1,2016,4,13,16,56,39.841
326,2,0,1,2016,4,13,16,57,13.313
327,2,0,1,2016,4,13,17,0,36.795
328,2,0,1,2016,4,13,17,0,54.984
329,2,0,1,2016,4,13,17,2,4.086
330,2,0,1,2016,4,13,17,2,5.094
331,2,0,1,2016,4,13,17,2,24.567
332,2,0,1,2016,4,13,17,4,3.748
333,2,0,1,2016,4,13,17,4,4.615
334,2,0,1,2016,4,13,17,4,5.846
335,2,0,1,2016,4,13,17,5,3.049
336,2,0,1,2016,4,13,17,5,4.183
337,2,0,1,2016,4,13,17,5,35.452
338,2,0,1,2016,4,13,17,5,48.149
339,2,0,1,2016,4,13,17,5,51.405
340,2,0,1,2016,4,13,17,5,59.339
341,2,0,1,2016,4,13,17,6,13.054
342,2,0,1,2016,4,13,17,6,16.402
343,2,0,1,2016,4,13,17,6,23.553
344,2,0,1,2016,4,13,17,6,23.671
345,2,0,1,2016,4,13,17,6,46.298
346,1,0,1,2016,4,13,17,8,52.617
347,1,0,1,2016,4,13,17,8,54.85
348,1,0,1,2016,4,13,17,8,56.15
349,1,0,1,2016,4,13,17,11,33.044
350,2,0,1,2016,4,13,17,12,8.392
351,2,0,1,2016,4,13,17,12,8.486
352,1,0,1,2016,4,13,17,13,44.951
353,2,0,1,2016,4,13,17,15,7.358
354,1,0,1,2016,4,13,17,17,9.746
355,2,0,1,2016,4,13,17,17,55.935
356,2,0,1,2016,4,13,17,17,56.016
357,1,0,1,2016,4,13,17,17,58.843
358,1,0,1,2016,4,13,17,22,24.054
359,1,0,1,2016,4,13,17,22,25.575
360,2,0,1,2016,4,13,17,59,1.591
361,2,0,1,2016,4,13,17,59,13.027
362,2,0,1,2016,4,13,18,26,57.045
