Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,19,10,5,7.745
1,1,1,1,2016,3,19,10,50,8.097
2,1,1,1,2016,3,19,12,30,1.378
3,1,0,1,2016,3,19,12,30,1.598
4,1,1,1,2016,3,19,12,33,42.931
5,1,2,1,2016,3,19,12,38,5.152
6,1,1,1,2016,3,19,12,58,7.438
7,1,1,1,2016,3,19,13,25,29.385
8,1,1,1,2016,3,19,13,32,28.66
9,1,1,1,2016,3,19,13,42,26.11
10,1,1,1,2016,3,19,13,45,14.954
11,1,1,1,2016,3,19,13,54,54.994
12,1,0,1,2016,3,19,13,54,55.505
13,1,1,1,2016,3,19,14,42,44.879
14,1,2,1,2016,3,19,15,2,35.023
15,1,0,1,2016,3,19,15,2,35.616
16,1,2,1,2016,3,19,15,27,49.624
17,1,1,1,2016,3,19,15,34,32.952
18,1,2,1,2016,3,19,15,39,23.58
19,1,2,1,2016,3,19,15,41,33.164
20,1,0,1,2016,3,19,15,41,34.001
21,1,1,1,2016,3,19,15,45,0.47
22,1,2,1,2016,3,19,15,46,23.877
23,1,1,1,2016,3,19,15,47,17.137
24,1,1,1,2016,3,19,15,52,36.176
25,1,1,1,2016,3,19,15,56,21.445
26,2,2,1,2016,3,19,16,0,42.165
27,1,1,1,2016,3,19,16,0,42.45
28,1,1,1,2016,3,19,17,39,16.283
