Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,8,10,5,14.469
1,2,2,1,2016,5,8,10,5,23.61
2,2,2,1,2016,5,8,10,5,27.932
3,2,0,1,2016,5,8,10,5,30.178
4,2,2,1,2016,5,8,10,5,37.231
5,2,2,1,2016,5,8,10,5,40.905
6,2,1,1,2016,5,8,10,5,44.2
7,2,2,1,2016,5,8,10,5,54.972
8,2,2,1,2016,5,8,10,6,2.707
9,2,1,1,2016,5,8,10,6,12.056
10,2,0,1,2016,5,8,10,6,13.449
11,2,2,1,2016,5,8,10,6,20.387
12,2,0,1,2016,5,8,10,6,22.485
13,2,2,1,2016,5,8,10,6,28.026
14,2,0,1,2016,5,8,10,6,30.066
15,2,0,1,2016,5,8,10,6,30.691
16,2,2,1,2016,5,8,10,6,34.599
17,2,0,1,2016,5,8,10,6,36.552
18,2,0,1,2016,5,8,10,6,37.327
19,2,1,1,2016,5,8,10,6,44.088
20,2,2,1,2016,5,8,10,6,55.766
21,2,0,1,2016,5,8,10,6,56
22,2,1,1,2016,5,8,10,7,0.576
23,2,0,1,2016,5,8,10,7,2.966
24,2,2,1,2016,5,8,10,7,6.816
25,2,0,1,2016,5,8,10,7,7.365
26,2,1,1,2016,5,8,10,7,13.355
27,2,2,1,2016,5,8,10,7,26.468
28,2,2,1,2016,5,8,10,7,35.155
29,2,2,1,2016,5,8,10,7,39.862
30,2,0,1,2016,5,8,10,7,41.564
31,2,0,1,2016,5,8,10,7,41.776
32,2,2,1,2016,5,8,10,7,48.266
33,2,0,1,2016,5,8,10,7,50.43
34,2,2,1,2016,5,8,10,7,52.145
35,2,0,1,2016,5,8,10,7,54.304
36,2,1,1,2016,5,8,10,7,55.156
37,2,2,1,2016,5,8,10,8,7.805
38,2,0,1,2016,5,8,10,8,9.844
39,2,0,1,2016,5,8,10,8,10.474
40,2,2,1,2016,5,8,10,8,18.761
41,2,1,1,2016,5,8,10,8,22.255
42,2,0,1,2016,5,8,10,8,22.603
43,2,0,1,2016,5,8,10,8,23.343
44,2,1,1,2016,5,8,10,8,32.149
45,2,1,1,2016,5,8,10,9,3.828
46,2,1,1,2016,5,8,10,9,17.383
47,2,0,1,2016,5,8,10,9,17.541
48,2,2,1,2016,5,8,10,9,28.856
49,2,0,1,2016,5,8,10,9,29.899
50,2,2,1,2016,5,8,10,9,31.947
51,2,0,1,2016,5,8,10,9,33.414
52,2,0,1,2016,5,8,10,9,34.131
53,2,1,1,2016,5,8,10,9,39.926
54,2,2,1,2016,5,8,10,10,1.302
55,2,1,1,2016,5,8,10,10,5.454
56,2,2,1,2016,5,8,10,10,21.722
57,2,0,1,2016,5,8,10,10,23.003
58,2,0,1,2016,5,8,10,10,24.319
59,2,2,1,2016,5,8,10,10,24.974
60,2,0,1,2016,5,8,10,10,26.016
61,2,0,1,2016,5,8,10,10,27.304
62,2,2,1,2016,5,8,10,10,27.985
63,2,1,1,2016,5,8,10,10,31.395
64,2,2,1,2016,5,8,10,10,46.607
65,2,0,1,2016,5,8,10,10,47.841
66,2,0,1,2016,5,8,10,10,49.596
67,2,1,1,2016,5,8,10,11,24.662
68,2,0,1,2016,5,8,10,11,24.986
69,2,1,1,2016,5,8,10,11,28.706
70,2,2,1,2016,5,8,10,11,32.082
71,2,2,1,2016,5,8,10,11,55.815
72,2,0,1,2016,5,8,10,11,56.145
73,2,0,1,2016,5,8,10,11,58.286
74,2,1,1,2016,5,8,10,11,58.961
75,2,2,1,2016,5,8,10,12,6.563
76,2,1,1,2016,5,8,10,12,10.323
77,2,0,1,2016,5,8,10,12,11.135
78,2,2,1,2016,5,8,10,12,17.245
79,2,0,1,2016,5,8,10,12,19.258
80,2,0,1,2016,5,8,10,12,19.863
81,2,1,1,2016,5,8,10,12,29.023
82,2,0,1,2016,5,8,10,12,30.443
83,2,1,1,2016,5,8,10,12,34.156
84,2,2,1,2016,5,8,10,12,38.752
85,2,0,1,2016,5,8,10,12,40.723
86,2,0,1,2016,5,8,10,12,41.317
87,2,1,1,2016,5,8,10,12,48.611
88,2,1,1,2016,5,8,10,13,38.465
89,2,0,1,2016,5,8,10,13,38.546
90,2,1,1,2016,5,8,10,13,42.155
91,2,0,1,2016,5,8,10,13,44.834
92,2,1,1,2016,5,8,10,13,49.991
93,2,0,1,2016,5,8,10,13,50.05
94,2,1,1,2016,5,8,10,13,53.5
95,2,0,1,2016,5,8,10,13,53.829
