Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,5,10,5,6.246
1,2,2,1,2016,4,5,10,13,14.821
2,2,2,1,2016,4,5,10,13,33.002
3,2,2,1,2016,4,5,10,14,40.099
4,2,0,1,2016,4,5,10,14,40.324
5,2,2,1,2016,4,5,10,14,48.024
6,2,1,1,2016,4,5,10,15,5.167
7,2,2,1,2016,4,5,10,15,18.222
8,2,2,1,2016,4,5,10,26,35.027
9,2,1,1,2016,4,5,10,31,14.509
10,2,0,1,2016,4,5,10,31,16.877
11,2,2,1,2016,4,5,10,31,18.038
12,2,2,1,2016,4,5,10,31,48.309
13,2,2,1,2016,4,5,10,31,58.813
14,2,0,1,2016,4,5,10,31,59.12
15,2,1,1,2016,4,5,10,32,8.166
16,2,0,1,2016,4,5,10,32,11.125
17,2,2,1,2016,4,5,10,32,11.949
18,2,0,1,2016,4,5,10,32,12.13
19,2,0,1,2016,4,5,10,32,12.253
20,2,1,1,2016,4,5,10,32,20.914
21,2,2,1,2016,4,5,10,32,44.553
22,2,1,1,2016,4,5,10,37,25.553
23,2,2,1,2016,4,5,10,37,39.658
24,2,0,1,2016,4,5,10,37,39.737
25,2,0,1,2016,4,5,10,37,39.959
26,2,2,1,2016,4,5,10,41,57.937
27,2,2,1,2016,4,5,10,42,4.558
28,2,2,1,2016,4,5,10,42,15.279
29,2,2,1,2016,4,5,10,42,26.772
30,2,0,1,2016,4,5,10,42,29.356
31,2,1,1,2016,4,5,10,48,4.243
32,2,2,1,2016,4,5,10,52,52.948
33,2,2,1,2016,4,5,10,54,7.32
34,2,1,1,2016,4,5,10,54,41.232
35,2,1,1,2016,4,5,10,54,54.506
36,2,1,1,2016,4,5,10,55,1.248
37,2,0,1,2016,4,5,10,55,1.535
38,2,1,1,2016,4,5,10,55,5.259
39,2,2,1,2016,4,5,10,55,14.444
40,2,2,1,2016,4,5,11,12,12.799
41,2,1,1,2016,4,5,11,14,41.721
42,2,0,1,2016,4,5,11,14,42.276
43,2,2,1,2016,4,5,11,14,46.072
44,2,1,1,2016,4,5,11,15,8.413
45,2,2,1,2016,4,5,12,0,51.828
46,2,0,1,2016,4,5,12,0,51.965
47,2,2,1,2016,4,5,12,1,0.596
48,2,2,1,2016,4,5,12,1,10.644
49,2,0,1,2016,4,5,12,1,11.825
50,2,0,1,2016,4,5,12,1,12.664
51,2,1,1,2016,4,5,12,1,16.248
52,2,2,1,2016,4,5,12,1,19.966
53,2,1,1,2016,4,5,12,1,34.055
54,2,1,1,2016,4,5,12,11,53.15
55,2,2,1,2016,4,5,12,12,0.425
56,2,2,1,2016,4,5,12,12,24.103
57,2,1,1,2016,4,5,12,13,15.48
58,2,2,1,2016,4,5,12,13,22.641
59,2,1,1,2016,4,5,12,14,44.511
60,2,0,1,2016,4,5,12,14,44.833
61,2,2,1,2016,4,5,12,14,49.262
62,2,1,1,2016,4,5,12,17,37.164
63,2,0,1,2016,4,5,12,17,37.506
64,2,1,1,2016,4,5,12,17,40.465
65,2,2,1,2016,4,5,12,17,44.218
66,2,1,1,2016,4,5,13,4,51.456
67,2,1,1,2016,4,5,13,10,27.169
68,2,1,1,2016,4,5,13,10,45.274
69,2,1,1,2016,4,5,13,16,6.12
70,2,1,1,2016,4,5,13,38,35.192
71,2,0,1,2016,4,5,13,38,37.776
72,2,1,1,2016,4,5,13,38,42.351
73,2,0,1,2016,4,5,13,38,43.106
74,2,1,1,2016,4,5,13,39,3.193
75,2,0,1,2016,4,5,13,39,3.519
76,1,1,1,2016,4,5,13,39,8.064
77,1,1,1,2016,4,5,13,40,23.545
78,1,1,1,2016,4,5,13,40,50.433
79,1,1,1,2016,4,5,13,40,53.869
80,2,0,1,2016,4,5,14,5,59.534
81,2,0,1,2016,4,5,14,6,3.677
82,2,0,1,2016,4,5,14,6,5.403
83,2,0,1,2016,4,5,14,6,17.208
84,2,0,1,2016,4,5,14,6,17.504
85,2,0,1,2016,4,5,15,35,31.751
86,2,0,1,2016,4,5,15,45,34.038
87,2,0,1,2016,4,5,15,45,35.557
88,2,0,1,2016,4,5,15,45,35.718
89,2,0,1,2016,4,5,15,45,35.874
