Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,11,10,5,6.3
1,1,1,1,2016,4,11,10,21,17.438
2,1,1,1,2016,4,11,10,21,52.799
3,1,1,1,2016,4,11,10,23,4.34
4,1,2,1,2016,4,11,10,23,57.59
5,1,1,1,2016,4,11,10,24,4.158
6,1,1,1,2016,4,11,10,24,23.417
7,1,1,1,2016,4,11,10,24,33.329
8,1,1,1,2016,4,11,10,24,55.883
9,1,1,1,2016,4,11,10,25,13.804
10,1,1,1,2016,4,11,10,25,42.429
11,1,1,1,2016,4,11,10,25,46.375
12,1,2,1,2016,4,11,10,25,51.93
13,1,0,1,2016,4,11,10,25,52.941
14,1,0,1,2016,4,11,10,25,53.956
15,1,2,1,2016,4,11,10,25,56.524
16,1,0,1,2016,4,11,10,25,56.588
17,1,0,1,2016,4,11,10,25,57.668
18,1,0,1,2016,4,11,10,25,58.64
19,1,0,1,2016,4,11,10,25,58.687
20,1,1,1,2016,4,11,10,26,3.677
21,1,0,1,2016,4,11,10,26,3.787
22,1,0,1,2016,4,11,10,26,3.814
23,1,2,1,2016,4,11,10,26,12.336
24,1,0,1,2016,4,11,10,26,12.411
25,1,0,1,2016,4,11,10,26,13.389
26,1,0,1,2016,4,11,10,26,13.514
27,1,2,1,2016,4,11,10,26,30.595
28,1,1,1,2016,4,11,10,26,40.208
29,1,2,1,2016,4,11,10,26,43.783
30,1,0,1,2016,4,11,10,26,44.713
31,1,1,1,2016,4,11,10,26,48.124
32,1,0,1,2016,4,11,10,26,48.176
33,1,1,1,2016,4,11,10,26,53.717
34,1,0,1,2016,4,11,10,26,53.921
35,1,1,1,2016,4,11,10,26,58.269
36,1,1,1,2016,4,11,10,27,10.279
37,1,0,1,2016,4,11,10,27,12.119
38,1,1,1,2016,4,11,10,27,16.904
39,1,1,1,2016,4,11,10,27,24.679
40,1,2,1,2016,4,11,10,27,31.558
41,1,1,1,2016,4,11,10,27,38.546
42,1,2,1,2016,4,11,10,30,36.585
43,1,2,1,2016,4,11,10,36,19.187
44,1,0,1,2016,4,11,10,36,21.783
45,1,1,1,2016,4,11,10,36,31.29
46,1,2,1,2016,4,11,10,36,44.704
47,1,0,1,2016,4,11,10,36,45.861
48,1,0,1,2016,4,11,10,36,45.893
49,1,0,1,2016,4,11,10,36,45.934
50,1,1,1,2016,4,11,10,36,48.013
51,1,2,1,2016,4,11,10,37,0.723
52,1,0,1,2016,4,11,10,37,0.796
53,1,2,1,2016,4,11,10,37,6.901
54,1,2,1,2016,4,11,10,37,16.143
55,1,0,1,2016,4,11,10,37,16.249
56,1,0,1,2016,4,11,10,37,16.29
57,1,0,1,2016,4,11,10,37,16.325
58,1,1,1,2016,4,11,10,37,20.613
59,1,0,1,2016,4,11,10,37,20.999
60,1,2,1,2016,4,11,10,37,30.048
61,1,1,1,2016,4,11,10,37,46.634
62,1,1,1,2016,4,11,10,37,54.013
63,1,2,1,2016,4,11,10,38,10.166
64,1,2,1,2016,4,11,10,38,13.824
65,1,0,1,2016,4,11,10,38,14.103
66,1,2,1,2016,4,11,10,38,23.152
67,1,1,1,2016,4,11,10,39,11.453
68,1,1,1,2016,4,11,10,39,18.048
69,1,0,1,2016,4,11,10,39,19.075
70,1,2,1,2016,4,11,10,39,21.994
71,1,0,1,2016,4,11,10,39,23.763
72,1,2,1,2016,4,11,10,39,25.766
73,1,0,1,2016,4,11,10,39,26.426
74,1,0,1,2016,4,11,10,39,26.492
75,1,2,1,2016,4,11,10,39,33.141
76,1,1,1,2016,4,11,10,39,55.029
77,1,2,1,2016,4,11,10,39,59.941
78,1,1,1,2016,4,11,10,40,6.395
79,1,1,1,2016,4,11,10,40,17.588
80,1,0,1,2016,4,11,10,40,18.019
81,1,0,1,2016,4,11,10,40,18.092
82,2,2,1,2016,4,11,10,40,42.007
83,2,2,1,2016,4,11,10,40,54.648
84,2,0,1,2016,4,11,10,40,54.971
85,2,2,1,2016,4,11,10,44,44.011
86,2,0,1,2016,4,11,10,44,44.126
87,2,2,1,2016,4,11,10,44,55.626
88,2,0,1,2016,4,11,10,44,58.517
89,2,2,1,2016,4,11,10,44,58.712
90,2,0,1,2016,4,11,10,44,58.861
91,2,2,1,2016,4,11,10,45,9.324
92,2,2,1,2016,4,11,10,45,17.165
93,2,0,1,2016,4,11,10,45,17.36
94,2,2,1,2016,4,11,10,45,29.127
95,2,1,1,2016,4,11,10,45,45.573
96,2,2,1,2016,4,11,10,46,4
97,2,0,1,2016,4,11,10,46,4.102
98,2,0,1,2016,4,11,10,46,8.056
99,2,0,1,2016,4,11,10,46,9.435
100,2,0,1,2016,4,11,10,46,9.522
101,2,0,1,2016,4,11,10,46,9.725
102,2,0,1,2016,4,11,10,46,21.127
103,2,0,1,2016,4,11,10,46,23.355
104,2,0,1,2016,4,11,10,58,50.257
105,2,0,1,2016,4,11,10,58,50.633
106,2,0,1,2016,4,11,10,58,50.862
107,2,0,1,2016,4,11,10,58,56.45
108,2,0,1,2016,4,11,10,58,58.642
109,2,0,1,2016,4,11,10,59,21.427
110,1,0,1,2016,4,11,11,3,36.15
111,1,0,1,2016,4,11,11,11,33.672
112,1,0,1,2016,4,11,11,11,45.676
113,1,0,1,2016,4,11,11,11,49.955
114,1,0,1,2016,4,11,11,11,52.766
115,1,0,1,2016,4,11,11,24,16.313
116,1,0,1,2016,4,11,11,24,31.705
117,2,0,1,2016,4,11,11,26,50.805
118,2,0,1,2016,4,11,11,26,54.301
119,2,0,1,2016,4,11,11,26,56.156
120,1,0,1,2016,4,11,11,32,53.181
121,1,0,1,2016,4,11,11,32,53.216
122,1,0,1,2016,4,11,11,37,20.617
123,1,0,1,2016,4,11,11,37,27.944
124,1,0,1,2016,4,11,11,37,28.792
125,1,0,1,2016,4,11,11,37,28.829
126,1,0,1,2016,4,11,11,37,43.873
127,1,0,1,2016,4,11,11,39,37.808
128,1,0,1,2016,4,11,11,59,55.865
