Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,29,10,5,6.327
1,2,2,1,2016,3,29,10,8,58.497
2,2,2,1,2016,3,29,10,11,53.241
3,2,0,1,2016,3,29,10,11,53.655
4,2,2,1,2016,3,29,10,57,51.763
5,1,1,1,2016,3,29,11,19,11.275
6,2,2,1,2016,3,29,11,32,19.255
7,2,0,1,2016,3,29,11,32,19.414
8,2,2,1,2016,3,29,11,33,21.265
9,2,2,1,2016,3,29,11,35,6.192
10,2,2,1,2016,3,29,11,35,38.379
11,2,1,1,2016,3,29,11,38,26.992
12,2,2,1,2016,3,29,11,38,32.096
13,2,2,1,2016,3,29,11,38,45.801
14,2,1,1,2016,3,29,11,39,43.185
15,2,2,1,2016,3,29,11,39,50.27
16,2,2,1,2016,3,29,11,40,10.403
17,2,2,1,2016,3,29,11,40,18.021
18,2,1,1,2016,3,29,11,41,22.014
19,2,2,1,2016,3,29,11,45,37.409
20,2,1,1,2016,3,29,11,47,47.357
21,2,2,1,2016,3,29,11,47,56.097
22,2,0,1,2016,3,29,11,47,56.317
23,2,1,1,2016,3,29,11,58,29.304
24,2,0,1,2016,3,29,11,58,29.525
25,2,2,1,2016,3,29,11,58,35.074
26,2,2,1,2016,3,29,12,1,25.413
27,2,2,1,2016,3,29,12,1,55.662
28,2,2,1,2016,3,29,12,2,5.793
29,2,0,1,2016,3,29,12,2,5.919
30,2,0,1,2016,3,29,12,2,6.147
31,2,2,1,2016,3,29,12,2,12.026
32,2,1,1,2016,3,29,12,2,18.481
33,2,0,1,2016,3,29,12,2,18.641
34,2,0,1,2016,3,29,12,2,18.924
35,2,2,1,2016,3,29,12,2,30.918
36,2,2,1,2016,3,29,12,2,35.401
37,2,1,1,2016,3,29,12,2,57.735
38,2,1,1,2016,3,29,12,5,37.102
39,2,0,1,2016,3,29,12,5,37.506
40,2,1,1,2016,3,29,12,10,0.363
41,2,1,1,2016,3,29,12,10,5.438
42,2,2,1,2016,3,29,12,10,10.057
43,2,2,1,2016,3,29,12,10,16.168
44,2,0,1,2016,3,29,12,10,16.555
45,2,1,1,2016,3,29,12,10,32.71
46,2,0,1,2016,3,29,12,10,32.794
47,2,0,1,2016,3,29,12,10,32.999
48,2,2,1,2016,3,29,12,14,9.102
49,2,1,1,2016,3,29,12,14,17.494
50,2,2,1,2016,3,29,12,37,17.556
51,2,0,1,2016,3,29,12,37,17.643
52,2,2,1,2016,3,29,12,37,40.05
53,2,2,1,2016,3,29,12,38,3.957
54,2,1,1,2016,3,29,12,38,10.716
55,2,0,1,2016,3,29,12,38,11.407
56,2,0,1,2016,3,29,12,38,11.563
57,2,2,1,2016,3,29,12,38,38.755
58,2,1,1,2016,3,29,12,38,43.691
59,2,0,1,2016,3,29,12,38,43.902
60,2,1,1,2016,3,29,12,38,49.63
61,2,2,1,2016,3,29,12,39,6.393
62,2,2,1,2016,3,29,12,39,12.024
63,2,1,1,2016,3,29,12,39,22.216
64,2,1,1,2016,3,29,12,39,27.293
65,2,1,1,2016,3,29,12,39,33.946
66,2,1,1,2016,3,29,12,39,47.807
67,2,1,1,2016,3,29,12,39,55.993
68,2,0,1,2016,3,29,12,39,56.432
69,2,1,1,2016,3,29,12,40,6.385
70,2,1,1,2016,3,29,12,40,22.111
71,2,1,1,2016,3,29,12,40,39.279
72,2,0,1,2016,3,29,12,40,39.731
73,1,1,1,2016,3,29,12,45,21.487
74,1,0,1,2016,3,29,12,45,21.874
75,1,1,1,2016,3,29,12,45,24.577
76,2,1,1,2016,3,29,12,48,35.961
77,2,1,1,2016,3,29,12,51,16.53
78,2,1,1,2016,3,29,12,51,55.705
79,2,1,1,2016,3,29,12,52,0.061
80,2,0,1,2016,3,29,12,52,28.155
