Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,11,10,5,13.843
1,2,2,1,2016,5,11,10,10,6.833
2,2,2,1,2016,5,11,10,10,48.983
3,2,0,1,2016,5,11,10,10,50.258
4,2,0,1,2016,5,11,10,10,50.316
5,2,2,1,2016,5,11,10,14,33.973
6,2,2,1,2016,5,11,10,14,39.772
7,2,1,1,2016,5,11,10,14,45.023
8,2,2,1,2016,5,11,10,14,59.089
9,2,0,1,2016,5,11,10,15,0.086
10,2,0,1,2016,5,11,10,15,1.952
11,2,2,1,2016,5,11,10,15,4.055
12,2,1,1,2016,5,11,10,15,15.793
13,2,2,1,2016,5,11,10,15,33.242
14,2,0,1,2016,5,11,10,15,33.928
15,2,0,1,2016,5,11,10,15,35.365
16,2,2,1,2016,5,11,10,15,36.281
17,2,2,1,2016,5,11,10,15,39.393
18,2,0,1,2016,5,11,10,15,39.452
19,2,1,1,2016,5,11,10,15,49.634
20,2,2,1,2016,5,11,10,15,53.219
21,2,0,1,2016,5,11,10,15,54.34
22,2,1,1,2016,5,11,10,15,56.78
23,2,0,1,2016,5,11,10,15,58.155
24,2,2,1,2016,5,11,10,16,7.783
25,2,0,1,2016,5,11,10,16,7.911
26,2,0,1,2016,5,11,10,16,9.729
27,2,1,1,2016,5,11,10,16,13.461
28,2,2,1,2016,5,11,10,16,25.168
29,2,0,1,2016,5,11,10,16,25.407
30,2,0,1,2016,5,11,10,16,25.428
31,2,2,1,2016,5,11,10,16,39.593
32,2,2,1,2016,5,11,10,16,47.802
33,2,0,1,2016,5,11,10,16,47.975
34,2,0,1,2016,5,11,10,16,49.834
35,2,2,1,2016,5,11,10,16,53.687
36,2,2,1,2016,5,11,10,16,59.039
37,2,0,1,2016,5,11,10,17,1.687
38,2,1,1,2016,5,11,10,17,8.246
39,2,2,1,2016,5,11,10,17,11.614
40,2,0,1,2016,5,11,10,17,13.094
41,2,2,1,2016,5,11,10,17,15.934
42,2,0,1,2016,5,11,10,17,17.495
43,2,1,1,2016,5,11,10,17,21.917
44,2,1,1,2016,5,11,10,19,51.127
45,2,0,1,2016,5,11,10,19,52.324
46,2,1,1,2016,5,11,10,19,55.558
47,2,1,1,2016,5,11,10,20,9.363
48,2,2,1,2016,5,11,10,20,23.431
49,2,0,1,2016,5,11,10,20,23.754
50,2,2,1,2016,5,11,10,20,28.202
51,2,0,1,2016,5,11,10,20,29.231
52,2,1,1,2016,5,11,10,20,34.183
53,2,2,1,2016,5,11,10,20,42.699
54,2,1,1,2016,5,11,10,20,46.059
55,2,2,1,2016,5,11,10,20,54.188
56,2,0,1,2016,5,11,10,20,54.309
57,1,1,1,2016,5,11,10,21,13.843
58,1,1,1,2016,5,11,10,21,26.737
59,1,1,1,2016,5,11,10,21,35.962
60,1,1,1,2016,5,11,10,21,47.11
61,1,1,1,2016,5,11,10,21,57.21
62,1,1,1,2016,5,11,10,22,5.592
63,1,1,1,2016,5,11,10,22,13.135
64,1,1,1,2016,5,11,10,22,22.939
65,1,1,1,2016,5,11,10,22,31.574
66,1,0,1,2016,5,11,10,22,32.492
67,1,1,1,2016,5,11,10,22,40.648
68,1,0,1,2016,5,11,10,22,40.942
69,1,1,1,2016,5,11,10,22,47.71
70,1,0,1,2016,5,11,10,22,48.604
71,1,0,1,2016,5,11,10,22,48.67
72,1,2,1,2016,5,11,10,22,55.11
73,1,0,1,2016,5,11,10,22,56.284
74,1,1,1,2016,5,11,10,22,59.038
75,1,1,1,2016,5,11,10,23,12.276
76,1,2,1,2016,5,11,10,23,28.7
77,1,0,1,2016,5,11,10,23,29.748
78,1,0,1,2016,5,11,10,23,31.077
79,1,2,1,2016,5,11,10,23,33.574
80,1,2,1,2016,5,11,10,23,36.671
81,1,1,1,2016,5,11,10,23,53.507
82,1,0,1,2016,5,11,10,23,54.716
83,1,0,1,2016,5,11,10,23,54.832
84,1,0,1,2016,5,11,10,23,55.761
85,2,2,1,2016,5,11,10,29,18.194
86,2,0,1,2016,5,11,10,29,18.41
87,2,1,1,2016,5,11,10,29,27.502
88,2,0,1,2016,5,11,10,29,29.118
89,2,0,1,2016,5,11,10,29,29.203
90,2,1,1,2016,5,11,10,29,39.272
91,2,0,1,2016,5,11,10,29,39.378
92,2,0,1,2016,5,11,10,29,40.369
93,2,0,1,2016,5,11,10,29,40.436
94,2,2,1,2016,5,11,10,29,43.607
95,2,2,1,2016,5,11,10,29,50.732
96,2,0,1,2016,5,11,10,29,51.246
97,2,2,1,2016,5,11,10,30,27.989
98,2,0,1,2016,5,11,10,30,30.951
