Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,10,9,12,33.324
1,1,1,1,2016,4,10,9,19,34.197
2,1,0,1,2016,4,10,9,19,34.971
3,1,1,1,2016,4,10,9,19,39.934
4,1,0,1,2016,4,10,9,19,41.655
5,2,2,1,2016,4,10,9,22,2.881
6,1,1,1,2016,4,10,9,25,29.43
7,1,0,1,2016,4,10,9,25,30.208
8,1,1,1,2016,4,10,9,25,38.11
9,1,0,1,2016,4,10,9,25,38.861
10,1,0,1,2016,4,10,9,25,39.581
11,1,0,1,2016,4,10,9,25,40.512
12,1,1,1,2016,4,10,9,25,42.061
13,1,0,1,2016,4,10,9,25,42.76
14,1,0,1,2016,4,10,9,25,43.653
15,1,2,1,2016,4,10,9,25,45.378
16,1,0,1,2016,4,10,9,25,46.272
17,1,0,1,2016,4,10,9,25,48.104
18,1,1,1,2016,4,10,9,25,48.801
19,1,1,1,2016,4,10,9,26,15.115
20,1,1,1,2016,4,10,9,27,53.328
21,1,0,1,2016,4,10,9,27,53.891
22,1,0,1,2016,4,10,9,27,55.069
23,1,1,1,2016,4,10,9,28,5.795
24,1,0,1,2016,4,10,9,28,6.525
25,1,1,1,2016,4,10,9,28,10.553
26,1,0,1,2016,4,10,9,28,11.26
27,1,0,1,2016,4,10,9,28,12.28
28,1,1,1,2016,4,10,9,28,13.695
29,1,1,1,2016,4,10,9,29,34.368
30,1,2,1,2016,4,10,9,37,27.363
31,1,0,1,2016,4,10,9,37,28.12
32,1,0,1,2016,4,10,9,37,28.974
33,1,2,1,2016,4,10,9,37,30.688
34,1,0,1,2016,4,10,9,37,31.432
35,1,0,1,2016,4,10,9,37,32.277
36,1,0,1,2016,4,10,9,37,33.427
37,1,1,1,2016,4,10,9,37,36.798
38,1,2,1,2016,4,10,9,38,42.634
39,1,0,1,2016,4,10,9,38,43.454
40,1,0,1,2016,4,10,9,38,44.133
41,1,0,1,2016,4,10,9,38,44.767
42,1,2,1,2016,4,10,9,38,46.708
43,1,0,1,2016,4,10,9,38,47.808
44,1,0,1,2016,4,10,9,38,48.971
45,1,1,1,2016,4,10,9,38,49.725
46,1,2,1,2016,4,10,9,38,55.482
47,1,0,1,2016,4,10,9,38,56.359
48,1,0,1,2016,4,10,9,38,57.015
49,1,1,1,2016,4,10,9,38,58.601
50,1,0,1,2016,4,10,9,38,58.834
51,1,0,1,2016,4,10,9,38,59.401
52,1,0,1,2016,4,10,9,39,0.198
53,1,1,1,2016,4,10,9,39,10.085
54,1,0,1,2016,4,10,9,39,10.612
55,1,0,1,2016,4,10,9,39,11.091
56,1,0,1,2016,4,10,9,39,11.865
57,1,0,1,2016,4,10,9,39,12.677
58,1,1,1,2016,4,10,9,39,23.422
59,1,0,1,2016,4,10,9,39,26.061
60,1,1,1,2016,4,10,9,39,26.913
61,1,0,1,2016,4,10,9,39,27.702
62,1,0,1,2016,4,10,9,39,28.673
63,1,1,1,2016,4,10,9,41,8.103
64,2,2,1,2016,4,10,9,49,16.56
65,1,1,1,2016,4,10,9,53,26.191
66,1,0,1,2016,4,10,9,53,27.501
67,1,1,1,2016,4,10,9,59,41.491
68,1,2,1,2016,4,10,9,59,44.647
69,1,0,1,2016,4,10,9,59,45.328
70,1,0,1,2016,4,10,9,59,45.813
71,1,0,1,2016,4,10,9,59,47.225
72,1,2,1,2016,4,10,9,59,47.946
73,1,0,1,2016,4,10,9,59,48.934
74,1,0,1,2016,4,10,9,59,50.689
75,1,1,1,2016,4,10,9,59,51.723
76,1,2,1,2016,4,10,10,0,5.22
77,1,0,1,2016,4,10,10,0,5.936
78,1,0,1,2016,4,10,10,0,6.812
79,1,0,1,2016,4,10,10,0,7.866
80,1,1,1,2016,4,10,10,0,8.834
81,1,0,1,2016,4,10,10,0,9.714
82,1,1,1,2016,4,10,10,0,14.895
83,1,0,1,2016,4,10,10,0,15.843
84,1,0,1,2016,4,10,10,0,16.495
85,1,1,1,2016,4,10,10,0,17.867
86,2,2,1,2016,4,10,10,1,13.77
87,2,0,1,2016,4,10,10,1,16.04
88,1,1,1,2016,4,10,10,3,57.384
89,1,1,1,2016,4,10,10,5,12.157
90,1,2,1,2016,4,10,10,9,42.093
91,1,0,1,2016,4,10,10,9,43.271
92,1,0,1,2016,4,10,10,9,44.049
93,1,2,1,2016,4,10,10,9,45.093
94,1,0,1,2016,4,10,10,9,47.654
95,1,1,1,2016,4,10,10,9,48.99
96,1,0,1,2016,4,10,10,9,49.8
97,1,2,1,2016,4,10,10,9,56.679
98,1,0,1,2016,4,10,10,9,58.059
99,1,0,1,2016,4,10,10,9,58.756
100,1,1,1,2016,4,10,10,10,0.259
101,1,0,1,2016,4,10,10,10,1.48
102,1,1,1,2016,4,10,10,10,9.832
103,1,0,1,2016,4,10,10,10,11.516
104,1,0,1,2016,4,10,10,10,12.678
105,1,2,1,2016,4,10,10,10,14.733
106,1,0,1,2016,4,10,10,10,15.415
107,1,2,1,2016,4,10,10,10,26.018
108,1,0,1,2016,4,10,10,10,26.578
109,1,2,1,2016,4,10,10,10,39.29
110,1,2,1,2016,4,10,10,23,36.021
111,1,0,1,2016,4,10,10,23,36.857
112,1,0,1,2016,4,10,10,23,37.589
113,1,2,1,2016,4,10,10,27,51.955
114,2,2,1,2016,4,10,10,30,58.423
115,2,0,1,2016,4,10,10,30,59.196
116,1,2,1,2016,4,10,10,31,36.3
117,1,0,1,2016,4,10,10,31,38.732
118,1,2,1,2016,4,10,10,41,44.748
119,1,0,1,2016,4,10,10,41,46.312
120,1,2,1,2016,4,10,10,44,6.581
121,1,0,1,2016,4,10,10,44,7.59
122,1,0,1,2016,4,10,10,44,8.319
123,1,0,1,2016,4,10,10,44,9.369
124,1,2,1,2016,4,10,10,44,10.285
125,1,0,1,2016,4,10,10,44,11.273
126,1,0,1,2016,4,10,10,44,12.006
127,1,0,1,2016,4,10,10,44,12.294
128,1,0,1,2016,4,10,10,44,12.724
129,1,2,1,2016,4,10,10,44,13.592
130,1,0,1,2016,4,10,10,44,14.763
131,1,0,1,2016,4,10,10,44,15.477
132,1,2,1,2016,4,10,10,44,16.972
133,1,2,1,2016,4,10,10,44,22.24
134,1,2,1,2016,4,10,10,48,36.842
135,1,0,1,2016,4,10,10,48,38.132
136,1,0,1,2016,4,10,10,48,38.751
137,1,2,1,2016,4,10,10,49,23.59
138,1,0,1,2016,4,10,10,49,24.366
139,1,0,1,2016,4,10,10,49,27.53
140,1,0,1,2016,4,10,10,49,28.114
141,1,0,1,2016,4,10,10,49,29.24
142,1,0,1,2016,4,10,10,50,22.891
143,1,0,1,2016,4,10,10,50,23.649
144,1,0,1,2016,4,10,10,50,24.33
145,1,0,1,2016,4,10,10,50,25.299
