Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,27,9,0,0.886
1,2,2,1,2016,4,27,9,11,52.323
2,2,2,1,2016,4,27,9,14,5.978
3,2,2,1,2016,4,27,9,14,55.908
4,2,2,1,2016,4,27,9,15,20.224
5,2,1,1,2016,4,27,9,15,46.663
6,2,2,1,2016,4,27,9,24,8.624
7,2,2,1,2016,4,27,9,26,9.302
8,2,1,1,2016,4,27,9,27,13.951
9,2,2,1,2016,4,27,9,27,44.064
10,2,0,1,2016,4,27,9,27,44.185
11,2,2,1,2016,4,27,9,27,58.043
12,2,2,1,2016,4,27,9,28,13.354
13,2,0,1,2016,4,27,9,28,13.642
14,2,1,1,2016,4,27,9,28,23.281
15,2,0,1,2016,4,27,9,28,23.42
16,2,2,1,2016,4,27,9,28,27.942
17,2,1,1,2016,4,27,9,28,37.506
18,2,0,1,2016,4,27,9,28,37.793
19,2,2,1,2016,4,27,9,29,4.28
20,2,0,1,2016,4,27,9,29,4.611
21,2,1,1,2016,4,27,9,29,19.82
22,2,0,1,2016,4,27,9,29,20.647
23,2,0,1,2016,4,27,9,29,21.85
24,2,2,1,2016,4,27,9,29,23.325
25,2,2,1,2016,4,27,9,29,37.218
26,2,0,1,2016,4,27,9,29,37.647
27,2,2,1,2016,4,27,9,29,43.232
28,2,2,1,2016,4,27,9,29,56.857
29,2,0,1,2016,4,27,9,29,57.031
30,2,2,1,2016,4,27,9,30,18.145
31,2,0,1,2016,4,27,9,30,18.322
32,2,0,1,2016,4,27,9,30,18.65
33,2,1,1,2016,4,27,9,31,28.529
34,2,0,1,2016,4,27,9,31,28.736
35,2,2,1,2016,4,27,9,32,27.185
36,2,2,1,2016,4,27,9,32,42.113
37,2,1,1,2016,4,27,9,33,19.044
38,2,1,1,2016,4,27,9,33,40.734
39,2,0,1,2016,4,27,9,33,42.613
40,1,1,1,2016,4,27,9,37,8.685
