Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,25,10,28,22.251
1,1,1,1,2016,3,25,10,35,25.481
2,1,1,1,2016,3,25,10,46,31.723
3,1,1,1,2016,3,25,10,59,15.86
4,1,2,1,2016,3,25,11,15,49.14
5,2,2,1,2016,3,25,11,23,56.336
6,1,1,1,2016,3,25,11,32,54.653
7,2,2,1,2016,3,25,11,35,4.642
8,1,1,1,2016,3,25,11,36,37.797
9,2,2,1,2016,3,25,11,54,39.301
10,2,2,1,2016,3,25,11,58,2.236
11,1,1,1,2016,3,25,12,11,19.984
12,2,2,1,2016,3,25,12,21,13.883
13,2,2,1,2016,3,25,12,38,23.566
14,2,2,1,2016,3,25,12,44,5.163
15,1,1,1,2016,3,25,13,5,11.243
16,1,1,1,2016,3,25,13,5,17.963
17,1,1,1,2016,3,25,13,27,24.296
18,1,2,1,2016,3,25,13,37,21.491
19,2,2,1,2016,3,25,14,16,28.497
20,2,2,1,2016,3,25,14,42,38.503
21,1,1,1,2016,3,25,14,47,39.953
22,1,1,1,2016,3,25,15,34,44.077
23,1,0,1,2016,3,25,15,34,44.372
24,1,1,1,2016,3,25,15,34,59.326
25,1,0,1,2016,3,25,15,34,59.6
26,2,2,1,2016,3,25,15,53,30.69
27,2,2,1,2016,3,25,15,53,38.346
28,1,1,1,2016,3,25,16,52,6.808
29,1,1,1,2016,3,25,17,59,25.011
30,2,2,1,2016,3,25,18,16,16.331
31,2,0,1,2016,3,25,18,16,16.424
32,2,2,1,2016,3,25,18,16,34.83
