Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,1,10,37,47.343
1,1,1,1,2016,5,1,10,50,17.797
2,1,1,1,2016,5,1,10,50,33.385
3,1,0,1,2016,5,1,10,50,33.5
4,1,1,1,2016,5,1,10,50,51.605
5,1,2,1,2016,5,1,10,51,3.63
6,2,2,1,2016,5,1,10,52,40.123
7,2,2,1,2016,5,1,10,53,49.831
8,2,2,1,2016,5,1,10,54,22.023
9,2,2,1,2016,5,1,10,54,36.122
10,2,1,1,2016,5,1,10,54,58.057
11,2,2,1,2016,5,1,10,55,4.055
12,2,2,1,2016,5,1,10,55,22.328
13,2,1,1,2016,5,1,10,55,49.561
14,2,2,1,2016,5,1,10,56,12.023
15,2,0,1,2016,5,1,10,56,12.08
16,2,2,1,2016,5,1,10,56,29.831
17,2,2,1,2016,5,1,10,56,40.588
18,2,1,1,2016,5,1,10,56,56.092
19,2,0,1,2016,5,1,10,56,57.384
20,2,2,1,2016,5,1,10,56,59.052
21,2,0,1,2016,5,1,10,56,59.128
22,2,1,1,2016,5,1,10,57,11.693
23,2,2,1,2016,5,1,10,57,20.704
24,2,1,1,2016,5,1,10,57,32.986
25,2,2,1,2016,5,1,10,57,49.463
26,2,2,1,2016,5,1,10,58,1.283
27,2,2,1,2016,5,1,10,58,20.92
28,2,2,1,2016,5,1,10,58,30.238
29,2,2,1,2016,5,1,10,58,38.618
30,2,1,1,2016,5,1,10,58,50.944
31,2,0,1,2016,5,1,10,58,51.016
32,2,2,1,2016,5,1,11,0,43.219
33,2,2,1,2016,5,1,11,1,8.561
34,2,1,1,2016,5,1,11,1,24.206
35,2,0,1,2016,5,1,11,1,24.264
36,2,1,1,2016,5,1,11,1,31.449
37,2,0,1,2016,5,1,11,1,31.493
38,1,1,1,2016,5,1,11,9,26.279
39,1,1,1,2016,5,1,11,9,53.04
40,1,1,1,2016,5,1,11,10,9.624
41,1,1,1,2016,5,1,11,10,28.552
42,1,1,1,2016,5,1,11,10,44.404
43,1,1,1,2016,5,1,11,10,52.699
44,1,1,1,2016,5,1,11,10,57.342
45,1,1,1,2016,5,1,11,25,15.586
46,1,0,1,2016,5,1,11,25,16.089
47,1,2,1,2016,5,1,11,30,28.141
48,1,1,1,2016,5,1,11,31,55.364
49,1,1,1,2016,5,1,11,32,1.398
50,1,0,1,2016,5,1,11,32,1.517
51,1,2,1,2016,5,1,11,32,4.304
52,1,0,1,2016,5,1,11,32,4.396
53,1,1,1,2016,5,1,11,33,30.679
54,1,1,1,2016,5,1,11,33,37.655
