Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,11,2,9,0,7.033
1,2,2,1,2016,11,2,9,0,51.875
2,2,2,1,2016,11,2,9,1,3.087
3,2,2,1,2016,11,2,9,1,27.57
4,2,2,1,2016,11,2,9,2,35.217
5,2,1,1,2016,11,2,9,2,49.551
6,2,2,1,2016,11,2,9,3,22.803
7,2,2,1,2016,11,2,9,3,42.693
8,2,1,1,2016,11,2,9,3,48.937
9,2,2,1,2016,11,2,9,13,22.674
10,2,2,1,2016,11,2,9,15,49.087
11,2,2,1,2016,11,2,9,16,2.387
12,2,1,1,2016,11,2,9,26,49.089
13,2,2,1,2016,11,2,9,28,4.65
14,2,1,1,2016,11,2,9,28,31.297
15,2,2,1,2016,11,2,9,28,37.317
16,2,1,1,2016,11,2,9,29,7.578
17,2,2,1,2016,11,2,9,30,31.052
18,2,2,1,2016,11,2,9,31,10.59
19,2,2,1,2016,11,2,9,31,59.631
20,2,2,1,2016,11,2,9,32,13.546
21,2,2,1,2016,11,2,9,32,18.379
22,2,1,1,2016,11,2,9,33,21.448
23,2,2,1,2016,11,2,9,33,34.361
24,2,2,1,2016,11,2,9,33,54.52
25,2,1,1,2016,11,2,9,34,4.997
26,2,1,1,2016,11,2,9,34,23.295
27,2,1,1,2016,11,2,9,34,53.395
28,2,1,1,2016,11,2,9,35,12.693
29,2,2,1,2016,11,2,9,35,33.75
30,2,2,1,2016,11,2,9,35,42.771
31,2,1,1,2016,11,2,9,38,19.467
32,2,2,1,2016,11,2,9,38,29.463
33,2,0,1,2016,11,2,9,38,29.713
34,2,1,1,2016,11,2,9,38,32.938
35,2,2,1,2016,11,2,9,38,46.313
36,2,2,1,2016,11,2,9,39,31.963
37,2,2,1,2016,11,2,9,39,41.686
38,2,0,1,2016,11,2,9,39,42.44
39,2,1,1,2016,11,2,9,40,39.033
40,2,2,1,2016,11,2,9,41,48.202
41,2,1,1,2016,11,2,9,42,12.685
42,2,1,1,2016,11,2,9,42,35.25
43,2,0,1,2016,11,2,9,42,36.56
44,2,2,1,2016,11,2,9,42,42.398
45,2,2,1,2016,11,2,9,43,11.027
46,2,1,1,2016,11,2,9,44,2.121
47,2,2,1,2016,11,2,9,48,0.111
48,2,1,1,2016,11,2,9,48,7.366
49,2,2,1,2016,11,2,9,48,35.298
50,2,1,1,2016,11,2,9,48,40.445
51,2,1,1,2016,11,2,9,49,8.359
52,2,2,1,2016,11,2,9,49,20.966
53,2,1,1,2016,11,2,9,49,28.699
54,2,1,1,2016,11,2,9,53,18.431
55,2,1,1,2016,11,2,9,54,56.087
56,2,0,1,2016,11,2,9,54,56.213
57,2,1,1,2016,11,2,9,55,18.017
58,2,1,1,2016,11,2,9,55,27.994
59,2,1,1,2016,11,2,9,55,45.705
60,2,0,1,2016,11,2,9,55,46.476
61,2,0,1,2016,11,2,9,55,47.16
62,2,1,1,2016,11,2,9,56,47.159
63,2,1,1,2016,11,2,9,58,2.528
64,2,1,1,2016,11,2,9,59,19.633
65,2,1,1,2016,11,2,9,59,44.601
66,2,1,1,2016,11,2,10,0,49.425
67,2,0,1,2016,11,2,10,1,6.686
68,2,0,1,2016,11,2,10,1,30.33
69,2,0,1,2016,11,2,10,2,19.35
70,2,0,1,2016,11,2,10,2,19.655
71,2,0,1,2016,11,2,10,2,48.045
72,2,0,1,2016,11,2,10,3,56.902
73,2,0,1,2016,11,2,10,4,19.584
74,2,0,1,2016,11,2,10,8,40.374
75,2,0,1,2016,11,2,10,8,51.928
76,2,0,1,2016,11,2,10,9,22.329
77,2,0,1,2016,11,2,10,10,14.735
78,2,0,1,2016,11,2,10,22,44.326
79,2,0,1,2016,11,2,10,22,51.815
80,2,0,1,2016,11,2,10,22,55.682
81,2,0,1,2016,11,2,10,22,56.988
82,2,0,1,2016,11,2,10,22,59.033
83,2,0,1,2016,11,2,10,23,0.337
84,2,0,1,2016,11,2,10,24,38.027
85,2,0,1,2016,11,2,10,27,46.264
86,2,0,1,2016,11,2,10,27,46.561
87,2,0,1,2016,11,2,10,27,52.201
88,2,0,1,2016,11,2,10,28,2.107
89,2,0,1,2016,11,2,10,28,16.814
90,2,0,1,2016,11,2,10,28,16.895
91,2,0,1,2016,11,2,10,29,53.148
92,2,0,1,2016,11,2,10,30,21.064
93,2,0,1,2016,11,2,10,30,43.262
94,2,0,1,2016,11,2,10,32,17.647
95,2,0,1,2016,11,2,10,32,30.676
96,2,0,1,2016,11,2,10,32,54.921
97,2,0,1,2016,11,2,10,33,15.494
98,2,0,1,2016,11,2,10,33,21.219
99,2,0,1,2016,11,2,10,33,38.792
100,2,0,1,2016,11,2,10,34,56.906
101,2,0,1,2016,11,2,10,34,59.619
102,2,0,1,2016,11,2,10,37,22.784
103,2,0,1,2016,11,2,10,37,32.026
104,2,0,1,2016,11,2,10,37,39.784
105,2,0,1,2016,11,2,10,38,5.374
106,2,0,1,2016,11,2,10,38,45.797
107,2,0,1,2016,11,2,10,55,4.001
108,2,0,1,2016,11,2,10,55,15.184
109,2,0,1,2016,11,2,10,57,42.149
110,2,0,1,2016,11,2,11,4,45.913
111,2,0,1,2016,11,2,11,5,27.682
112,2,0,1,2016,11,2,11,6,54.946
113,2,0,1,2016,11,2,11,8,50.883
114,2,0,1,2016,11,2,11,9,23.068
115,2,0,1,2016,11,2,11,9,25.309
116,2,0,1,2016,11,2,11,9,25.37
117,2,0,1,2016,11,2,11,9,36.786
118,2,0,1,2016,11,2,11,10,16.23
119,2,0,1,2016,11,2,11,10,41.968
120,2,0,1,2016,11,2,11,12,22.056
121,2,0,1,2016,11,2,11,12,38.181
122,2,0,1,2016,11,2,11,25,3.459
123,2,0,1,2016,11,2,11,25,58.42
124,2,0,1,2016,11,2,11,26,51.036
125,2,0,1,2016,11,2,11,27,53.173
126,2,0,1,2016,11,2,11,29,27.201
127,2,0,1,2016,11,2,11,29,38.252
128,2,0,1,2016,11,2,11,31,41.249
129,2,0,1,2016,11,2,11,32,2.796
130,2,0,1,2016,11,2,11,32,3.201
131,2,0,1,2016,11,2,11,32,4.649
132,2,0,1,2016,11,2,11,32,42.509
133,2,0,1,2016,11,2,11,32,58.161
134,2,0,1,2016,11,2,11,32,58.264
135,2,0,1,2016,11,2,11,33,33.01
136,2,0,1,2016,11,2,11,33,40.879
137,2,0,1,2016,11,2,11,34,0.035
138,2,0,1,2016,11,2,11,35,13.348
139,2,0,1,2016,11,2,11,35,25.767
140,2,0,1,2016,11,2,11,35,50.983
141,2,0,1,2016,11,2,11,35,51.116
142,2,0,1,2016,11,2,11,36,32.157
143,2,0,1,2016,11,2,11,43,58.505
144,2,0,1,2016,11,2,11,47,33.59
145,1,0,1,2016,11,2,11,47,41.139
146,2,0,1,2016,11,2,12,17,10.576
147,2,0,1,2016,11,2,12,17,57.468
148,1,0,1,2016,11,2,12,34,10.242
149,2,0,1,2016,11,2,13,2,31.238
150,2,0,1,2016,11,2,13,2,38.826
151,2,0,1,2016,11,2,13,2,49.896
152,2,0,1,2016,11,2,13,2,50.179
153,2,0,1,2016,11,2,13,4,18.189
154,2,0,1,2016,11,2,13,4,44.816
155,2,0,1,2016,11,2,13,5,11.268
156,2,0,1,2016,11,2,13,5,23.225
157,2,0,1,2016,11,2,14,3,36.537
158,2,0,1,2016,11,2,14,3,59.708
159,2,0,1,2016,11,2,14,5,1.31
160,2,0,1,2016,11,2,14,46,19.606
161,2,0,1,2016,11,2,14,46,21.536
162,2,0,1,2016,11,2,14,46,56.059
163,2,0,1,2016,11,2,15,1,27.963
164,2,0,1,2016,11,2,15,22,23.584
165,2,0,1,2016,11,2,15,22,25.173
166,2,0,1,2016,11,2,16,23,31.86
167,2,0,1,2016,11,2,16,23,32.163
168,2,0,1,2016,11,2,17,31,4.722
169,2,0,1,2016,11,2,17,34,15.133
170,2,0,1,2016,11,2,17,38,50.506
