Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,11,27,8,0,4.804
1,2,2,1,2016,11,27,8,0,56.071
2,2,2,1,2016,11,27,8,1,1.317
3,2,2,1,2016,11,27,8,1,39.262
4,2,2,1,2016,11,27,8,1,44.289
5,1,1,1,2016,11,27,8,2,44.997
6,1,1,1,2016,11,27,8,3,36.349
7,1,1,1,2016,11,27,8,12,45.01
8,1,1,1,2016,11,27,8,12,59.898
9,1,0,1,2016,11,27,8,12,59.991
10,1,1,1,2016,11,27,8,13,22.526
11,1,1,1,2016,11,27,8,16,44.858
12,1,1,1,2016,11,27,8,16,56.505
13,1,1,1,2016,11,27,8,17,5.329
14,1,1,1,2016,11,27,8,17,9.416
15,1,1,1,2016,11,27,8,17,13.929
16,1,1,1,2016,11,27,8,17,24.683
17,1,2,1,2016,11,27,8,18,41.633
18,1,0,1,2016,11,27,8,18,42.921
19,1,2,1,2016,11,27,8,18,45.974
20,1,1,1,2016,11,27,8,18,53.081
21,1,2,1,2016,11,27,8,24,32.927
22,1,2,1,2016,11,27,8,24,38.443
23,1,1,1,2016,11,27,8,27,16.711
24,1,2,1,2016,11,27,8,27,21.932
25,1,0,1,2016,11,27,8,27,22.458
26,1,1,1,2016,11,27,8,27,30.187
27,1,0,1,2016,11,27,8,27,30.271
28,1,1,1,2016,11,27,8,27,34.17
29,1,0,1,2016,11,27,8,27,34.395
30,1,1,1,2016,11,27,8,27,43.989
31,1,1,1,2016,11,27,8,28,15.131
32,1,1,1,2016,11,27,8,28,31.996
33,1,1,1,2016,11,27,8,28,59.714
34,1,0,1,2016,11,27,8,28,59.781
35,1,2,1,2016,11,27,8,29,11.962
36,1,1,1,2016,11,27,8,29,17.183
37,1,0,1,2016,11,27,8,29,17.35
38,1,0,1,2016,11,27,8,29,17.417
39,1,2,1,2016,11,27,8,29,23.311
40,1,2,1,2016,11,27,8,29,32.964
41,1,1,1,2016,11,27,8,29,38.782
42,2,2,1,2016,11,27,9,1,7.713
43,1,1,1,2016,11,27,9,8,15.741
44,2,2,1,2016,11,27,9,40,57.152
45,2,2,1,2016,11,27,9,41,10.033
46,2,2,1,2016,11,27,9,42,4.835
47,2,2,1,2016,11,27,9,42,20.91
48,2,2,1,2016,11,27,9,42,27.499
49,2,2,1,2016,11,27,9,42,44.251
50,2,2,1,2016,11,27,9,43,16.257
51,2,2,1,2016,11,27,9,43,29.686
52,2,0,1,2016,11,27,9,43,29.808
53,2,2,1,2016,11,27,9,43,37.184
54,2,2,1,2016,11,27,9,44,1.818
55,2,2,1,2016,11,27,9,44,7.83
56,2,2,1,2016,11,27,9,44,32.113
57,2,1,1,2016,11,27,9,44,39.112
58,2,2,1,2016,11,27,9,45,1.421
59,2,1,1,2016,11,27,9,45,14.061
60,2,1,1,2016,11,27,9,45,25.417
61,2,2,1,2016,11,27,9,45,31.234
62,2,0,1,2016,11,27,9,45,31.712
63,2,0,1,2016,11,27,9,45,31.886
64,2,2,1,2016,11,27,9,45,40.963
65,2,1,1,2016,11,27,9,56,21.118
66,2,2,1,2016,11,27,9,56,28.389
67,2,1,1,2016,11,27,9,56,44.443
68,2,0,1,2016,11,27,9,56,44.636
69,2,2,1,2016,11,27,9,56,58.696
70,2,1,1,2016,11,27,9,57,13.919
71,2,1,1,2016,11,27,9,57,30.237
72,2,1,1,2016,11,27,9,57,35.464
73,2,0,1,2016,11,27,9,57,46.984
74,2,0,1,2016,11,27,9,57,47.116
75,2,0,1,2016,11,27,10,20,0.837
76,1,0,1,2016,11,27,10,22,52.321
77,1,0,1,2016,11,27,10,23,29.945
78,2,0,1,2016,11,27,10,30,25.017
79,2,0,1,2016,11,27,10,30,25.154
80,1,0,1,2016,11,27,10,33,36.972
81,1,0,1,2016,11,27,10,34,0.207
82,1,0,1,2016,11,27,10,34,0.256
83,2,0,1,2016,11,27,10,35,56.758
84,2,0,1,2016,11,27,10,35,56.948
85,2,0,1,2016,11,27,10,50,51.221
86,2,0,1,2016,11,27,10,56,5.246
87,2,0,1,2016,11,27,10,58,47.387
88,1,0,1,2016,11,27,11,2,34.682
89,2,0,1,2016,11,27,11,3,1.419
90,2,0,1,2016,11,27,11,3,10.899
91,1,0,1,2016,11,27,11,9,3.607
92,1,0,1,2016,11,27,11,14,1.096
93,1,0,1,2016,11,27,11,14,33.531
94,2,0,1,2016,11,27,11,19,7.672
95,1,0,1,2016,11,27,11,19,50.621
96,1,0,1,2016,11,27,11,30,16.393
97,2,0,1,2016,11,27,11,35,55.857
98,2,0,1,2016,11,27,11,36,36.844
99,1,0,1,2016,11,27,11,42,12.227
100,1,0,1,2016,11,27,11,56,33.703
101,1,0,1,2016,11,27,11,56,33.774
102,2,0,1,2016,11,27,12,10,4.75
103,2,0,1,2016,11,27,12,10,5.722
104,1,0,1,2016,11,27,12,12,29.036
105,1,0,1,2016,11,27,12,12,30.27
106,1,0,1,2016,11,27,12,12,31.043
107,1,0,1,2016,11,27,12,30,53.971
108,1,0,1,2016,11,27,12,30,55.979
109,1,0,1,2016,11,27,12,30,56.02
110,1,0,1,2016,11,27,12,30,58.436
111,1,0,1,2016,11,27,12,31,3.983
112,1,0,1,2016,11,27,12,31,4.018
113,1,0,1,2016,11,27,12,31,7.438
114,1,0,1,2016,11,27,12,31,10.248
115,1,0,1,2016,11,27,12,31,10.285
116,1,0,1,2016,11,27,12,31,20.059
117,1,0,1,2016,11,27,12,31,22.531
118,1,0,1,2016,11,27,12,31,30.059
119,1,0,1,2016,11,27,12,31,32.323
120,1,0,1,2016,11,27,12,31,32.365
121,1,0,1,2016,11,27,12,31,38.275
122,1,0,1,2016,11,27,12,31,42.161
123,1,0,1,2016,11,27,12,32,23.097
124,1,0,1,2016,11,27,12,32,28.666
125,1,0,1,2016,11,27,12,32,33.231
126,1,0,1,2016,11,27,12,32,33.278
127,1,0,1,2016,11,27,12,32,37.227
128,1,0,1,2016,11,27,12,32,44.278
129,1,0,1,2016,11,27,12,32,44.312
130,1,0,1,2016,11,27,12,32,48.839
131,1,0,1,2016,11,27,12,32,50.919
132,1,0,1,2016,11,27,12,32,54.822
133,1,0,1,2016,11,27,12,32,59.26
134,2,0,1,2016,11,27,12,33,21.572
135,2,0,1,2016,11,27,12,33,30.448
136,2,0,1,2016,11,27,12,33,48.406
137,1,0,1,2016,11,27,12,34,14.39
138,1,0,1,2016,11,27,12,34,14.454
139,1,0,1,2016,11,27,12,34,51.036
140,1,0,1,2016,11,27,12,35,18.789
141,1,0,1,2016,11,27,12,35,18.83
142,1,0,1,2016,11,27,12,35,21.483
143,1,0,1,2016,11,27,12,35,21.516
144,1,0,1,2016,11,27,12,35,25.47
145,1,0,1,2016,11,27,12,35,25.508
146,1,0,1,2016,11,27,12,35,40.453
147,1,0,1,2016,11,27,12,35,41.412
148,1,0,1,2016,11,27,12,35,42.277
149,2,0,1,2016,11,27,12,35,50.221
150,2,0,1,2016,11,27,12,36,13.418
151,1,0,1,2016,11,27,13,0,29.336
152,1,0,1,2016,11,27,13,1,1.869
153,1,0,1,2016,11,27,13,10,43.458
154,1,0,1,2016,11,27,13,11,14.734
155,2,0,1,2016,11,27,13,56,8.121
156,2,0,1,2016,11,27,13,59,18.043
157,2,0,1,2016,11,27,13,59,20.488
158,2,0,1,2016,11,27,13,59,23.19
159,2,0,1,2016,11,27,13,59,23.456
160,2,0,1,2016,11,27,13,59,25.469
161,2,0,1,2016,11,27,13,59,26.175
162,2,0,1,2016,11,27,13,59,27.613
163,2,0,1,2016,11,27,13,59,28.292
164,2,0,1,2016,11,27,13,59,28.891
165,2,0,1,2016,11,27,13,59,30.076
166,2,0,1,2016,11,27,14,16,17.199
167,2,0,1,2016,11,27,14,16,26.225
168,2,0,1,2016,11,27,14,16,50.398
169,1,0,1,2016,11,27,14,24,10.628
170,1,0,1,2016,11,27,14,32,26.679
171,1,0,1,2016,11,27,14,32,32.469
172,1,0,1,2016,11,27,14,35,44.942
173,1,0,1,2016,11,27,14,41,17.738
174,2,0,1,2016,11,27,15,6,38.31
175,1,0,1,2016,11,27,15,49,40.18
176,2,0,1,2016,11,27,16,59,19.666
177,2,0,1,2016,11,27,17,4,11.889
178,2,0,1,2016,11,27,17,4,12.042
179,2,0,1,2016,11,27,17,11,24.054
180,2,0,1,2016,11,27,17,14,39.52
181,1,0,1,2016,11,27,17,17,26.387
182,1,0,1,2016,11,27,18,3,42.747
