Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,10,9,9,0,6.541
1,2,2,1,2016,10,9,11,58,5.911
2,2,2,1,2016,10,9,11,58,17.663
3,2,2,1,2016,10,9,11,58,56.505
4,2,2,1,2016,10,9,11,59,10.257
5,1,1,1,2016,10,9,12,21,12.073
6,1,1,1,2016,10,9,12,50,27.138
7,1,1,1,2016,10,9,14,50,25.053
8,1,1,1,2016,10,9,14,51,30.001
9,1,1,1,2016,10,9,14,52,35.068
10,1,1,1,2016,10,9,14,52,47.386
11,1,1,1,2016,10,9,14,52,59.417
12,1,1,1,2016,10,9,14,53,23.988
13,1,0,1,2016,10,9,14,53,24.407
14,1,0,1,2016,10,9,14,53,24.788
15,1,1,1,2016,10,9,14,53,32.5
16,1,0,1,2016,10,9,14,53,33.123
17,1,0,1,2016,10,9,14,53,34.522
18,1,1,1,2016,10,9,15,2,33.228
19,1,1,1,2016,10,9,16,24,49.563
20,1,2,1,2016,10,9,16,26,43.562
21,1,2,1,2016,10,9,17,32,18.523
22,1,1,1,2016,10,9,17,33,52.513
23,2,2,1,2016,10,9,17,34,21.923
24,2,2,1,2016,10,9,17,34,43.059
25,2,2,1,2016,10,9,17,38,21.061
26,1,1,1,2016,10,9,17,38,21.422
27,2,0,1,2016,10,9,17,38,23.068
28,1,1,1,2016,10,9,17,45,2.517
29,1,2,1,2016,10,9,17,45,10.765
30,1,2,1,2016,10,9,17,46,23.446
31,1,1,1,2016,10,9,17,46,30.248
32,1,2,1,2016,10,9,17,46,42.822
33,1,1,1,2016,10,9,17,48,39.466
34,2,2,1,2016,10,9,17,49,49.379
35,1,1,1,2016,10,9,17,52,44.251
36,1,0,1,2016,10,9,17,52,44.433
37,1,1,1,2016,10,9,17,55,26.563
38,1,0,1,2016,10,9,17,55,27.828
39,1,2,1,2016,10,9,17,56,30.449
40,1,2,1,2016,10,9,17,56,40.029
41,1,1,1,2016,10,9,17,56,50.407
42,1,2,1,2016,10,9,17,57,0.438
43,1,1,1,2016,10,9,17,57,10.82
44,1,1,1,2016,10,9,17,57,46.739
45,1,1,1,2016,10,9,17,59,40.859
46,1,1,1,2016,10,9,18,0,12.086
47,1,0,1,2016,10,9,18,0,13.299
48,1,1,1,2016,10,9,18,1,7.454
49,1,1,1,2016,10,9,18,12,3.279
50,1,2,1,2016,10,9,18,29,19.8
51,1,1,1,2016,10,9,18,33,27.747
52,1,2,1,2016,10,9,18,34,14.576
53,1,2,1,2016,10,9,18,52,9.946
54,1,1,1,2016,10,9,18,56,8.708
