Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,3,10,0,8.929
1,2,2,1,2016,4,3,11,37,46.458
2,2,2,1,2016,4,3,11,37,51.25
3,2,0,1,2016,4,3,11,37,52.725
4,2,2,1,2016,4,3,11,37,54.32
5,2,0,1,2016,4,3,11,37,54.377
6,2,2,1,2016,4,3,11,38,42.909
7,2,0,1,2016,4,3,11,38,44.164
8,2,0,1,2016,4,3,11,38,44.985
9,2,1,1,2016,4,3,11,38,46.467
10,2,0,1,2016,4,3,11,38,46.548
11,2,0,1,2016,4,3,11,38,47.058
12,2,2,1,2016,4,3,11,38,51.651
13,2,0,1,2016,4,3,11,38,52.003
14,2,2,1,2016,4,3,11,39,1.103
15,2,0,1,2016,4,3,11,39,2.192
16,2,0,1,2016,4,3,11,39,2.42
17,2,0,1,2016,4,3,11,39,2.46
18,2,0,1,2016,4,3,11,39,3.34
19,2,1,1,2016,4,3,11,39,5.173
20,2,0,1,2016,4,3,11,39,6.759
21,2,2,1,2016,4,3,11,39,9.937
22,2,2,1,2016,4,3,11,39,18.382
23,2,2,1,2016,4,3,11,39,22.625
24,2,1,1,2016,4,3,11,39,31.333
25,2,2,1,2016,4,3,11,39,40.911
26,2,0,1,2016,4,3,11,39,41.957
27,2,1,1,2016,4,3,11,39,45.74
28,2,2,1,2016,4,3,11,40,3.599
29,2,1,1,2016,4,3,11,40,59.653
30,2,0,1,2016,4,3,11,41,1.337
31,2,0,1,2016,4,3,11,41,1.973
32,2,2,1,2016,4,3,11,41,4.134
33,2,0,1,2016,4,3,11,41,4.208
34,2,2,1,2016,4,3,11,41,9.253
35,2,2,1,2016,4,3,11,41,12.809
36,1,1,1,2016,4,3,11,49,51.436
37,1,1,1,2016,4,3,11,56,37.846
38,2,2,1,2016,4,3,12,34,55.577
39,2,0,1,2016,4,3,12,34,55.629
40,2,0,1,2016,4,3,12,34,55.689
41,2,1,1,2016,4,3,12,38,2.157
42,2,0,1,2016,4,3,12,38,3.517
43,2,2,1,2016,4,3,12,38,5.53
44,2,0,1,2016,4,3,12,38,5.65
45,2,1,1,2016,4,3,12,38,21.42
46,2,2,1,2016,4,3,12,38,34.91
47,2,2,1,2016,4,3,12,38,41.853
48,2,0,1,2016,4,3,12,38,42.959
49,2,2,1,2016,4,3,12,38,45.627
50,2,2,1,2016,4,3,12,38,52.622
51,2,2,1,2016,4,3,12,39,1.2
52,2,1,1,2016,4,3,12,39,8.729
53,2,0,1,2016,4,3,12,39,11.533
54,2,2,1,2016,4,3,12,39,16.662
55,2,0,1,2016,4,3,12,39,17.221
56,2,0,1,2016,4,3,12,39,17.291
57,2,0,1,2016,4,3,12,39,17.362
58,2,0,1,2016,4,3,12,39,17.45
59,2,0,1,2016,4,3,12,39,17.753
60,2,2,1,2016,4,3,12,39,29.12
61,2,1,1,2016,4,3,12,39,51.151
62,2,0,1,2016,4,3,12,39,51.561
63,2,1,1,2016,4,3,12,40,3.062
64,2,1,1,2016,4,3,12,40,18.684
65,2,1,1,2016,4,3,12,40,22.029
66,2,2,1,2016,4,3,12,40,25.665
67,2,2,1,2016,4,3,12,40,34.77
68,2,1,1,2016,4,3,13,0,9.188
69,2,2,1,2016,4,3,13,35,35.644
70,2,0,1,2016,4,3,13,35,35.827
71,2,1,1,2016,4,3,13,36,16.38
72,2,0,1,2016,4,3,13,36,16.51
73,2,0,1,2016,4,3,13,36,16.845
74,2,0,1,2016,4,3,13,36,17.839
75,2,2,1,2016,4,3,13,36,20.023
76,2,2,1,2016,4,3,13,36,25.833
77,2,0,1,2016,4,3,13,36,27.877
78,2,2,1,2016,4,3,13,36,34.345
79,2,0,1,2016,4,3,13,36,34.501
80,2,0,1,2016,4,3,13,36,34.57
81,2,0,1,2016,4,3,13,36,34.654
82,2,0,1,2016,4,3,13,36,34.752
83,2,1,1,2016,4,3,13,36,43.75
84,2,2,1,2016,4,3,13,36,46.904
85,2,0,1,2016,4,3,13,36,49.236
86,2,1,1,2016,4,3,13,36,50.372
87,2,1,1,2016,4,3,13,36,54.139
88,2,0,1,2016,4,3,13,36,54.863
89,2,1,1,2016,4,3,13,37,11.908
90,2,1,1,2016,4,3,13,46,30.098
91,2,1,1,2016,4,3,13,47,0.814
92,2,1,1,2016,4,3,14,0,35.061
93,2,1,1,2016,4,3,14,37,1.607
94,2,1,1,2016,4,3,14,37,6.944
95,2,1,1,2016,4,3,14,37,20.706
96,2,1,1,2016,4,3,14,37,33.507
97,2,1,1,2016,4,3,14,37,48.449
98,2,1,1,2016,4,3,14,37,58.026
99,2,1,1,2016,4,3,14,38,6.021
100,2,0,1,2016,4,3,14,38,6.557
101,2,0,1,2016,4,3,14,38,11.832
102,2,0,1,2016,4,3,14,38,14.737
103,2,0,1,2016,4,3,14,38,15.021
104,2,0,1,2016,4,3,14,38,15.15
105,2,0,1,2016,4,3,14,38,23.884
106,2,0,1,2016,4,3,14,38,25.027
107,2,0,1,2016,4,3,14,38,25.061
108,1,0,1,2016,4,3,14,39,21.156
109,1,0,1,2016,4,3,14,39,21.685
110,1,0,1,2016,4,3,14,39,22.925
111,1,0,1,2016,4,3,14,39,26.172
112,1,0,1,2016,4,3,14,39,26.742
113,1,0,1,2016,4,3,14,39,31.993
114,1,0,1,2016,4,3,14,39,34.8
115,1,0,1,2016,4,3,14,39,36.78
116,1,0,1,2016,4,3,14,39,55.145
117,1,0,1,2016,4,3,14,40,4.277
118,1,0,1,2016,4,3,14,40,5.083
119,2,0,1,2016,4,3,15,7,1.703
120,2,0,1,2016,4,3,15,7,19.824
121,2,0,1,2016,4,3,15,7,22.422
122,2,0,1,2016,4,3,15,7,25.828
123,2,0,1,2016,4,3,15,7,26.771
124,2,0,1,2016,4,3,15,7,36.56
125,2,0,1,2016,4,3,15,7,38.18
126,2,0,1,2016,4,3,15,7,38.222
127,2,0,1,2016,4,3,15,8,7.643
128,2,0,1,2016,4,3,15,9,1.087
129,2,0,1,2016,4,3,15,9,1.277
130,2,0,1,2016,4,3,15,9,2.035
131,2,0,1,2016,4,3,15,9,5.125
132,2,0,1,2016,4,3,15,9,6.353
133,2,0,1,2016,4,3,15,9,7.835
134,2,0,1,2016,4,3,15,9,8.981
135,1,0,1,2016,4,3,15,37,55.511
136,1,0,1,2016,4,3,15,37,56.714
137,1,0,1,2016,4,3,15,38,0.136
