Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,4,15,10,0,47.619
1,2,2,1,2016,4,15,10,15,47.323
2,2,2,1,2016,4,15,10,19,17.253
3,1,1,1,2016,4,15,10,32,0.454
4,2,2,1,2016,4,15,10,49,0.573
5,2,0,1,2016,4,15,10,49,3.074
6,2,0,1,2016,4,15,10,49,3.094
7,2,2,1,2016,4,15,10,49,4.317
8,2,2,1,2016,4,15,10,49,17.326
9,2,2,1,2016,4,15,10,49,20.521
10,2,1,1,2016,4,15,10,49,24.099
11,2,0,1,2016,4,15,10,49,24.784
12,2,2,1,2016,4,15,10,49,39.639
13,2,2,1,2016,4,15,10,49,45.874
14,2,1,1,2016,4,15,10,50,3.542
15,2,2,1,2016,4,15,10,50,15.107
16,2,2,1,2016,4,15,10,50,21.775
17,2,2,1,2016,4,15,10,50,38.869
18,2,1,1,2016,4,15,10,50,54.92
19,2,2,1,2016,4,15,10,51,30.609
20,2,1,1,2016,4,15,10,51,42.078
21,2,2,1,2016,4,15,10,51,54.14
22,2,0,1,2016,4,15,10,51,54.215
23,2,1,1,2016,4,15,10,52,13.029
24,2,0,1,2016,4,15,10,52,13.091
25,2,2,1,2016,4,15,10,52,18.574
26,2,0,1,2016,4,15,10,52,18.632
27,2,2,1,2016,4,15,10,52,23.356
28,2,0,1,2016,4,15,10,52,23.806
29,2,2,1,2016,4,15,10,52,36.904
30,2,0,1,2016,4,15,10,52,38.81
31,2,2,1,2016,4,15,11,22,20.69
32,2,2,1,2016,4,15,11,23,27.128
33,2,0,1,2016,4,15,11,23,27.214
34,2,1,1,2016,4,15,11,23,34.907
35,2,2,1,2016,4,15,11,29,41.82
36,2,0,1,2016,4,15,11,29,42.405
37,2,2,1,2016,4,15,11,29,48.999
38,2,1,1,2016,4,15,11,29,53.485
39,2,1,1,2016,4,15,11,30,1.485
40,2,0,1,2016,4,15,11,30,3.889
41,2,1,1,2016,4,15,11,30,4.554
42,2,1,1,2016,4,15,11,30,8.028
43,2,2,1,2016,4,15,11,30,14.903
44,2,2,1,2016,4,15,11,30,38.444
45,2,0,1,2016,4,15,11,30,38.735
46,2,0,1,2016,4,15,11,30,41.175
47,2,1,1,2016,4,15,11,30,42.201
48,2,2,1,2016,4,15,11,30,51.088
49,2,1,1,2016,4,15,11,31,6.632
50,2,0,1,2016,4,15,11,31,6.688
51,2,0,1,2016,4,15,11,31,6.733
52,2,0,1,2016,4,15,11,31,9.571
53,2,2,1,2016,4,15,11,31,15.463
54,2,2,1,2016,4,15,11,31,18.962
55,2,0,1,2016,4,15,11,31,21.455
56,2,2,1,2016,4,15,11,39,33.577
57,2,1,1,2016,4,15,11,39,50.158
58,2,0,1,2016,4,15,11,39,53.025
59,2,2,1,2016,4,15,11,40,8.419
60,2,1,1,2016,4,15,11,40,28.331
61,2,1,1,2016,4,15,11,41,47.732
62,2,2,1,2016,4,15,11,41,55.915
63,2,0,1,2016,4,15,11,41,56.789
64,2,2,1,2016,4,15,11,41,59.877
65,2,0,1,2016,4,15,11,42,1.805
66,2,1,1,2016,4,15,11,42,3.506
67,2,2,1,2016,4,15,11,42,10.761
68,2,1,1,2016,4,15,11,42,15.786
69,2,1,1,2016,4,15,11,42,21.997
70,2,1,1,2016,4,15,11,42,25.487
71,2,0,1,2016,4,15,11,42,25.727
72,2,0,1,2016,4,15,11,42,26.713
73,2,1,1,2016,4,15,11,42,35.064
74,2,0,1,2016,4,15,11,42,36.075
75,2,1,1,2016,4,15,11,42,47.705
76,2,1,1,2016,4,15,11,42,51.985
77,2,0,1,2016,4,15,11,42,54.807
78,2,1,1,2016,4,15,11,42,55.686
79,2,0,1,2016,4,15,11,42,58.412
80,2,1,1,2016,4,15,11,43,1.157
81,2,0,1,2016,4,15,11,43,1.755
82,2,0,1,2016,4,15,11,43,3.311
83,2,1,1,2016,4,15,11,43,4.641
84,2,0,1,2016,4,15,11,43,5.933
85,2,0,1,2016,4,15,11,43,6.7
86,2,0,1,2016,4,15,11,43,6.785
87,2,1,1,2016,4,15,11,43,8.405
88,2,0,1,2016,4,15,11,43,9.574
89,2,0,1,2016,4,15,11,43,9.699
90,2,0,1,2016,4,15,11,43,10.698
91,2,1,1,2016,4,15,11,43,16.24
92,2,0,1,2016,4,15,11,43,18.044
93,2,0,1,2016,4,15,11,43,18.924
94,2,1,1,2016,4,15,11,43,19.518
95,2,1,1,2016,4,15,11,43,36.894
96,2,0,1,2016,4,15,11,43,41.101
97,2,0,1,2016,4,15,11,43,43.068
98,2,0,1,2016,4,15,11,43,44.023
99,2,0,1,2016,4,15,11,43,45.314
100,2,0,1,2016,4,15,11,43,48.19
101,2,0,1,2016,4,15,11,43,49.099
102,2,0,1,2016,4,15,11,43,50.352
103,2,0,1,2016,4,15,11,43,51.016
104,2,0,1,2016,4,15,11,43,51.978
105,2,0,1,2016,4,15,11,43,54.142
106,2,0,1,2016,4,15,11,43,55.946
107,2,0,1,2016,4,15,11,43,58.374
108,2,0,1,2016,4,15,11,43,59.055
109,2,0,1,2016,4,15,11,43,59.686
110,2,0,1,2016,4,15,11,44,0.758
111,2,0,1,2016,4,15,11,44,5.277
112,2,0,1,2016,4,15,11,44,6.788
113,2,0,1,2016,4,15,11,44,7.772
114,2,0,1,2016,4,15,11,44,7.97
115,2,0,1,2016,4,15,11,44,9.224
116,2,0,1,2016,4,15,11,44,9.999
117,2,0,1,2016,4,15,11,44,10.931
118,2,0,1,2016,4,15,11,44,11.663
119,2,0,1,2016,4,15,11,44,14.025
120,2,0,1,2016,4,15,11,44,14.288
121,2,0,1,2016,4,15,11,44,15.186
122,2,0,1,2016,4,15,11,44,18.976
123,2,0,1,2016,4,15,11,44,20.49
124,2,0,1,2016,4,15,11,44,30.51
125,2,0,1,2016,4,15,11,44,31.085
126,2,0,1,2016,4,15,11,44,46.072
127,2,0,1,2016,4,15,11,44,49.514
128,2,0,1,2016,4,15,11,44,52.442
129,2,0,1,2016,4,15,11,45,10.933
130,2,0,1,2016,4,15,11,45,17.242
131,2,0,1,2016,4,15,11,45,20.703
132,2,0,1,2016,4,15,11,45,21.397
133,2,0,1,2016,4,15,11,45,22.396
