Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,3,25,10,0,23.702
1,2,2,1,2016,3,25,10,21,54.117
2,2,2,1,2016,3,25,11,27,18.211
3,2,2,1,2016,3,25,12,38,23.825
4,2,2,1,2016,3,25,12,38,52.272
5,2,1,1,2016,3,25,12,39,33.605
6,2,2,1,2016,3,25,12,40,34.7
7,2,2,1,2016,3,25,12,41,24.563
8,2,0,1,2016,3,25,12,41,24.821
9,2,1,1,2016,3,25,12,41,34.335
10,2,2,1,2016,3,25,13,48,21.075
11,1,1,1,2016,3,25,13,52,19.811
12,1,1,1,2016,3,25,14,33,23.531
13,1,1,1,2016,3,25,14,33,37.107
14,2,2,1,2016,3,25,14,36,58.612
15,2,2,1,2016,3,25,14,37,25.681
16,2,2,1,2016,3,25,14,49,36.206
17,2,0,1,2016,3,25,14,49,36.289
18,1,1,1,2016,3,25,15,6,31.222
19,1,1,1,2016,3,25,15,6,39.793
20,1,1,1,2016,3,25,15,9,54.556
21,1,1,1,2016,3,25,15,10,2.734
22,1,0,1,2016,3,25,15,10,5.358
23,1,1,1,2016,3,25,15,10,13.764
24,1,1,1,2016,3,25,17,12,17.83
25,1,1,1,2016,3,25,17,21,22.564
26,1,1,1,2016,3,25,17,35,50.505
27,1,1,1,2016,3,25,17,36,45.653
28,1,0,1,2016,3,25,17,36,46.994
29,1,1,1,2016,3,25,17,39,26.566
30,1,1,1,2016,3,25,17,40,33.702
31,2,2,1,2016,3,25,17,43,31.24
32,2,2,1,2016,3,25,17,49,5.083
33,2,2,1,2016,3,25,18,52,52.644
