Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10
0,0,0,0,2016,5,13,10,0,26.863
1,2,2,1,2016,5,13,10,18,42.702
2,2,2,1,2016,5,13,10,18,47.445
3,2,2,1,2016,5,13,10,18,54.179
4,2,2,1,2016,5,13,10,18,58.117
5,2,0,1,2016,5,13,10,19,0.685
6,2,0,1,2016,5,13,10,19,0.956
7,2,1,1,2016,5,13,10,19,1.417
8,2,2,1,2016,5,13,10,19,4.856
9,2,2,1,2016,5,13,10,19,7.896
10,2,0,1,2016,5,13,10,19,8.808
11,2,0,1,2016,5,13,10,19,10.816
12,2,1,1,2016,5,13,10,19,11.75
13,2,2,1,2016,5,13,10,19,14.805
14,2,2,1,2016,5,13,10,19,20.461
15,2,2,1,2016,5,13,10,19,25.716
16,2,1,1,2016,5,13,10,19,28.868
17,2,2,1,2016,5,13,10,19,36.245
18,2,1,1,2016,5,13,10,19,40.151
19,2,2,1,2016,5,13,10,19,45.126
20,2,0,1,2016,5,13,10,19,45.965
21,2,1,1,2016,5,13,10,19,53.841
22,2,0,1,2016,5,13,10,19,54.817
23,2,2,1,2016,5,13,10,19,57.244
24,2,0,1,2016,5,13,10,19,59.563
25,2,2,1,2016,5,13,10,20,1.861
26,2,2,1,2016,5,13,10,20,7.614
27,2,0,1,2016,5,13,10,20,8.83
28,2,2,1,2016,5,13,10,20,15.572
29,2,2,1,2016,5,13,10,20,19.773
30,2,0,1,2016,5,13,10,20,22.475
31,2,1,1,2016,5,13,10,24,20.313
32,2,2,1,2016,5,13,10,24,38.653
33,2,2,1,2016,5,13,10,24,42.098
34,2,1,1,2016,5,13,10,24,45.96
35,2,1,1,2016,5,13,10,24,54.618
36,2,1,1,2016,5,13,10,25,22.122
37,2,1,1,2016,5,13,10,25,26.71
38,2,2,1,2016,5,13,10,25,36.407
39,2,2,1,2016,5,13,10,25,41.324
40,2,1,1,2016,5,13,10,26,20.543
41,2,2,1,2016,5,13,10,26,30.072
42,2,1,1,2016,5,13,10,26,46.049
43,2,2,1,2016,5,13,10,26,50.207
44,2,2,1,2016,5,13,10,29,49.366
45,2,2,1,2016,5,13,10,30,5.033
46,2,1,1,2016,5,13,10,30,14.474
47,2,2,1,2016,5,13,10,30,22.135
48,2,1,1,2016,5,13,10,30,25.531
49,2,1,1,2016,5,13,10,30,34.346
50,2,2,1,2016,5,13,10,31,25.103
51,2,2,1,2016,5,13,10,44,10.66
52,2,1,1,2016,5,13,10,44,27.663
53,2,2,1,2016,5,13,11,1,37.906
54,2,1,1,2016,5,13,11,2,1.059
55,2,2,1,2016,5,13,11,2,22.911
56,2,1,1,2016,5,13,11,2,30.066
57,2,1,1,2016,5,13,11,2,34.332
58,2,2,1,2016,5,13,11,2,42.812
59,2,1,1,2016,5,13,11,2,45.861
60,2,0,1,2016,5,13,11,2,48.673
61,2,1,1,2016,5,13,11,2,49.419
62,2,1,1,2016,5,13,11,2,52.655
63,2,1,1,2016,5,13,11,2,56.284
64,2,1,1,2016,5,13,11,3,11.959
65,2,0,1,2016,5,13,11,3,12.011
66,2,1,1,2016,5,13,11,3,23.401
67,2,0,1,2016,5,13,11,3,23.617
68,2,0,1,2016,5,13,11,3,23.698
69,2,1,1,2016,5,13,11,3,28.89
70,2,1,1,2016,5,13,11,3,35.008
71,2,1,1,2016,5,13,11,3,38.159
72,2,0,1,2016,5,13,11,3,39.17
73,2,1,1,2016,5,13,11,3,43.468
74,2,1,1,2016,5,13,11,3,47.139
75,2,0,1,2016,5,13,11,3,52.438
76,2,0,1,2016,5,13,11,3,53.69
77,2,0,1,2016,5,13,11,3,54.557
78,2,0,1,2016,5,13,11,3,56.305
79,2,0,1,2016,5,13,11,4,12.765
80,2,0,1,2016,5,13,11,4,16.883
81,2,0,1,2016,5,13,11,4,20.883
82,2,0,1,2016,5,13,11,9,58.211
83,2,0,1,2016,5,13,11,9,59.844
84,2,0,1,2016,5,13,11,10,1.58
85,2,0,1,2016,5,13,11,24,42.385
86,2,0,1,2016,5,13,11,24,47.346
87,2,0,1,2016,5,13,11,24,50.358
88,2,0,1,2016,5,13,11,24,54.37
89,2,0,1,2016,5,13,11,25,39.366
90,2,0,1,2016,5,13,11,25,43.623
91,2,0,1,2016,5,13,11,25,54.405
92,2,0,1,2016,5,13,11,26,37.356
93,2,0,1,2016,5,13,11,26,41.412
94,1,0,1,2016,5,13,11,32,49.28
95,1,0,1,2016,5,13,11,32,51.976
96,2,0,1,2016,5,13,11,37,5.217
97,2,0,1,2016,5,13,11,37,38.14
98,2,0,1,2016,5,13,11,38,14.751
99,2,0,1,2016,5,13,11,38,17.477
100,2,0,1,2016,5,13,11,38,27.278
101,2,0,1,2016,5,13,11,38,31.647
102,2,0,1,2016,5,13,11,38,33.581
103,2,0,1,2016,5,13,11,47,50.833
104,2,0,1,2016,5,13,12,14,55.574
105,2,0,1,2016,5,13,12,14,56.781
106,2,0,1,2016,5,13,12,15,17.729
107,2,0,1,2016,5,13,12,15,22.282
108,2,0,1,2016,5,13,12,29,10.956
109,2,0,1,2016,5,13,12,29,20.058
110,2,0,1,2016,5,13,12,29,33.375
111,2,0,1,2016,5,13,12,59,35.688
112,2,0,1,2016,5,13,12,59,39.503
113,2,0,1,2016,5,13,13,42,56.37
114,2,0,1,2016,5,13,13,43,2.849
115,2,0,1,2016,5,13,13,43,3.879
116,2,0,1,2016,5,13,13,43,5.073
117,2,0,1,2016,5,13,13,47,55.357
118,2,0,1,2016,5,13,14,55,48.492
119,2,0,1,2016,5,13,14,55,49.505
120,2,0,1,2016,5,13,14,55,51.159
121,2,0,1,2016,5,13,14,55,52.211
122,2,0,1,2016,5,13,14,55,57.294
123,2,0,1,2016,5,13,14,55,57.452
124,2,0,1,2016,5,13,14,55,58.194
125,2,0,1,2016,5,13,14,55,58.855
126,2,0,1,2016,5,13,14,55,59.688
127,2,0,1,2016,5,13,14,56,2.331
128,2,0,1,2016,5,13,14,56,2.998
129,2,0,1,2016,5,13,14,56,3.663
130,2,0,1,2016,5,13,14,56,4.8
131,2,0,1,2016,5,13,14,56,5.383
132,2,0,1,2016,5,13,14,56,9.048
133,2,0,1,2016,5,13,14,56,9.574
134,2,0,1,2016,5,13,14,56,10.774
135,2,0,1,2016,5,13,14,56,11.414
136,2,0,1,2016,5,13,14,56,12.649
137,2,0,1,2016,5,13,14,56,14.744
138,2,0,1,2016,5,13,14,56,15.837
139,2,0,1,2016,5,13,14,56,16.746
140,2,0,1,2016,5,13,14,56,18.904
141,2,0,1,2016,5,13,14,56,20.293
142,2,0,1,2016,5,13,14,56,21.063
143,2,0,1,2016,5,13,14,56,21.992
144,2,0,1,2016,5,13,14,56,23.348
145,2,0,1,2016,5,13,14,56,24.915
146,2,0,1,2016,5,13,14,56,25.779
147,2,0,1,2016,5,13,14,56,30.217
148,2,0,1,2016,5,13,14,56,31.034
149,2,0,1,2016,5,13,14,56,32.352
150,2,0,1,2016,5,13,14,56,48.903
151,2,0,1,2016,5,13,14,56,49.738
152,2,0,1,2016,5,13,14,56,49.992
153,2,0,1,2016,5,13,14,57,16.488
154,2,0,1,2016,5,13,14,57,17.38
155,2,0,1,2016,5,13,14,57,17.949
156,2,0,1,2016,5,13,14,57,18.815
157,2,0,1,2016,5,13,14,57,19.978
158,2,0,1,2016,5,13,14,57,20.885
159,2,0,1,2016,5,13,14,57,21.896
160,2,0,1,2016,5,13,14,57,23.421
161,2,0,1,2016,5,13,14,57,23.924
162,2,0,1,2016,5,13,14,57,25.538
163,2,0,1,2016,5,13,14,57,26.317
164,2,0,1,2016,5,13,14,57,28.612
165,2,0,1,2016,5,13,14,57,29.772
166,2,0,1,2016,5,13,14,57,30.914
167,1,0,1,2016,5,13,14,57,43.153
168,1,0,1,2016,5,13,14,57,43.932
169,1,0,1,2016,5,13,14,57,44.953
170,1,0,1,2016,5,13,14,57,46.494
171,1,0,1,2016,5,13,14,57,52.945
172,1,0,1,2016,5,13,14,58,25.345
173,1,0,1,2016,5,13,14,58,26.529
174,1,0,1,2016,5,13,14,58,27.608
175,2,0,1,2016,5,13,14,58,55.388
176,2,0,1,2016,5,13,14,59,33.394
177,2,0,1,2016,5,13,14,59,34.455
178,2,0,1,2016,5,13,14,59,36.306
179,2,0,1,2016,5,13,14,59,39.761
180,2,0,1,2016,5,13,15,4,58.594
181,2,0,1,2016,5,13,15,5,6.971
182,2,0,1,2016,5,13,15,5,8.208
183,2,0,1,2016,5,13,15,5,9.534
184,2,0,1,2016,5,13,15,5,11.484
185,2,0,1,2016,5,13,15,5,11.894
186,2,0,1,2016,5,13,15,5,12.71
187,2,0,1,2016,5,13,15,5,13.554
188,2,0,1,2016,5,13,15,5,15.289
